Categoría: Todas las categorías

Semana,gran via: (Bélgica)
2015-08-02,26
2015-08-09,0
2015-08-16,24
2015-08-23,23
2015-08-30,31
2015-09-06,24
2015-09-13,22
2015-09-20,22
2015-09-27,0
2015-10-04,44
2015-10-11,22
2015-10-18,21
2015-10-25,33
2015-11-01,47
2015-11-08,23
2015-11-15,0
2015-11-22,22
2015-11-29,32
2015-12-06,22
2015-12-13,0
2015-12-20,0
2015-12-27,25
2016-01-03,32
2016-01-10,24
2016-01-17,16
2016-01-24,16
2016-01-31,0
2016-02-07,24
2016-02-14,22
2016-02-21,0
2016-02-28,16
2016-03-06,33
2016-03-13,0
2016-03-20,24
2016-03-27,18
2016-04-03,17
2016-04-10,16
2016-04-17,41
2016-04-24,0
2016-05-01,18
2016-05-08,17
2016-05-15,16
2016-05-22,32
2016-05-29,20
2016-06-05,0
2016-06-12,39
2016-06-19,33
2016-06-26,17
2016-07-03,52
2016-07-10,39
2016-07-17,22
2016-07-24,21
2016-07-31,20
2016-08-07,41
2016-08-14,0
2016-08-21,20
2016-08-28,31
2016-09-04,57
2016-09-11,19
2016-09-18,37
2016-09-25,36
2016-10-02,71
2016-10-09,48
2016-10-16,24
2016-10-23,44
2016-10-30,25
2016-11-06,26
2016-11-13,17
2016-11-20,26
2016-11-27,25
2016-12-04,25
2016-12-11,25
2016-12-18,18
2016-12-25,19
2017-01-01,34
2017-01-08,21
2017-01-15,16
2017-01-22,27
2017-01-29,16
2017-02-05,27
2017-02-12,32
2017-02-19,16
2017-02-26,16
2017-03-05,23
2017-03-12,24
2017-03-19,32
2017-03-26,17
2017-04-02,17
2017-04-09,34
2017-04-16,17
2017-04-23,21
2017-04-30,16
2017-05-07,16
2017-05-14,25
2017-05-21,0
2017-05-28,23
2017-06-04,16
2017-06-11,16
2017-06-18,33
2017-06-25,17
2017-07-02,25
2017-07-09,49
2017-07-16,19
2017-07-23,18
2017-07-30,26
2017-08-06,68
2017-08-13,52
2017-08-20,17
2017-08-27,33
2017-09-03,24
2017-09-10,21
2017-09-17,33
2017-09-24,0
2017-10-01,0
2017-10-08,23
2017-10-15,0
2017-10-22,30
2017-10-29,16
2017-11-05,0
2017-11-12,25
2017-11-19,15
2017-11-26,0
2017-12-03,15
2017-12-10,22
2017-12-17,0
2017-12-24,17
2017-12-31,32
2018-01-07,30
2018-01-14,24
2018-01-21,29
2018-01-28,22
2018-02-04,15
2018-02-11,23
2018-02-18,15
2018-02-25,15
2018-03-04,34
2018-03-11,15
2018-03-18,0
2018-03-25,45
2018-04-01,24
2018-04-08,0
2018-04-15,16
2018-04-22,15
2018-04-29,15
2018-05-06,23
2018-05-13,15
2018-05-20,15
2018-05-27,19
2018-06-03,24
2018-06-10,14
2018-06-17,29
2018-06-24,21
2018-07-01,48
2018-07-08,21
2018-07-15,17
2018-07-22,17
2018-07-29,0
2018-08-05,15
2018-08-12,0
2018-08-19,16
2018-08-26,23
2018-09-02,41
2018-09-09,31
2018-09-16,25
2018-09-23,0
2018-09-30,15
2018-10-07,36
2018-10-14,15
2018-10-21,31
2018-10-28,31
2018-11-04,15
2018-11-11,22
2018-11-18,15
2018-11-25,22
2018-12-02,14
2018-12-09,23
2018-12-16,30
2018-12-23,0
2018-12-30,16
2019-01-06,14
2019-01-13,15
2019-01-20,28
2019-01-27,14
2019-02-03,22
2019-02-10,24
2019-02-17,15
2019-02-24,14
2019-03-03,22
2019-03-10,15
2019-03-17,15
2019-03-24,15
2019-03-31,22
2019-04-07,25
2019-04-14,16
2019-04-21,30
2019-04-28,28
2019-05-05,14
2019-05-12,29
2019-05-19,14
2019-05-26,14
2019-06-02,26
2019-06-09,34
2019-06-16,14
2019-06-23,15
2019-06-30,30
2019-07-07,30
2019-07-14,16
2019-07-21,33
2019-07-28,16
2019-08-04,0
2019-08-11,15
2019-08-18,15
2019-08-25,30
2019-09-01,24
2019-09-08,29
2019-09-15,15
2019-09-22,18
2019-09-29,14
2019-10-06,14
2019-10-13,0
2019-10-20,27
2019-10-27,28
2019-11-03,14
2019-11-10,14
2019-11-17,20
2019-11-24,26
2019-12-01,13
2019-12-08,0
2019-12-15,20
2019-12-22,14
2019-12-29,24
2020-01-05,0
2020-01-12,31
2020-01-19,26
2020-01-26,13
2020-02-02,17
2020-02-09,13
2020-02-16,19
2020-02-23,19
2020-03-01,25
2020-03-08,12
2020-03-15,24
2020-03-22,0
2020-03-29,0
2020-04-05,12
2020-04-12,12
2020-04-19,0
2020-04-26,11
2020-05-03,0
2020-05-10,0
2020-05-17,12
2020-05-24,0
2020-05-31,18
2020-06-07,22
2020-06-14,17
2020-06-21,60
2020-06-28,18
2020-07-05,18
2020-07-12,20
2020-07-19,0
2020-07-26,100
