Categoría: Todas las categorías

Semana,callao: (Dinamarca)
2015-08-02,34
2015-08-09,65
2015-08-16,0
2015-08-23,0
2015-08-30,30
2015-09-06,46
2015-09-13,59
2015-09-20,0
2015-09-27,63
2015-10-04,60
2015-10-11,66
2015-10-18,30
2015-10-25,0
2015-11-01,58
2015-11-08,29
2015-11-15,29
2015-11-22,29
2015-11-29,28
2015-12-06,28
2015-12-13,30
2015-12-20,0
2015-12-27,70
2016-01-03,31
2016-01-10,32
2016-01-17,43
2016-01-24,63
2016-01-31,47
2016-02-07,75
2016-02-14,68
2016-02-21,32
2016-02-28,31
2016-03-06,31
2016-03-13,32
2016-03-20,36
2016-03-27,0
2016-04-03,42
2016-04-10,32
2016-04-17,65
2016-04-24,31
2016-05-01,0
2016-05-08,33
2016-05-15,0
2016-05-22,0
2016-05-29,0
2016-06-05,33
2016-06-12,32
2016-06-19,0
2016-06-26,0
2016-07-03,37
2016-07-10,38
2016-07-17,0
2016-07-24,0
2016-07-31,37
2016-08-07,36
2016-08-14,0
2016-08-21,37
2016-08-28,0
2016-09-04,35
2016-09-11,35
2016-09-18,0
2016-09-25,0
2016-10-02,0
2016-10-09,34
2016-10-16,37
2016-10-23,86
2016-10-30,33
2016-11-06,33
2016-11-13,66
2016-11-20,0
2016-11-27,33
2016-12-04,31
2016-12-11,48
2016-12-18,36
2016-12-25,37
2017-01-01,53
2017-01-08,41
2017-01-15,31
2017-01-22,47
2017-01-29,0
2017-02-05,47
2017-02-12,50
2017-02-19,31
2017-02-26,59
2017-03-05,0
2017-03-12,39
2017-03-19,46
2017-03-26,31
2017-04-02,93
2017-04-09,34
2017-04-16,41
2017-04-23,0
2017-04-30,0
2017-05-07,31
2017-05-14,33
2017-05-21,36
2017-05-28,0
2017-06-04,48
2017-06-11,0
2017-06-18,34
2017-06-25,0
2017-07-02,0
2017-07-09,38
2017-07-16,38
2017-07-23,0
2017-07-30,33
2017-08-06,66
2017-08-13,0
2017-08-20,0
2017-08-27,31
2017-09-03,30
2017-09-10,45
2017-09-17,31
2017-09-24,60
2017-10-01,44
2017-10-08,31
2017-10-15,33
2017-10-22,30
2017-10-29,29
2017-11-05,29
2017-11-12,74
2017-11-19,28
2017-11-26,40
2017-12-03,29
2017-12-10,30
2017-12-17,65
2017-12-24,53
2017-12-31,31
2018-01-07,38
2018-01-14,67
2018-01-21,59
2018-01-28,29
2018-02-04,79
2018-02-11,31
2018-02-18,30
2018-02-25,48
2018-03-04,38
2018-03-11,43
2018-03-18,30
2018-03-25,0
2018-04-01,0
2018-04-08,30
2018-04-15,0
2018-04-22,0
2018-04-29,0
2018-05-06,0
2018-05-13,0
2018-05-20,31
2018-05-27,0
2018-06-03,30
2018-06-10,28
2018-06-17,29
2018-06-24,0
2018-07-01,33
2018-07-08,33
2018-07-15,0
2018-07-22,34
2018-07-29,0
2018-08-05,60
2018-08-12,0
2018-08-19,44
2018-08-26,29
2018-09-02,30
2018-09-09,0
2018-09-16,89
2018-09-23,44
2018-09-30,44
2018-10-07,31
2018-10-14,67
2018-10-21,46
2018-10-28,40
2018-11-04,44
2018-11-11,45
2018-11-18,29
2018-11-25,29
2018-12-02,44
2018-12-09,30
2018-12-16,0
2018-12-23,35
2018-12-30,49
2019-01-06,88
2019-01-13,29
2019-01-20,30
2019-01-27,73
2019-02-03,60
2019-02-10,64
2019-02-17,29
2019-02-24,60
2019-03-03,58
2019-03-10,0
2019-03-17,45
2019-03-24,43
2019-03-31,61
2019-04-07,41
2019-04-14,0
2019-04-21,45
2019-04-28,29
2019-05-05,29
2019-05-12,61
2019-05-19,29
2019-05-26,0
2019-06-02,30
2019-06-09,30
2019-06-16,0
2019-06-23,32
2019-06-30,0
2019-07-07,100
2019-07-14,35
2019-07-21,36
2019-07-28,33
2019-08-04,32
2019-08-11,29
2019-08-18,0
2019-08-25,0
2019-09-01,0
2019-09-08,29
2019-09-15,58
2019-09-22,29
2019-09-29,43
2019-10-06,29
2019-10-13,60
2019-10-20,28
2019-10-27,28
2019-11-03,56
2019-11-10,42
2019-11-17,38
2019-11-24,27
2019-12-01,28
2019-12-08,28
2019-12-15,43
2019-12-22,0
2019-12-29,59
2020-01-05,53
2020-01-12,53
2020-01-19,95
2020-01-26,27
2020-02-02,64
2020-02-09,29
2020-02-16,27
2020-02-23,53
2020-03-01,26
2020-03-08,26
2020-03-15,0
2020-03-22,25
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,35
2020-04-26,0
2020-05-03,25
2020-05-10,0
2020-05-17,53
2020-05-24,0
2020-05-31,25
2020-06-07,25
2020-06-14,0
2020-06-21,28
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,29
2020-07-26,0
