,Semana,Museo Nacional del Prado: (Dinamarca),plaza mayor: (Dinamarca),el retiro: (Finlandia),Puerta del Sol: (Finlandia),gran via: (Finlandia),Museo Nacional Thyssen-Bornemisza: (Finlandia),cibeles: (Finlandia),Puerta de Alcalá: (Finlandia),callao: (Finlandia)
0,2015-08-02,0,0,0,0,46,0,0,0,0
1,2015-08-09,0,45,0,0,0,0,0,0,0
2,2015-08-16,0,0,0,0,45,0,0,0,0
3,2015-08-23,50,0,0,38,44,0,0,0,0
4,2015-08-30,0,0,100,0,0,0,0,0,0
5,2015-09-06,51,65,0,39,0,0,0,0,39
6,2015-09-13,0,0,65,0,42,0,51,0,37
7,2015-09-20,0,63,0,38,0,0,0,0,37
8,2015-09-27,26,44,0,0,0,0,0,0,0
9,2015-10-04,34,42,67,38,43,54,0,99,76
10,2015-10-11,27,46,0,0,44,0,0,0,0
11,2015-10-18,0,0,0,0,42,53,52,0,0
12,2015-10-25,24,0,0,0,84,0,0,0,74
13,2015-11-01,24,0,0,0,42,0,0,0,0
14,2015-11-08,0,0,0,0,0,0,0,97,37
15,2015-11-15,24,41,0,0,84,0,0,0,0
16,2015-11-22,24,40,0,0,0,0,0,0,0
17,2015-11-29,24,0,0,0,42,0,0,0,37
18,2015-12-06,23,0,0,0,0,53,0,0,0
19,2015-12-13,25,0,0,39,0,0,0,0,0
20,2015-12-20,31,0,0,0,0,0,0,0,0
21,2015-12-27,29,0,0,0,0,61,0,0,0
22,2016-01-03,26,44,0,0,46,0,0,0,41
23,2016-01-10,26,44,0,0,45,0,0,0,40
24,2016-01-17,40,0,0,0,45,57,55,0,0
25,2016-01-24,79,88,0,0,44,0,0,0,0
26,2016-01-31,26,44,0,0,45,0,0,0,0
27,2016-02-07,79,0,0,0,0,57,0,0,39
28,2016-02-14,38,0,0,0,45,0,0,0,40
29,2016-02-21,26,44,0,40,91,0,0,0,81
30,2016-02-28,39,0,0,40,0,0,0,0,0
31,2016-03-06,26,43,0,79,45,55,54,0,39
32,2016-03-13,27,45,0,60,90,57,0,0,0
33,2016-03-20,60,50,0,0,0,0,0,0,0
34,2016-03-27,27,0,0,40,46,0,0,0,0
35,2016-04-03,52,0,0,0,47,0,0,0,41
36,2016-04-10,26,0,0,0,52,0,0,0,0
37,2016-04-17,54,91,0,89,50,0,0,0,0
38,2016-04-24,39,42,0,0,0,0,0,0,0
