Categoría: Todas las categorías

Semana,Museo Nacional del Prado: (Finlandia)
2015-08-02,0
2015-08-09,2
2015-08-16,0
2015-08-23,0
2015-08-30,0
2015-09-06,0
2015-09-13,2
2015-09-20,2
2015-09-27,5
2015-10-04,2
2015-10-11,0
2015-10-18,2
2015-10-25,0
2015-11-01,0
2015-11-08,0
2015-11-15,2
2015-11-22,0
2015-11-29,0
2015-12-06,2
2015-12-13,2
2015-12-20,3
2015-12-27,3
2016-01-03,0
2016-01-10,4
2016-01-17,100
2016-01-24,24
2016-01-31,2
2016-02-07,2
2016-02-14,0
2016-02-21,2
2016-02-28,0
2016-03-06,0
2016-03-13,2
2016-03-20,2
2016-03-27,0
2016-04-03,3
2016-04-10,3
2016-04-17,3
2016-04-24,0
2016-05-01,0
2016-05-08,0
2016-05-15,0
2016-05-22,3
2016-05-29,3
2016-06-05,2
2016-06-12,2
2016-06-19,0
2016-06-26,5
2016-07-03,3
2016-07-10,3
2016-07-17,0
2016-07-24,3
2016-07-31,0
2016-08-07,3
2016-08-14,0
2016-08-21,5
2016-08-28,3
2016-09-04,0
2016-09-11,3
2016-09-18,0
2016-09-25,0
2016-10-02,0
2016-10-09,3
2016-10-16,0
2016-10-23,0
2016-10-30,0
2016-11-06,0
2016-11-13,0
2016-11-20,2
2016-11-27,5
2016-12-04,2
2016-12-11,0
2016-12-18,0
2016-12-25,4
2017-01-01,6
2017-01-08,5
2017-01-15,2
2017-01-22,2
2017-01-29,5
2017-02-05,4
2017-02-12,0
2017-02-19,0
2017-02-26,2
2017-03-05,5
2017-03-12,9
2017-03-19,2
2017-03-26,0
2017-04-02,0
2017-04-09,2
2017-04-16,2
2017-04-23,3
2017-04-30,2
2017-05-07,3
2017-05-14,0
2017-05-21,2
2017-05-28,0
2017-06-04,0
2017-06-11,2
2017-06-18,2
2017-06-25,2
2017-07-02,3
2017-07-09,3
2017-07-16,2
2017-07-23,0
2017-07-30,0
2017-08-06,0
2017-08-13,2
2017-08-20,2
2017-08-27,2
2017-09-03,2
2017-09-10,2
2017-09-17,2
2017-09-24,5
2017-10-01,2
2017-10-08,0
2017-10-15,0
2017-10-22,0
2017-10-29,2
2017-11-05,2
2017-11-12,4
2017-11-19,2
2017-11-26,4
2017-12-03,0
2017-12-10,2
2017-12-17,0
2017-12-24,0
2017-12-31,3
2018-01-07,2
2018-01-14,0
2018-01-21,2
2018-01-28,0
2018-02-04,0
2018-02-11,0
2018-02-18,2
2018-02-25,2
2018-03-04,2
2018-03-11,2
2018-03-18,0
2018-03-25,2
2018-04-01,4
2018-04-08,0
2018-04-15,0
2018-04-22,2
2018-04-29,2
2018-05-06,0
2018-05-13,2
2018-05-20,2
2018-05-27,2
2018-06-03,0
2018-06-10,0
2018-06-17,0
2018-06-24,4
2018-07-01,2
2018-07-08,0
2018-07-15,2
2018-07-22,0
2018-07-29,2
2018-08-05,2
2018-08-12,0
2018-08-19,2
2018-08-26,2
2018-09-02,2
2018-09-09,2
2018-09-16,2
2018-09-23,3
2018-09-30,4
2018-10-07,2
2018-10-14,3
2018-10-21,3
2018-10-28,2
2018-11-04,2
2018-11-11,3
2018-11-18,2
2018-11-25,0
2018-12-02,4
2018-12-09,3
2018-12-16,0
2018-12-23,2
2018-12-30,2
2019-01-06,0
2019-01-13,0
2019-01-20,2
2019-01-27,2
2019-02-03,2
2019-02-10,2
2019-02-17,0
2019-02-24,2
2019-03-03,0
2019-03-10,0
2019-03-17,2
2019-03-24,2
2019-03-31,3
2019-04-07,0
2019-04-14,2
2019-04-21,2
2019-04-28,3
2019-05-05,2
2019-05-12,2
2019-05-19,2
2019-05-26,3
2019-06-02,2
2019-06-09,3
2019-06-16,2
2019-06-23,0
2019-06-30,0
2019-07-07,0
2019-07-14,0
2019-07-21,0
2019-07-28,2
2019-08-04,0
2019-08-11,2
2019-08-18,2
2019-08-25,0
2019-09-01,0
2019-09-08,0
2019-09-15,2
2019-09-22,0
2019-09-29,2
2019-10-06,2
2019-10-13,0
2019-10-20,2
2019-10-27,2
2019-11-03,4
2019-11-10,4
2019-11-17,2
2019-11-24,2
2019-12-01,0
2019-12-08,6
2019-12-15,0
2019-12-22,2
2019-12-29,2
2020-01-05,0
2020-01-12,2
2020-01-19,2
2020-01-26,2
2020-02-02,0
2020-02-09,0
2020-02-16,2
2020-02-23,2
2020-03-01,4
2020-03-08,2
2020-03-15,2
2020-03-22,0
2020-03-29,3
2020-04-05,2
2020-04-12,0
2020-04-19,2
2020-04-26,2
2020-05-03,3
2020-05-10,2
2020-05-17,0
2020-05-24,4
2020-05-31,2
2020-06-07,2
2020-06-14,0
2020-06-21,0
2020-06-28,2
2020-07-05,0
2020-07-12,0
2020-07-19,2
2020-07-26,0
