Categoría: Todas las categorías

Semana,El Rastro: (Francia)
2015-08-02,71
2015-08-09,47
2015-08-16,47
2015-08-23,0
2015-08-30,63
2015-09-06,0
2015-09-13,0
2015-09-20,0
2015-09-27,40
2015-10-04,0
2015-10-11,60
2015-10-18,39
2015-10-25,79
2015-11-01,58
2015-11-08,65
2015-11-15,39
2015-11-22,38
2015-11-29,38
2015-12-06,38
2015-12-13,0
2015-12-20,44
2015-12-27,44
2016-01-03,0
2016-01-10,58
2016-01-17,78
2016-01-24,40
2016-01-31,0
2016-02-07,38
2016-02-14,40
2016-02-21,40
2016-02-28,39
2016-03-06,0
2016-03-13,0
2016-03-20,40
2016-03-27,0
2016-04-03,40
2016-04-10,41
2016-04-17,0
2016-04-24,60
2016-05-01,44
2016-05-08,100
2016-05-15,0
2016-05-22,40
2016-05-29,0
2016-06-05,42
2016-06-12,0
2016-06-19,42
2016-06-26,0
2016-07-03,0
2016-07-10,48
2016-07-17,0
2016-07-24,48
2016-07-31,50
2016-08-07,0
2016-08-14,54
2016-08-21,49
2016-08-28,45
2016-09-04,0
2016-09-11,0
2016-09-18,0
2016-09-25,43
2016-10-02,44
2016-10-09,43
2016-10-16,65
2016-10-23,43
2016-10-30,0
2016-11-06,42
2016-11-13,83
2016-11-20,0
2016-11-27,41
2016-12-04,0
2016-12-11,41
2016-12-18,0
2016-12-25,45
2017-01-01,0
2017-01-08,39
2017-01-15,0
2017-01-22,0
2017-01-29,58
2017-02-05,40
2017-02-12,41
2017-02-19,0
2017-02-26,0
2017-03-05,76
2017-03-12,39
2017-03-19,0
2017-03-26,80
2017-04-02,40
2017-04-09,42
2017-04-16,0
2017-04-23,39
2017-04-30,77
2017-05-07,39
2017-05-14,41
2017-05-21,67
2017-05-28,41
2017-06-04,0
2017-06-11,0
2017-06-18,61
2017-06-25,40
2017-07-02,42
2017-07-09,43
2017-07-16,43
2017-07-23,85
2017-07-30,0
2017-08-06,43
2017-08-13,45
2017-08-20,63
2017-08-27,39
2017-09-03,39
2017-09-10,39
2017-09-17,80
2017-09-24,39
2017-10-01,0
2017-10-08,0
2017-10-15,0
2017-10-22,0
2017-10-29,39
2017-11-05,37
2017-11-12,38
2017-11-19,0
2017-11-26,37
2017-12-03,37
2017-12-10,73
2017-12-17,40
2017-12-24,0
2017-12-31,0
2018-01-07,37
2018-01-14,0
2018-01-21,37
2018-01-28,37
2018-02-04,36
2018-02-11,37
2018-02-18,75
2018-02-25,37
2018-03-04,37
2018-03-11,37
2018-03-18,37
2018-03-25,38
2018-04-01,38
2018-04-08,37
2018-04-15,41
2018-04-22,39
2018-04-29,58
2018-05-06,59
2018-05-13,38
2018-05-20,38
2018-05-27,0
2018-06-03,37
2018-06-10,53
2018-06-17,0
2018-06-24,0
2018-07-01,36
2018-07-08,0
2018-07-15,0
2018-07-22,0
2018-07-29,54
2018-08-05,82
2018-08-12,85
2018-08-19,41
2018-08-26,39
2018-09-02,39
2018-09-09,38
2018-09-16,38
2018-09-23,76
2018-09-30,38
2018-10-07,75
2018-10-14,38
2018-10-21,38
2018-10-28,38
2018-11-04,37
2018-11-11,37
2018-11-18,37
2018-11-25,0
2018-12-02,37
2018-12-09,38
2018-12-16,0
2018-12-23,0
2018-12-30,0
2019-01-06,37
2019-01-13,86
2019-01-20,36
2019-01-27,0
2019-02-03,36
2019-02-10,0
2019-02-17,77
2019-02-24,37
2019-03-03,55
2019-03-10,36
2019-03-17,76
2019-03-24,38
2019-03-31,75
2019-04-07,75
2019-04-14,77
2019-04-21,38
2019-04-28,37
2019-05-05,36
2019-05-12,37
2019-05-19,36
2019-05-26,0
2019-06-02,0
2019-06-09,36
2019-06-16,0
2019-06-23,37
2019-06-30,55
2019-07-07,54
2019-07-14,0
2019-07-21,39
2019-07-28,0
2019-08-04,79
2019-08-11,0
2019-08-18,39
2019-08-25,37
2019-09-01,0
2019-09-08,35
2019-09-15,35
2019-09-22,0
2019-09-29,34
2019-10-06,69
2019-10-13,46
2019-10-20,34
2019-10-27,34
2019-11-03,33
2019-11-10,0
2019-11-17,33
2019-11-24,32
2019-12-01,33
2019-12-08,65
2019-12-15,33
2019-12-22,37
2019-12-29,35
2020-01-05,0
2020-01-12,32
2020-01-19,0
2020-01-26,32
2020-02-02,65
2020-02-09,32
2020-02-16,32
2020-02-23,31
2020-03-01,31
2020-03-08,62
2020-03-15,0
2020-03-22,0
2020-03-29,29
2020-04-05,29
2020-04-12,59
2020-04-19,29
2020-04-26,55
2020-05-03,0
2020-05-10,0
2020-05-17,0
2020-05-24,30
2020-05-31,0
2020-06-07,0
2020-06-14,30
2020-06-21,0
2020-06-28,0
2020-07-05,32
2020-07-12,0
2020-07-19,0
2020-07-26,0
