Categoría: Todas las categorías

Semana,Plaza de Toros de Las Ventas: (Francia)
2015-08-02,45
2015-08-09,45
2015-08-16,33
2015-08-23,20
2015-08-30,20
2015-09-06,68
2015-09-13,18
2015-09-20,25
2015-09-27,31
2015-10-04,43
2015-10-11,37
2015-10-18,18
2015-10-25,37
2015-11-01,27
2015-11-08,36
2015-11-15,18
2015-11-22,24
2015-11-29,36
2015-12-06,27
2015-12-13,19
2015-12-20,21
2015-12-27,21
2016-01-03,36
2016-01-10,36
2016-01-17,31
2016-01-24,37
2016-01-31,18
2016-02-07,45
2016-02-14,37
2016-02-21,31
2016-02-28,27
2016-03-06,50
2016-03-13,29
2016-03-20,44
2016-03-27,31
2016-04-03,75
2016-04-10,45
2016-04-17,77
2016-04-24,82
2016-05-01,61
2016-05-08,100
2016-05-15,85
2016-05-22,76
2016-05-29,43
2016-06-05,52
2016-06-12,18
2016-06-19,40
2016-06-26,0
2016-07-03,28
2016-07-10,45
2016-07-17,46
2016-07-24,45
2016-07-31,47
2016-08-07,26
2016-08-14,51
2016-08-21,0
2016-08-28,21
2016-09-04,42
2016-09-11,30
2016-09-18,52
2016-09-25,41
2016-10-02,41
2016-10-09,41
2016-10-16,41
2016-10-23,41
2016-10-30,27
2016-11-06,20
2016-11-13,20
2016-11-20,0
2016-11-27,38
2016-12-04,19
2016-12-11,29
2016-12-18,20
2016-12-25,21
2017-01-01,29
2017-01-08,0
2017-01-15,37
2017-01-22,37
2017-01-29,24
2017-02-05,46
2017-02-12,19
2017-02-19,25
2017-02-26,30
2017-03-05,30
2017-03-12,45
2017-03-19,60
2017-03-26,38
2017-04-02,51
2017-04-09,48
2017-04-16,39
2017-04-23,42
2017-04-30,30
2017-05-07,61
2017-05-14,45
2017-05-21,56
2017-05-28,83
2017-06-04,64
2017-06-11,51
2017-06-18,64
2017-06-25,28
2017-07-02,39
2017-07-09,48
2017-07-16,30
2017-07-23,26
2017-07-30,40
2017-08-06,30
2017-08-13,28
2017-08-20,20
2017-08-27,31
2017-09-03,55
2017-09-10,48
2017-09-17,19
2017-09-24,36
2017-10-01,27
2017-10-08,27
2017-10-15,24
2017-10-22,18
2017-10-29,27
2017-11-05,35
2017-11-12,36
2017-11-19,23
2017-11-26,26
2017-12-03,17
2017-12-10,52
2017-12-17,0
2017-12-24,20
2017-12-31,49
2018-01-07,26
2018-01-14,34
2018-01-21,17
2018-01-28,35
2018-02-04,0
2018-02-11,35
2018-02-18,42
2018-02-25,29
2018-03-04,64
2018-03-11,29
2018-03-18,52
2018-03-25,35
2018-04-01,63
2018-04-08,61
2018-04-15,57
2018-04-22,36
2018-04-29,78
2018-05-06,55
2018-05-13,82
2018-05-20,78
2018-05-27,81
2018-06-03,29
2018-06-10,17
2018-06-17,18
2018-06-24,30
2018-07-01,17
2018-07-08,36
2018-07-15,19
2018-07-22,19
2018-07-29,38
2018-08-05,29
2018-08-12,30
2018-08-19,29
2018-08-26,27
2018-09-02,27
2018-09-09,36
2018-09-16,35
2018-09-23,36
2018-09-30,45
2018-10-07,36
2018-10-14,18
2018-10-21,18
2018-10-28,36
2018-11-04,35
2018-11-11,17
2018-11-18,17
2018-11-25,26
2018-12-02,18
2018-12-09,18
2018-12-16,0
2018-12-23,30
2018-12-30,38
2019-01-06,17
2019-01-13,17
2019-01-20,34
2019-01-27,17
2019-02-03,0
2019-02-10,35
2019-02-17,30
2019-02-24,18
2019-03-03,34
2019-03-10,17
2019-03-17,54
2019-03-24,36
2019-03-31,29
2019-04-07,53
2019-04-14,60
2019-04-21,47
2019-04-28,46
2019-05-05,23
2019-05-12,40
2019-05-19,68
2019-05-26,52
2019-06-02,49
2019-06-09,33
2019-06-16,52
2019-06-23,43
2019-06-30,34
2019-07-07,17
2019-07-14,53
2019-07-21,36
2019-07-28,19
2019-08-04,28
2019-08-11,43
2019-08-18,46
2019-08-25,17
2019-09-01,28
2019-09-08,28
2019-09-15,33
2019-09-22,32
2019-09-29,0
2019-10-06,27
2019-10-13,16
2019-10-20,32
2019-10-27,47
2019-11-03,16
2019-11-10,24
2019-11-17,32
2019-11-24,15
2019-12-01,15
2019-12-08,15
2019-12-15,16
2019-12-22,29
2019-12-29,33
2020-01-05,30
2020-01-12,30
2020-01-19,15
2020-01-26,45
2020-02-02,15
2020-02-09,30
2020-02-16,15
2020-02-23,37
2020-03-01,29
2020-03-08,22
2020-03-15,14
2020-03-22,27
2020-03-29,13
2020-04-05,13
2020-04-12,0
2020-04-19,20
2020-04-26,13
2020-05-03,17
2020-05-10,13
2020-05-17,15
2020-05-24,14
2020-05-31,13
2020-06-07,13
2020-06-14,14
2020-06-21,30
2020-06-28,14
2020-07-05,15
2020-07-12,32
2020-07-19,0
2020-07-26,0
