Categoría: Todas las categorías

Semana,Chueca: (Francia)
2015-08-02,26
2015-08-09,26
2015-08-16,26
2015-08-23,35
2015-08-30,46
2015-09-06,23
2015-09-13,22
2015-09-20,45
2015-09-27,22
2015-10-04,33
2015-10-11,29
2015-10-18,33
2015-10-25,44
2015-11-01,43
2015-11-08,43
2015-11-15,54
2015-11-22,21
2015-11-29,28
2015-12-06,21
2015-12-13,66
2015-12-20,25
2015-12-27,0
2016-01-03,43
2016-01-10,32
2016-01-17,22
2016-01-24,43
2016-01-31,32
2016-02-07,21
2016-02-14,22
2016-02-21,22
2016-02-28,29
2016-03-06,22
2016-03-13,23
2016-03-20,44
2016-03-27,33
2016-04-03,22
2016-04-10,23
2016-04-17,23
2016-04-24,23
2016-05-01,32
2016-05-08,22
2016-05-15,23
2016-05-22,34
2016-05-29,86
2016-06-05,23
2016-06-12,22
2016-06-19,23
2016-06-26,23
2016-07-03,50
2016-07-10,26
2016-07-17,0
2016-07-24,27
2016-07-31,28
2016-08-07,0
2016-08-14,0
2016-08-21,27
2016-08-28,25
2016-09-04,25
2016-09-11,0
2016-09-18,25
2016-09-25,24
2016-10-02,57
2016-10-09,24
2016-10-16,73
2016-10-23,32
2016-10-30,24
2016-11-06,47
2016-11-13,0
2016-11-20,0
2016-11-27,68
2016-12-04,22
2016-12-11,0
2016-12-18,24
2016-12-25,25
2017-01-01,57
2017-01-08,43
2017-01-15,22
2017-01-22,29
2017-01-29,43
2017-02-05,22
2017-02-12,34
2017-02-19,22
2017-02-26,42
2017-03-05,42
2017-03-12,22
2017-03-19,65
2017-03-26,37
2017-04-02,45
2017-04-09,23
2017-04-16,45
2017-04-23,43
2017-04-30,21
2017-05-07,0
2017-05-14,23
2017-05-21,33
2017-05-28,34
2017-06-04,23
2017-06-11,23
2017-06-18,67
2017-06-25,45
2017-07-02,54
2017-07-09,24
2017-07-16,24
2017-07-23,0
2017-07-30,36
2017-08-06,48
2017-08-13,25
2017-08-20,24
2017-08-27,0
2017-09-03,33
2017-09-10,32
2017-09-17,22
2017-09-24,32
2017-10-01,21
2017-10-08,43
2017-10-15,0
2017-10-22,22
2017-10-29,22
2017-11-05,21
2017-11-12,52
2017-11-19,21
2017-11-26,21
2017-12-03,21
2017-12-10,27
2017-12-17,22
2017-12-24,0
2017-12-31,65
2018-01-07,20
2018-01-14,0
2018-01-21,100
2018-01-28,0
2018-02-04,0
2018-02-11,41
2018-02-18,43
2018-02-25,21
2018-03-04,42
2018-03-11,21
2018-03-18,31
2018-03-25,31
2018-04-01,0
2018-04-08,31
2018-04-15,0
2018-04-22,32
2018-04-29,43
2018-05-06,33
2018-05-13,21
2018-05-20,21
2018-05-27,31
2018-06-03,21
2018-06-10,30
2018-06-17,21
2018-06-24,28
2018-07-01,27
2018-07-08,43
2018-07-15,0
2018-07-22,56
2018-07-29,56
2018-08-05,46
2018-08-12,47
2018-08-19,45
2018-08-26,32
2018-09-02,21
2018-09-09,32
2018-09-16,21
2018-09-23,43
2018-09-30,21
2018-10-07,32
2018-10-14,42
2018-10-21,21
2018-10-28,21
2018-11-04,20
2018-11-11,21
2018-11-18,0
2018-11-25,0
2018-12-02,62
2018-12-09,21
2018-12-16,21
2018-12-23,0
2018-12-30,0
2019-01-06,21
2019-01-13,31
2019-01-20,40
2019-01-27,20
2019-02-03,40
2019-02-10,84
2019-02-17,42
2019-02-24,21
2019-03-03,27
2019-03-10,21
2019-03-17,35
2019-03-24,32
2019-03-31,31
2019-04-07,21
2019-04-14,32
2019-04-21,49
2019-04-28,27
2019-05-05,51
2019-05-12,31
2019-05-19,50
2019-05-26,21
2019-06-02,39
2019-06-09,20
2019-06-16,42
2019-06-23,20
2019-06-30,20
2019-07-07,30
2019-07-14,0
2019-07-21,22
2019-07-28,33
2019-08-04,66
2019-08-11,33
2019-08-18,22
2019-08-25,31
2019-09-01,59
2019-09-08,30
2019-09-15,20
2019-09-22,38
2019-09-29,19
2019-10-06,38
2019-10-13,29
2019-10-20,28
2019-10-27,19
2019-11-03,28
2019-11-10,19
2019-11-17,19
2019-11-24,18
2019-12-01,18
2019-12-08,18
2019-12-15,37
2019-12-22,42
2019-12-29,53
2020-01-05,30
2020-01-12,35
2020-01-19,18
2020-01-26,71
2020-02-02,18
2020-02-09,18
2020-02-16,30
2020-02-23,17
2020-03-01,29
2020-03-08,17
2020-03-15,0
2020-03-22,16
2020-03-29,16
2020-04-05,0
2020-04-12,16
2020-04-19,16
2020-04-26,15
2020-05-03,15
2020-05-10,0
2020-05-17,0
2020-05-24,17
2020-05-31,16
2020-06-07,16
2020-06-14,25
2020-06-21,18
2020-06-28,0
2020-07-05,27
2020-07-12,19
2020-07-19,18
2020-07-26,0
