Categoría: Todas las categorías

Semana,san gines: (Francia)
2015-08-02,0
2015-08-09,0
2015-08-16,0
2015-08-23,36
2015-08-30,36
2015-09-06,0
2015-09-13,0
2015-09-20,0
2015-09-27,34
2015-10-04,34
2015-10-11,0
2015-10-18,34
2015-10-25,33
2015-11-01,0
2015-11-08,0
2015-11-15,0
2015-11-22,0
2015-11-29,0
2015-12-06,33
2015-12-13,34
2015-12-20,38
2015-12-27,38
2016-01-03,33
2016-01-10,33
2016-01-17,51
2016-01-24,0
2016-01-31,33
2016-02-07,33
2016-02-14,0
2016-02-21,34
2016-02-28,0
2016-03-06,34
2016-03-13,0
2016-03-20,69
2016-03-27,0
2016-04-03,0
2016-04-10,0
2016-04-17,0
2016-04-24,35
2016-05-01,0
2016-05-08,0
2016-05-15,36
2016-05-22,0
2016-05-29,0
2016-06-05,36
2016-06-12,0
2016-06-19,0
2016-06-26,36
2016-07-03,0
2016-07-10,41
2016-07-17,0
2016-07-24,41
2016-07-31,43
2016-08-07,0
2016-08-14,46
2016-08-21,42
2016-08-28,0
2016-09-04,38
2016-09-11,37
2016-09-18,77
2016-09-25,0
2016-10-02,0
2016-10-09,0
2016-10-16,37
2016-10-23,0
2016-10-30,37
2016-11-06,36
2016-11-13,0
2016-11-20,35
2016-11-27,35
2016-12-04,0
2016-12-11,0
2016-12-18,37
2016-12-25,39
2017-01-01,0
2017-01-08,0
2017-01-15,0
2017-01-22,50
2017-01-29,0
2017-02-05,0
2017-02-12,0
2017-02-19,69
2017-02-26,0
2017-03-05,33
2017-03-12,0
2017-03-19,0
2017-03-26,34
2017-04-02,35
2017-04-09,35
2017-04-16,36
2017-04-23,67
2017-04-30,33
2017-05-07,100
2017-05-14,35
2017-05-21,38
2017-05-28,0
2017-06-04,0
2017-06-11,35
2017-06-18,35
2017-06-25,0
2017-07-02,36
2017-07-09,75
2017-07-16,0
2017-07-23,36
2017-07-30,37
2017-08-06,37
2017-08-13,0
2017-08-20,0
2017-08-27,0
2017-09-03,34
2017-09-10,33
2017-09-17,34
2017-09-24,33
2017-10-01,0
2017-10-08,0
2017-10-15,33
2017-10-22,0
2017-10-29,67
2017-11-05,0
2017-11-12,32
2017-11-19,0
2017-11-26,48
2017-12-03,64
2017-12-10,0
2017-12-17,51
2017-12-24,37
2017-12-31,34
2018-01-07,32
2018-01-14,31
2018-01-21,31
2018-01-28,32
2018-02-04,31
2018-02-11,32
2018-02-18,33
2018-02-25,48
2018-03-04,32
2018-03-11,32
2018-03-18,32
2018-03-25,32
2018-04-01,33
2018-04-08,32
2018-04-15,35
2018-04-22,49
2018-04-29,0
2018-05-06,51
2018-05-13,48
2018-05-20,0
2018-05-27,32
2018-06-03,0
2018-06-10,31
2018-06-17,32
2018-06-24,49
2018-07-01,0
2018-07-08,0
2018-07-15,35
2018-07-22,35
2018-07-29,35
2018-08-05,35
2018-08-12,36
2018-08-19,70
2018-08-26,66
2018-09-02,0
2018-09-09,0
2018-09-16,65
2018-09-23,0
2018-09-30,33
2018-10-07,0
2018-10-14,33
2018-10-21,0
2018-10-28,49
2018-11-04,32
2018-11-11,0
2018-11-18,0
2018-11-25,32
2018-12-02,32
2018-12-09,33
2018-12-16,0
2018-12-23,74
2018-12-30,35
2019-01-06,0
2019-01-13,0
2019-01-20,31
2019-01-27,31
2019-02-03,0
2019-02-10,32
2019-02-17,33
2019-02-24,54
2019-03-03,0
2019-03-10,32
2019-03-17,33
2019-03-24,33
2019-03-31,0
2019-04-07,32
2019-04-14,33
2019-04-21,0
2019-04-28,63
2019-05-05,63
2019-05-12,48
2019-05-19,31
2019-05-26,0
2019-06-02,44
2019-06-09,31
2019-06-16,0
2019-06-23,63
2019-06-30,31
2019-07-07,63
2019-07-14,65
2019-07-21,0
2019-07-28,0
2019-08-04,0
2019-08-11,68
2019-08-18,50
2019-08-25,63
2019-09-01,0
2019-09-08,0
2019-09-15,0
2019-09-22,30
2019-09-29,29
2019-10-06,0
2019-10-13,30
2019-10-20,59
2019-10-27,29
2019-11-03,28
2019-11-10,43
2019-11-17,29
2019-11-24,42
2019-12-01,28
2019-12-08,0
2019-12-15,0
2019-12-22,97
2019-12-29,31
2020-01-05,0
2020-01-12,27
2020-01-19,56
2020-01-26,41
2020-02-02,56
2020-02-09,28
2020-02-16,28
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,49
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,24
2020-05-03,0
2020-05-10,0
2020-05-17,27
2020-05-24,0
2020-05-31,24
2020-06-07,0
2020-06-14,26
2020-06-21,27
2020-06-28,26
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,0
