Categoría: Todas las categorías

Semana,Calle de Serrano: (Francia)
2015-08-02,43
2015-08-09,0
2015-08-16,0
2015-08-23,0
2015-08-30,0
2015-09-06,0
2015-09-13,36
2015-09-20,37
2015-09-27,72
2015-10-04,0
2015-10-11,36
2015-10-18,0
2015-10-25,71
2015-11-01,35
2015-11-08,53
2015-11-15,35
2015-11-22,35
2015-11-29,0
2015-12-06,0
2015-12-13,36
2015-12-20,40
2015-12-27,39
2016-01-03,0
2016-01-10,0
2016-01-17,47
2016-01-24,0
2016-01-31,35
2016-02-07,35
2016-02-14,36
2016-02-21,36
2016-02-28,0
2016-03-06,36
2016-03-13,0
2016-03-20,0
2016-03-27,36
2016-04-03,0
2016-04-10,0
2016-04-17,37
2016-04-24,0
2016-05-01,78
2016-05-08,72
2016-05-15,37
2016-05-22,36
2016-05-29,36
2016-06-05,37
2016-06-12,71
2016-06-19,38
2016-06-26,38
2016-07-03,0
2016-07-10,0
2016-07-17,43
2016-07-24,0
2016-07-31,0
2016-08-07,0
2016-08-14,0
2016-08-21,0
2016-08-28,0
2016-09-04,41
2016-09-11,39
2016-09-18,0
2016-09-25,0
2016-10-02,60
2016-10-09,0
2016-10-16,0
2016-10-23,0
2016-10-30,0
2016-11-06,0
2016-11-13,38
2016-11-20,0
2016-11-27,55
2016-12-04,0
2016-12-11,37
2016-12-18,40
2016-12-25,41
2017-01-01,0
2017-01-08,36
2017-01-15,0
2017-01-22,35
2017-01-29,0
2017-02-05,36
2017-02-12,73
2017-02-19,0
2017-02-26,34
2017-03-05,35
2017-03-12,35
2017-03-19,35
2017-03-26,0
2017-04-02,0
2017-04-09,37
2017-04-16,0
2017-04-23,35
2017-04-30,0
2017-05-07,0
2017-05-14,37
2017-05-21,41
2017-05-28,56
2017-06-04,50
2017-06-11,0
2017-06-18,37
2017-06-25,0
2017-07-02,38
2017-07-09,39
2017-07-16,0
2017-07-23,38
2017-07-30,58
2017-08-06,39
2017-08-13,41
2017-08-20,39
2017-08-27,36
2017-09-03,35
2017-09-10,52
2017-09-17,0
2017-09-24,35
2017-10-01,35
2017-10-08,35
2017-10-15,0
2017-10-22,35
2017-10-29,0
2017-11-05,0
2017-11-12,34
2017-11-19,34
2017-11-26,0
2017-12-03,0
2017-12-10,0
2017-12-17,36
2017-12-24,39
2017-12-31,0
2018-01-07,33
2018-01-14,0
2018-01-21,33
2018-01-28,0
2018-02-04,33
2018-02-11,33
2018-02-18,51
2018-02-25,0
2018-03-04,33
2018-03-11,34
2018-03-18,0
2018-03-25,34
2018-04-01,35
2018-04-08,51
2018-04-15,0
2018-04-22,35
2018-04-29,35
2018-05-06,36
2018-05-13,34
2018-05-20,70
2018-05-27,0
2018-06-03,67
2018-06-10,48
2018-06-17,34
2018-06-24,0
2018-07-01,33
2018-07-08,0
2018-07-15,36
2018-07-22,37
2018-07-29,0
2018-08-05,37
2018-08-12,0
2018-08-19,37
2018-08-26,36
2018-09-02,69
2018-09-09,35
2018-09-16,34
2018-09-23,0
2018-09-30,51
2018-10-07,35
2018-10-14,35
2018-10-21,35
2018-10-28,0
2018-11-04,50
2018-11-11,34
2018-11-18,0
2018-11-25,33
2018-12-02,34
2018-12-09,34
2018-12-16,0
2018-12-23,0
2018-12-30,37
2019-01-06,33
2019-01-13,33
2019-01-20,0
2019-01-27,32
2019-02-03,49
2019-02-10,34
2019-02-17,35
2019-02-24,0
2019-03-03,0
2019-03-10,33
2019-03-17,35
2019-03-24,34
2019-03-31,34
2019-04-07,0
2019-04-14,0
2019-04-21,0
2019-04-28,34
2019-05-05,0
2019-05-12,34
2019-05-19,0
2019-05-26,34
2019-06-02,0
2019-06-09,0
2019-06-16,100
2019-06-23,0
2019-06-30,0
2019-07-07,33
2019-07-14,51
2019-07-21,35
2019-07-28,36
2019-08-04,36
2019-08-11,36
2019-08-18,35
2019-08-25,0
2019-09-01,0
2019-09-08,32
2019-09-15,64
2019-09-22,62
2019-09-29,0
2019-10-06,31
2019-10-13,47
2019-10-20,31
2019-10-27,0
2019-11-03,30
2019-11-10,30
2019-11-17,31
2019-11-24,0
2019-12-01,30
2019-12-08,0
2019-12-15,0
2019-12-22,34
2019-12-29,0
2020-01-05,29
2020-01-12,0
2020-01-19,29
2020-01-26,29
2020-02-02,0
2020-02-09,29
2020-02-16,59
2020-02-23,43
2020-03-01,28
2020-03-08,28
2020-03-15,53
2020-03-22,0
2020-03-29,0
2020-04-05,26
2020-04-12,0
2020-04-19,0
2020-04-26,25
2020-05-03,0
2020-05-10,26
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,0
2020-06-14,0
2020-06-21,29
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,30
2020-07-26,0
