Categoría: Todas las categorías

Semana,Plaza de Cibeles: (Francia)
2015-08-02,77
2015-08-09,39
2015-08-16,38
2015-08-23,0
2015-08-30,68
2015-09-06,67
2015-09-13,32
2015-09-20,65
2015-09-27,49
2015-10-04,32
2015-10-11,65
2015-10-18,0
2015-10-25,0
2015-11-01,63
2015-11-08,32
2015-11-15,31
2015-11-22,31
2015-11-29,31
2015-12-06,31
2015-12-13,32
2015-12-20,36
2015-12-27,53
2016-01-03,41
2016-01-10,31
2016-01-17,0
2016-01-24,31
2016-01-31,31
2016-02-07,0
2016-02-14,32
2016-02-21,0
2016-02-28,31
2016-03-06,0
2016-03-13,0
2016-03-20,32
2016-03-27,65
2016-04-03,32
2016-04-10,66
2016-04-17,0
2016-04-24,33
2016-05-01,35
2016-05-08,43
2016-05-15,34
2016-05-22,33
2016-05-29,64
2016-06-05,34
2016-06-12,0
2016-06-19,0
2016-06-26,68
2016-07-03,36
2016-07-10,39
2016-07-17,39
2016-07-24,39
2016-07-31,0
2016-08-07,44
2016-08-14,44
2016-08-21,40
2016-08-28,36
2016-09-04,36
2016-09-11,0
2016-09-18,36
2016-09-25,35
2016-10-02,36
2016-10-09,0
2016-10-16,35
2016-10-23,0
2016-10-30,35
2016-11-06,34
2016-11-13,34
2016-11-20,0
2016-11-27,33
2016-12-04,48
2016-12-11,67
2016-12-18,35
2016-12-25,37
2017-01-01,0
2017-01-08,47
2017-01-15,43
2017-01-22,47
2017-01-29,31
2017-02-05,32
2017-02-12,33
2017-02-19,32
2017-02-26,31
2017-03-05,31
2017-03-12,31
2017-03-19,47
2017-03-26,49
2017-04-02,0
2017-04-09,34
2017-04-16,34
2017-04-23,31
2017-04-30,78
2017-05-07,31
2017-05-14,33
2017-05-21,72
2017-05-28,66
2017-06-04,100
2017-06-11,66
2017-06-18,65
2017-06-25,65
2017-07-02,57
2017-07-09,0
2017-07-16,35
2017-07-23,67
2017-07-30,0
2017-08-06,35
2017-08-13,73
2017-08-20,68
2017-08-27,32
2017-09-03,32
2017-09-10,63
2017-09-17,32
2017-09-24,31
2017-10-01,0
2017-10-08,62
2017-10-15,31
2017-10-22,32
2017-10-29,31
2017-11-05,61
2017-11-12,61
2017-11-19,60
2017-11-26,45
2017-12-03,30
2017-12-10,59
2017-12-17,64
2017-12-24,0
2017-12-31,32
2018-01-07,0
2018-01-14,29
2018-01-21,59
2018-01-28,70
2018-02-04,29
2018-02-11,0
2018-02-18,46
2018-02-25,0
2018-03-04,0
2018-03-11,30
2018-03-18,91
2018-03-25,41
2018-04-01,31
2018-04-08,45
2018-04-15,33
2018-04-22,31
2018-04-29,31
2018-05-06,48
2018-05-13,91
2018-05-20,41
2018-05-27,100
2018-06-03,30
2018-06-10,29
2018-06-17,45
2018-06-24,31
2018-07-01,30
2018-07-08,47
2018-07-15,0
2018-07-22,49
2018-07-29,44
2018-08-05,33
2018-08-12,34
2018-08-19,33
2018-08-26,47
2018-09-02,52
2018-09-09,31
2018-09-16,31
2018-09-23,31
2018-09-30,0
2018-10-07,31
2018-10-14,62
2018-10-21,31
2018-10-28,0
2018-11-04,30
2018-11-11,30
2018-11-18,44
2018-11-25,30
2018-12-02,61
2018-12-09,61
2018-12-16,63
2018-12-23,0
2018-12-30,0
2019-01-06,75
2019-01-13,30
2019-01-20,29
2019-01-27,0
2019-02-03,0
2019-02-10,31
2019-02-17,62
2019-02-24,61
2019-03-03,0
2019-03-10,60
2019-03-17,31
2019-03-24,31
2019-03-31,40
2019-04-07,61
2019-04-14,31
2019-04-21,76
2019-04-28,0
2019-05-05,39
2019-05-12,60
2019-05-19,39
2019-05-26,76
2019-06-02,65
2019-06-09,29
2019-06-16,45
2019-06-23,89
2019-06-30,30
2019-07-07,39
2019-07-14,30
2019-07-21,78
2019-07-28,63
2019-08-04,32
2019-08-11,48
2019-08-18,32
2019-08-25,0
2019-09-01,57
2019-09-08,29
2019-09-15,0
2019-09-22,55
2019-09-29,41
2019-10-06,37
2019-10-13,0
2019-10-20,69
2019-10-27,55
2019-11-03,40
2019-11-10,27
2019-11-17,36
2019-11-24,26
2019-12-01,93
2019-12-08,53
2019-12-15,0
2019-12-22,61
2019-12-29,58
2020-01-05,0
2020-01-12,34
2020-01-19,88
2020-01-26,35
2020-02-02,52
2020-02-09,26
2020-02-16,35
2020-02-23,34
2020-03-01,63
2020-03-08,42
2020-03-15,47
2020-03-22,46
2020-03-29,31
2020-04-05,35
2020-04-12,36
2020-04-19,47
2020-04-26,0
2020-05-03,22
2020-05-10,59
2020-05-17,25
2020-05-24,24
2020-05-31,46
2020-06-07,35
2020-06-14,0
2020-06-21,34
2020-06-28,25
2020-07-05,0
2020-07-12,55
2020-07-19,54
2020-07-26,0
