Categoría: Todas las categorías

Semana,Palacio de Cristal: (Francia)
2015-08-02,34
2015-08-09,0
2015-08-16,0
2015-08-23,0
2015-08-30,0
2015-09-06,45
2015-09-13,0
2015-09-20,0
2015-09-27,0
2015-10-04,29
2015-10-11,29
2015-10-18,0
2015-10-25,29
2015-11-01,28
2015-11-08,28
2015-11-15,42
2015-11-22,42
2015-11-29,55
2015-12-06,28
2015-12-13,0
2015-12-20,0
2015-12-27,32
2016-01-03,28
2016-01-10,28
2016-01-17,28
2016-01-24,28
2016-01-31,28
2016-02-07,47
2016-02-14,0
2016-02-21,29
2016-02-28,0
2016-03-06,0
2016-03-13,29
2016-03-20,29
2016-03-27,29
2016-04-03,0
2016-04-10,30
2016-04-17,0
2016-04-24,0
2016-05-01,63
2016-05-08,0
2016-05-15,0
2016-05-22,30
2016-05-29,43
2016-06-05,60
2016-06-12,29
2016-06-19,0
2016-06-26,30
2016-07-03,0
2016-07-10,35
2016-07-17,0
2016-07-24,0
2016-07-31,0
2016-08-07,0
2016-08-14,39
2016-08-21,0
2016-08-28,0
2016-09-04,0
2016-09-11,32
2016-09-18,32
2016-09-25,0
2016-10-02,48
2016-10-09,0
2016-10-16,32
2016-10-23,31
2016-10-30,0
2016-11-06,30
2016-11-13,0
2016-11-20,0
2016-11-27,30
2016-12-04,29
2016-12-11,30
2016-12-18,32
2016-12-25,100
2017-01-01,0
2017-01-08,42
2017-01-15,0
2017-01-22,0
2017-01-29,28
2017-02-05,29
2017-02-12,29
2017-02-19,59
2017-02-26,83
2017-03-05,41
2017-03-12,28
2017-03-19,28
2017-03-26,44
2017-04-02,29
2017-04-09,30
2017-04-16,60
2017-04-23,0
2017-04-30,56
2017-05-07,56
2017-05-14,30
2017-05-21,33
2017-05-28,29
2017-06-04,0
2017-06-11,40
2017-06-18,0
2017-06-25,30
2017-07-02,31
2017-07-09,0
2017-07-16,31
2017-07-23,30
2017-07-30,0
2017-08-06,31
2017-08-13,49
2017-08-20,31
2017-08-27,29
2017-09-03,57
2017-09-10,28
2017-09-17,29
2017-09-24,28
2017-10-01,28
2017-10-08,28
2017-10-15,57
2017-10-22,56
2017-10-29,0
2017-11-05,0
2017-11-12,27
2017-11-19,27
2017-11-26,27
2017-12-03,27
2017-12-10,0
2017-12-17,29
2017-12-24,31
2017-12-31,29
2018-01-07,27
2018-01-14,26
2018-01-21,27
2018-01-28,27
2018-02-04,0
2018-02-11,27
2018-02-18,27
2018-02-25,27
2018-03-04,0
2018-03-11,27
2018-03-18,27
2018-03-25,27
2018-04-01,28
2018-04-08,27
2018-04-15,30
2018-04-22,28
2018-04-29,28
2018-05-06,29
2018-05-13,27
2018-05-20,28
2018-05-27,0
2018-06-03,27
2018-06-10,26
2018-06-17,27
2018-06-24,27
2018-07-01,26
2018-07-08,42
2018-07-15,29
2018-07-22,29
2018-07-29,30
2018-08-05,30
2018-08-12,30
2018-08-19,59
2018-08-26,0
2018-09-02,28
2018-09-09,27
2018-09-16,28
2018-09-23,0
2018-09-30,55
2018-10-07,28
2018-10-14,28
2018-10-21,55
2018-10-28,69
2018-11-04,27
2018-11-11,0
2018-11-18,0
2018-11-25,27
2018-12-02,27
2018-12-09,0
2018-12-16,42
2018-12-23,31
2018-12-30,0
2019-01-06,27
2019-01-13,27
2019-01-20,26
2019-01-27,26
2019-02-03,26
2019-02-10,27
2019-02-17,28
2019-02-24,27
2019-03-03,0
2019-03-10,27
2019-03-17,0
2019-03-24,28
2019-03-31,27
2019-04-07,0
2019-04-14,0
2019-04-21,28
2019-04-28,54
2019-05-05,27
2019-05-12,40
2019-05-19,27
2019-05-26,27
2019-06-02,25
2019-06-09,52
2019-06-16,27
2019-06-23,27
2019-06-30,26
2019-07-07,26
2019-07-14,0
2019-07-21,28
2019-07-28,0
2019-08-04,29
2019-08-11,38
2019-08-18,42
2019-08-25,0
2019-09-01,26
2019-09-08,0
2019-09-15,52
2019-09-22,25
2019-09-29,74
2019-10-06,25
2019-10-13,25
2019-10-20,37
2019-10-27,24
2019-11-03,24
2019-11-10,25
2019-11-17,0
2019-11-24,35
2019-12-01,36
2019-12-08,0
2019-12-15,0
2019-12-22,27
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,24
2020-01-26,23
2020-02-02,0
2020-02-09,31
2020-02-16,24
2020-02-23,46
2020-03-01,22
2020-03-08,34
2020-03-15,0
2020-03-22,21
2020-03-29,0
2020-04-05,21
2020-04-12,21
2020-04-19,0
2020-04-26,20
2020-05-03,40
2020-05-10,21
2020-05-17,23
2020-05-24,22
2020-05-31,0
2020-06-07,0
2020-06-14,0
2020-06-21,23
2020-06-28,22
2020-07-05,0
2020-07-12,25
2020-07-19,24
2020-07-26,0
