Semana,prado: (Alemania),plaza mayor: (Alemania),el retiro: (Alemania),puerta del sol: (Alemania),gran via: (Alemania),museo thyssen: (Alemania),templo de debod: (Alemania),catedral de la almudena: (Alemania),cibeles: (Alemania),palacio de cristal: (Alemania),puerta de alcala: (Alemania),el rastro: (Alemania),las ventas: (Alemania),chueca: (Alemania),san gines: (Alemania),callao: (Alemania)
2015-08-02,<1,19,45,0,74,0,0,0,23,0,55,45,21,32,0,66
2015-08-09,<1,19,44,0,39,0,0,0,0,0,0,0,20,63,59,65
2015-08-16,<1,25,0,21,50,0,0,0,23,0,0,44,20,31,0,54
2015-08-23,1,28,88,41,33,0,57,0,45,0,53,0,20,62,58,32
2015-08-30,1,56,0,31,60,0,0,0,22,0,0,57,0,31,0,32
2015-09-06,1,28,0,0,71,0,56,0,45,0,0,43,20,31,0,21
2015-09-13,<1,36,0,20,47,0,0,0,21,0,0,41,25,0,0,40
2015-09-20,1,30,0,50,48,0,0,0,0,75,52,0,0,0,56,31
2015-09-27,1,36,42,30,32,0,0,60,66,0,52,0,29,30,57,21
2015-10-04,<1,29,41,19,41,49,0,58,42,0,50,61,19,29,0,30
2015-10-11,1,0,41,19,62,0,0,0,21,0,0,41,19,0,55,79
2015-10-18,1,35,0,0,62,0,54,0,21,0,50,0,19,29,0,50
2015-10-25,<1,29,41,39,51,0,0,0,0,0,50,41,0,58,55,60
2015-11-01,1,76,0,19,46,48,53,0,85,0,0,41,19,44,55,60
2015-11-08,1,52,100,38,51,0,0,0,21,0,49,0,19,48,54,59
2015-11-15,1,34,40,38,60,0,0,0,21,0,0,0,0,29,0,68
2015-11-22,<1,47,61,19,46,0,0,0,42,0,0,81,0,29,0,20
2015-11-29,1,60,0,19,41,47,0,0,0,0,50,40,18,43,0,30
2015-12-06,1,41,60,48,56,0,0,0,0,0,0,40,19,29,0,39
2015-12-13,1,45,42,20,53,50,0,0,22,0,0,0,0,30,0,41
2015-12-20,1,21,50,0,19,0,0,0,26,59,61,0,0,36,67,74
2015-12-27,1,31,0,78,30,0,0,0,0,0,0,47,0,34,0,23
2016-01-03,1,22,38,18,64,0,0,0,20,0,0,0,0,27,51,37
2016-01-10,1,32,36,0,61,0,0,0,19,0,0,37,17,27,0,45
2016-01-17,<1,43,37,0,78,0,0,0,29,45,46,0,23,27,0,37
2016-01-24,<1,53,0,17,75,0,0,0,58,0,46,37,34,53,0,55
2016-01-31,1,38,0,18,72,0,0,54,0,0,0,57,17,27,0,65
2016-02-07,1,54,0,18,43,0,0,0,20,0,0,0,0,27,0,37
2016-02-14,1,65,0,18,57,44,0,0,19,45,0,75,17,79,50,18
2016-02-21,1,33,0,27,77,45,0,54,20,46,0,38,17,40,0,28
2016-02-28,<1,40,37,27,99,0,0,0,19,45,0,37,0,0,0,28
2016-03-06,1,38,38,36,62,0,0,0,20,0,0,0,0,41,0,37
2016-03-13,<1,90,0,37,67,0,0,0,20,46,0,0,27,41,52,38
2016-03-20,1,46,0,0,38,0,0,0,31,48,0,40,19,57,0,79
2016-03-27,<1,17,0,38,92,48,0,0,21,0,0,41,28,43,54,50
2016-04-03,1,45,0,37,25,0,51,0,20,47,48,39,18,0,0,0
2016-04-10,1,75,78,18,44,0,75,0,0,0,0,0,18,54,51,19
2016-04-17,1,45,39,46,29,0,50,0,20,47,48,78,18,0,53,19
2016-04-24,1,27,38,18,62,44,0,0,29,45,0,50,0,27,50,18
2016-05-01,<1,18,86,20,38,0,56,0,0,0,52,43,0,31,0,42
2016-05-08,<1,69,81,38,71,0,0,0,21,0,0,0,18,28,55,20
2016-05-15,1,35,0,19,46,47,0,0,21,0,0,41,37,0,0,20
2016-05-22,1,46,40,29,46,0,0,0,0,48,0,40,19,0,0,50
2016-05-29,1,44,37,37,48,0,50,0,78,45,0,56,26,36,51,28
2016-06-05,1,45,39,18,59,0,0,0,20,47,0,39,18,28,52,19
2016-06-12,1,54,37,18,62,44,0,0,20,0,46,0,17,27,50,55
2016-06-19,1,34,39,18,25,46,0,0,20,0,0,39,27,28,0,38
2016-06-26,<1,100,39,27,49,0,51,0,30,46,0,77,18,28,52,47
2016-07-03,1,18,0,20,57,0,54,0,0,0,0,41,0,29,0,20
2016-07-10,<1,52,0,0,31,0,0,0,21,0,0,0,19,29,0,20
2016-07-17,<1,37,42,20,48,0,55,0,0,50,52,0,20,30,57,42
2016-07-24,1,61,0,20,48,0,0,0,0,0,0,0,0,45,0,62
2016-07-31,1,28,0,51,49,0,0,0,33,0,0,0,20,31,0,74
2016-08-07,1,64,45,21,34,53,0,0,23,0,55,45,0,32,0,44
2016-08-14,1,20,0,0,53,55,0,0,0,0,0,47,22,0,62,46
2016-08-21,1,29,0,0,45,0,0,0,23,0,0,67,21,0,61,44
2016-08-28,1,25,43,41,74,51,0,0,45,0,0,0,0,31,58,64
2016-09-04,<1,18,0,0,32,0,0,0,22,0,0,42,19,30,57,62
2016-09-11,<1,30,42,19,79,0,0,0,22,0,0,0,19,0,56,51
2016-09-18,<1,37,84,40,43,100,0,0,43,0,0,42,39,0,0,21
2016-09-25,<1,30,0,20,79,0,0,0,22,50,0,0,19,30,56,51
2016-10-02,<1,54,42,20,69,0,0,0,22,0,0,42,19,30,0,21
2016-10-09,<1,41,41,0,77,0,0,0,64,0,0,41,19,44,0,40
2016-10-16,1,52,41,39,31,48,0,0,43,0,100,0,38,29,54,40
2016-10-23,<1,40,60,19,46,47,0,0,21,0,49,40,18,29,54,20
2016-10-30,1,17,0,0,77,0,52,0,42,48,0,0,19,29,55,99
2016-11-06,<1,51,0,0,30,0,0,0,0,0,0,39,18,0,0,58
2016-11-13,<1,17,0,37,25,0,51,0,21,0,0,39,18,0,53,19
2016-11-20,<1,17,39,37,30,46,0,56,0,46,0,40,0,28,0,68
2016-11-27,<1,51,79,55,35,0,51,0,0,46,48,39,0,28,53,29
2016-12-04,<1,39,38,18,44,0,50,0,0,0,48,0,0,0,0,19
2016-12-11,<1,39,0,0,39,45,0,0,0,0,0,38,0,27,0,75
2016-12-18,<1,24,41,39,37,49,0,0,0,0,0,0,0,30,56,20
2016-12-25,<1,19,0,63,33,52,0,63,23,0,0,45,0,31,0,66
2017-01-01,<1,41,38,18,48,46,0,0,0,0,47,0,0,27,51,47
2017-01-08,1,16,0,17,55,0,0,0,0,0,0,36,33,26,0,18
2017-01-15,1,27,37,35,56,0,0,0,0,44,45,0,0,26,49,72
2017-01-22,1,37,0,17,65,44,0,0,0,44,45,0,0,39,50,54
2017-01-29,1,24,36,52,55,43,0,0,0,0,0,36,0,26,0,63
2017-02-05,<1,47,0,17,51,43,48,52,19,0,45,0,17,39,49,45
2017-02-12,<1,47,74,17,47,0,0,0,0,0,46,37,17,26,0,18
2017-02-19,1,24,0,18,70,0,0,53,0,0,0,0,0,40,100,64
2017-02-26,<1,31,36,35,83,43,0,52,19,0,45,37,17,26,49,27
2017-03-05,<1,39,0,51,50,0,0,0,0,0,44,0,33,78,0,27
2017-03-12,1,48,0,0,42,0,0,0,19,44,45,0,51,39,49,54
2017-03-19,1,69,0,35,37,0,49,0,20,45,0,37,0,27,49,82
2017-03-26,1,39,59,46,44,0,51,0,20,47,0,52,18,28,0,58
2017-04-02,<1,60,76,0,77,0,50,0,20,46,46,76,18,27,0,47
2017-04-09,<1,39,39,55,67,0,0,0,0,46,0,39,18,0,52,38
2017-04-16,1,81,0,18,72,45,0,0,20,91,0,37,26,27,0,56
2017-04-23,<1,55,72,0,74,0,0,0,38,0,0,54,0,26,0,45
2017-04-30,1,27,0,18,38,0,98,0,20,0,0,38,35,27,0,55
2017-05-07,1,32,37,17,51,43,0,0,0,44,0,37,17,0,0,18
2017-05-14,<1,33,39,27,34,0,50,0,20,46,48,39,27,0,0,28
2017-05-21,<1,27,0,39,52,0,54,0,97,100,51,41,29,29,0,31
2017-05-28,<1,17,52,0,54,0,0,0,30,47,0,58,18,42,53,29
2017-06-04,1,39,38,27,63,46,0,0,100,0,0,0,18,28,0,94
2017-06-11,<1,40,39,19,70,47,0,0,0,47,0,0,0,0,0,68
2017-06-18,<1,25,77,0,14,0,50,0,0,0,0,75,35,27,0,37
2017-06-25,<1,32,0,18,43,66,0,0,39,45,0,0,17,80,50,37
2017-07-02,<1,33,39,18,34,0,0,0,0,47,0,58,18,28,52,38
2017-07-09,<1,33,38,54,48,0,0,0,0,0,0,0,35,41,51,38
2017-07-16,1,42,39,19,29,46,0,0,20,94,0,39,18,28,0,38
2017-07-23,<1,16,38,36,67,44,0,0,0,0,0,0,17,0,50,46
2017-07-30,<1,16,38,18,43,0,0,0,0,45,0,0,34,54,51,37
2017-08-06,1,16,37,44,75,0,0,0,0,0,0,37,17,27,50,55
2017-08-13,<1,33,0,18,24,67,100,0,0,0,0,38,18,27,51,37
2017-08-20,1,25,0,18,58,0,0,0,20,0,47,38,0,27,52,28
2017-08-27,<1,37,73,69,33,0,0,0,19,0,92,38,17,27,0,18
2017-09-03,<1,21,0,17,65,43,48,0,19,44,45,0,17,53,50,54
2017-09-10,1,21,36,26,55,0,47,0,19,0,0,0,25,26,0,71
2017-09-17,1,37,37,17,55,43,0,0,19,44,45,73,25,0,49,27
2017-09-24,<1,61,35,25,63,42,47,0,18,84,43,53,17,42,48,35
2017-10-01,<1,16,0,42,45,0,47,0,38,43,0,0,17,25,97,70
2017-10-08,<1,21,36,51,59,0,47,0,0,0,89,0,17,26,0,26
2017-10-15,<1,31,0,17,50,0,0,51,18,85,0,36,17,26,0,18
2017-10-22,<1,40,35,33,53,0,46,49,0,0,43,35,16,50,0,17
2017-10-29,<1,23,0,34,63,0,0,51,19,0,44,0,17,0,0,18
2017-11-05,<1,30,68,17,52,0,0,0,18,42,0,0,0,37,0,68
2017-11-12,1,30,34,33,17,0,0,0,0,0,0,34,16,49,46,17
2017-11-19,<1,74,0,16,26,41,0,0,0,0,42,34,16,25,46,34
2017-11-26,<1,25,0,0,31,0,0,0,37,0,0,36,16,25,0,61
2017-12-03,<1,20,35,33,31,62,0,100,18,42,0,0,16,25,47,17
2017-12-10,<1,23,35,17,26,42,0,0,18,42,87,34,24,25,0,17
2017-12-17,<1,27,0,53,42,0,0,0,0,0,0,0,0,0,50,18
2017-12-24,<1,35,0,20,31,0,0,59,0,49,0,0,0,44,0,70
2017-12-31,<1,21,36,43,23,0,0,0,38,0,0,36,17,0,0,27
2018-01-07,<1,29,34,32,42,0,0,0,17,0,42,33,31,24,0,41
2018-01-14,<1,57,33,16,38,0,0,0,17,0,0,33,0,0,0,41
2018-01-21,<1,38,0,16,51,39,43,0,0,0,41,33,15,0,44,57
2018-01-28,<1,43,33,16,59,59,0,47,0,0,0,99,15,24,45,66
2018-02-04,<1,39,0,16,47,80,0,0,0,40,42,0,16,37,0,33
2018-02-11,<1,20,34,0,69,41,0,0,18,61,42,0,0,25,0,25
2018-02-18,1,20,34,16,30,0,0,0,18,0,42,33,0,40,0,67
2018-02-25,<1,58,33,48,32,0,44,0,18,0,0,34,16,24,45,16
2018-03-04,<1,34,34,40,60,39,0,0,0,40,0,0,39,24,46,51
2018-03-11,1,36,0,32,38,0,0,0,17,0,0,33,16,24,46,33
2018-03-18,1,29,34,32,73,40,89,0,0,0,42,68,16,0,0,25
2018-03-25,<1,47,36,51,41,42,47,0,19,43,45,73,17,26,49,35
2018-04-01,<1,24,0,52,32,0,0,0,0,0,45,54,34,61,0,27
2018-04-08,<1,25,35,17,35,0,46,0,0,0,43,87,16,0,0,17
