Categoría: Todas las categorías

Semana,plaza mayor: (Alemania)
2015-08-02,19
2015-08-09,19
2015-08-16,25
2015-08-23,28
2015-08-30,56
2015-09-06,28
2015-09-13,36
2015-09-20,30
2015-09-27,36
2015-10-04,29
2015-10-11,0
2015-10-18,35
2015-10-25,29
2015-11-01,76
2015-11-08,52
2015-11-15,34
2015-11-22,47
2015-11-29,60
2015-12-06,41
2015-12-13,45
2015-12-20,21
2015-12-27,31
2016-01-03,22
2016-01-10,32
2016-01-17,43
2016-01-24,53
2016-01-31,38
2016-02-07,54
2016-02-14,65
2016-02-21,33
2016-02-28,40
2016-03-06,38
2016-03-13,90
2016-03-20,46
2016-03-27,17
2016-04-03,45
2016-04-10,75
2016-04-17,45
2016-04-24,27
2016-05-01,18
2016-05-08,69
2016-05-15,35
2016-05-22,46
2016-05-29,44
2016-06-05,45
2016-06-12,54
2016-06-19,34
2016-06-26,100
2016-07-03,18
2016-07-10,52
2016-07-17,37
2016-07-24,61
2016-07-31,28
2016-08-07,64
2016-08-14,20
2016-08-21,29
2016-08-28,25
2016-09-04,18
2016-09-11,30
2016-09-18,37
2016-09-25,30
2016-10-02,54
2016-10-09,41
2016-10-16,52
2016-10-23,40
2016-10-30,17
2016-11-06,51
2016-11-13,17
2016-11-20,17
2016-11-27,51
2016-12-04,39
2016-12-11,39
2016-12-18,24
2016-12-25,19
2017-01-01,41
2017-01-08,16
2017-01-15,27
2017-01-22,37
2017-01-29,24
2017-02-05,47
2017-02-12,47
2017-02-19,24
2017-02-26,31
2017-03-05,39
2017-03-12,48
2017-03-19,69
2017-03-26,39
2017-04-02,60
2017-04-09,39
2017-04-16,81
2017-04-23,55
2017-04-30,27
2017-05-07,32
2017-05-14,33
2017-05-21,27
2017-05-28,17
2017-06-04,39
2017-06-11,40
2017-06-18,25
2017-06-25,32
2017-07-02,33
2017-07-09,33
2017-07-16,42
2017-07-23,16
2017-07-30,16
2017-08-06,16
2017-08-13,33
2017-08-20,25
2017-08-27,37
2017-09-03,21
2017-09-10,21
2017-09-17,37
2017-09-24,61
2017-10-01,16
2017-10-08,21
2017-10-15,31
2017-10-22,40
2017-10-29,23
2017-11-05,30
2017-11-12,30
2017-11-19,74
2017-11-26,25
2017-12-03,20
2017-12-10,23
2017-12-17,27
2017-12-24,35
2017-12-31,21
2018-01-07,29
2018-01-14,57
2018-01-21,38
2018-01-28,43
2018-02-04,39
2018-02-11,20
2018-02-18,20
2018-02-25,58
2018-03-04,34
2018-03-11,36
2018-03-18,29
2018-03-25,47
2018-04-01,24
2018-04-08,25
2018-04-15,56
2018-04-22,44
2018-04-29,46
2018-05-06,26
2018-05-13,30
2018-05-20,26
2018-05-27,40
2018-06-03,50
2018-06-10,24
2018-06-17,36
2018-06-24,25
2018-07-01,22
2018-07-08,15
2018-07-15,25
2018-07-22,41
2018-07-29,15
2018-08-05,45
2018-08-12,15
2018-08-19,35
2018-08-26,25
2018-09-02,60
2018-09-09,35
2018-09-16,45
2018-09-23,25
2018-09-30,15
2018-10-07,20
2018-10-14,30
2018-10-21,15
2018-10-28,22
2018-11-04,28
2018-11-11,19
2018-11-18,19
2018-11-25,29
2018-12-02,14
2018-12-09,22
2018-12-16,30
2018-12-23,33
2018-12-30,23
2019-01-06,41
2019-01-13,40
2019-01-20,40
2019-01-27,40
2019-02-03,27
2019-02-10,37
2019-02-17,32
2019-02-24,57
2019-03-03,42
2019-03-10,20
2019-03-17,43
2019-03-24,42
2019-03-31,38
2019-04-07,51
2019-04-14,23
2019-04-21,37
2019-04-28,46
2019-05-05,34
2019-05-12,21
2019-05-19,42
2019-05-26,38
2019-06-02,28
2019-06-09,14
2019-06-16,58
2019-06-23,29
2019-06-30,35
2019-07-07,28
2019-07-14,24
2019-07-21,15
2019-07-28,22
2019-08-04,15
2019-08-11,21
2019-08-18,14
2019-08-25,19
2019-09-01,32
2019-09-08,37
2019-09-15,19
2019-09-22,14
2019-09-29,36
2019-10-06,18
2019-10-13,22
2019-10-20,31
2019-10-27,13
2019-11-03,30
2019-11-10,26
2019-11-17,34
2019-11-24,13
2019-12-01,22
2019-12-08,26
2019-12-15,27
2019-12-22,15
2019-12-29,23
2020-01-05,45
2020-01-12,32
2020-01-19,38
2020-01-26,37
2020-02-02,25
2020-02-09,18
2020-02-16,19
2020-02-23,32
2020-03-01,18
2020-03-08,46
2020-03-15,11
2020-03-22,39
2020-03-29,28
2020-04-05,24
2020-04-12,0
2020-04-19,28
2020-04-26,41
2020-05-03,22
2020-05-10,19
2020-05-17,24
2020-05-24,12
2020-05-31,23
2020-06-07,11
2020-06-14,11
2020-06-21,30
2020-06-28,16
2020-07-05,20
2020-07-12,29
2020-07-19,34
2020-07-26,0
