Categoría: Todas las categorías

Semana,las ventas: (Alemania)
2015-08-02,21
2015-08-09,20
2015-08-16,20
2015-08-23,20
2015-08-30,0
2015-09-06,20
2015-09-13,25
2015-09-20,0
2015-09-27,29
2015-10-04,19
2015-10-11,19
2015-10-18,19
2015-10-25,0
2015-11-01,19
2015-11-08,19
2015-11-15,0
2015-11-22,0
2015-11-29,18
2015-12-06,19
2015-12-13,0
2015-12-20,0
2015-12-27,0
2016-01-03,0
2016-01-10,17
2016-01-17,23
2016-01-24,34
2016-01-31,17
2016-02-07,0
2016-02-14,17
2016-02-21,17
2016-02-28,0
2016-03-06,0
2016-03-13,27
2016-03-20,19
2016-03-27,28
2016-04-03,18
2016-04-10,18
2016-04-17,18
2016-04-24,0
2016-05-01,0
2016-05-08,18
2016-05-15,37
2016-05-22,19
2016-05-29,26
2016-06-05,18
2016-06-12,17
2016-06-19,27
2016-06-26,18
2016-07-03,0
2016-07-10,19
2016-07-17,20
2016-07-24,0
2016-07-31,20
2016-08-07,0
2016-08-14,22
2016-08-21,21
2016-08-28,0
2016-09-04,19
2016-09-11,19
2016-09-18,39
2016-09-25,19
2016-10-02,19
2016-10-09,19
2016-10-16,38
2016-10-23,18
2016-10-30,19
2016-11-06,18
2016-11-13,18
2016-11-20,0
2016-11-27,0
2016-12-04,0
2016-12-11,0
2016-12-18,0
2016-12-25,0
2017-01-01,0
2017-01-08,33
2017-01-15,0
2017-01-22,0
2017-01-29,0
2017-02-05,17
2017-02-12,17
2017-02-19,0
2017-02-26,17
2017-03-05,33
2017-03-12,51
2017-03-19,0
2017-03-26,18
2017-04-02,18
2017-04-09,18
2017-04-16,26
2017-04-23,0
2017-04-30,35
2017-05-07,17
2017-05-14,27
2017-05-21,29
2017-05-28,18
2017-06-04,18
2017-06-11,0
2017-06-18,35
2017-06-25,17
2017-07-02,18
2017-07-09,35
2017-07-16,18
2017-07-23,17
2017-07-30,34
2017-08-06,17
2017-08-13,18
2017-08-20,0
2017-08-27,17
2017-09-03,17
2017-09-10,25
2017-09-17,25
2017-09-24,17
2017-10-01,17
2017-10-08,17
2017-10-15,17
2017-10-22,16
2017-10-29,17
2017-11-05,0
2017-11-12,16
2017-11-19,16
2017-11-26,16
2017-12-03,16
2017-12-10,24
2017-12-17,0
2017-12-24,0
2017-12-31,17
2018-01-07,31
2018-01-14,0
2018-01-21,15
2018-01-28,15
2018-02-04,16
2018-02-11,0
2018-02-18,0
2018-02-25,16
2018-03-04,39
2018-03-11,16
2018-03-18,16
2018-03-25,17
2018-04-01,34
2018-04-08,16
2018-04-15,16
2018-04-22,48
2018-04-29,100
2018-05-06,22
2018-05-13,16
2018-05-20,17
2018-05-27,24
2018-06-03,0
2018-06-10,15
2018-06-17,31
2018-06-24,16
2018-07-01,0
2018-07-08,16
2018-07-15,0
2018-07-22,16
2018-07-29,25
2018-08-05,0
2018-08-12,16
2018-08-19,16
2018-08-26,16
2018-09-02,40
2018-09-09,0
2018-09-16,16
2018-09-23,0
2018-09-30,16
2018-10-07,24
2018-10-14,24
2018-10-21,0
2018-10-28,0
2018-11-04,15
2018-11-11,15
2018-11-18,15
2018-11-25,15
2018-12-02,15
2018-12-09,0
2018-12-16,0
2018-12-23,18
2018-12-30,16
2019-01-06,0
2019-01-13,22
2019-01-20,0
2019-01-27,0
2019-02-03,15
2019-02-10,0
2019-02-17,15
2019-02-24,15
2019-03-03,20
2019-03-10,29
2019-03-17,15
2019-03-24,0
2019-03-31,0
2019-04-07,15
2019-04-14,0
2019-04-21,0
2019-04-28,22
2019-05-05,14
2019-05-12,15
2019-05-19,30
2019-05-26,20
2019-06-02,30
2019-06-09,31
2019-06-16,26
2019-06-23,15
2019-06-30,45
2019-07-07,15
2019-07-14,0
2019-07-21,16
2019-07-28,16
2019-08-04,16
2019-08-11,0
2019-08-18,15
2019-08-25,15
2019-09-01,0
2019-09-08,15
2019-09-15,15
2019-09-22,0
2019-09-29,0
2019-10-06,0
2019-10-13,14
2019-10-20,0
2019-10-27,0
2019-11-03,14
2019-11-10,14
2019-11-17,0
2019-11-24,20
2019-12-01,21
2019-12-08,14
2019-12-15,14
2019-12-22,33
2019-12-29,15
2020-01-05,20
2020-01-12,13
2020-01-19,13
2020-01-26,13
2020-02-02,13
2020-02-09,0
2020-02-16,20
2020-02-23,0
2020-03-01,26
2020-03-08,24
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,25
2020-04-19,12
2020-04-26,0
2020-05-03,0
2020-05-10,12
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,12
2020-06-14,0
2020-06-21,13
2020-06-28,13
2020-07-05,13
2020-07-12,27
2020-07-19,0
2020-07-26,0
