Categoría: Todas las categorías

Semana,chueca: (Alemania)
2015-08-02,32
2015-08-09,63
2015-08-16,31
2015-08-23,62
2015-08-30,31
2015-09-06,31
2015-09-13,0
2015-09-20,0
2015-09-27,30
2015-10-04,29
2015-10-11,0
2015-10-18,29
2015-10-25,58
2015-11-01,44
2015-11-08,48
2015-11-15,29
2015-11-22,29
2015-11-29,43
2015-12-06,29
2015-12-13,30
2015-12-20,36
2015-12-27,34
2016-01-03,27
2016-01-10,27
2016-01-17,27
2016-01-24,53
2016-01-31,27
2016-02-07,27
2016-02-14,79
2016-02-21,40
2016-02-28,0
2016-03-06,41
2016-03-13,41
2016-03-20,57
2016-03-27,43
2016-04-03,0
2016-04-10,54
2016-04-17,0
2016-04-24,27
2016-05-01,31
2016-05-08,28
2016-05-15,0
2016-05-22,0
2016-05-29,36
2016-06-05,28
2016-06-12,27
2016-06-19,28
2016-06-26,28
2016-07-03,29
2016-07-10,29
2016-07-17,30
2016-07-24,45
2016-07-31,31
2016-08-07,32
2016-08-14,0
2016-08-21,0
2016-08-28,31
2016-09-04,30
2016-09-11,0
2016-09-18,0
2016-09-25,30
2016-10-02,30
2016-10-09,44
2016-10-16,29
2016-10-23,29
2016-10-30,29
2016-11-06,0
2016-11-13,0
2016-11-20,28
2016-11-27,28
2016-12-04,0
2016-12-11,27
2016-12-18,30
2016-12-25,31
2017-01-01,27
2017-01-08,26
2017-01-15,26
2017-01-22,39
2017-01-29,26
2017-02-05,39
2017-02-12,26
2017-02-19,40
2017-02-26,26
2017-03-05,78
2017-03-12,39
2017-03-19,27
2017-03-26,28
2017-04-02,27
2017-04-09,0
2017-04-16,27
2017-04-23,26
2017-04-30,27
2017-05-07,0
2017-05-14,0
2017-05-21,29
2017-05-28,42
2017-06-04,28
2017-06-11,0
2017-06-18,27
2017-06-25,80
2017-07-02,28
2017-07-09,41
2017-07-16,28
2017-07-23,0
2017-07-30,54
2017-08-06,27
2017-08-13,27
2017-08-20,27
2017-08-27,27
2017-09-03,53
2017-09-10,26
2017-09-17,0
2017-09-24,42
2017-10-01,25
2017-10-08,26
2017-10-15,26
2017-10-22,50
2017-10-29,0
2017-11-05,37
2017-11-12,49
2017-11-19,25
2017-11-26,25
2017-12-03,25
2017-12-10,25
2017-12-17,0
2017-12-24,44
2017-12-31,0
2018-01-07,24
2018-01-14,0
2018-01-21,0
2018-01-28,24
2018-02-04,37
2018-02-11,25
2018-02-18,40
2018-02-25,24
2018-03-04,24
2018-03-11,24
2018-03-18,0
2018-03-25,26
2018-04-01,61
2018-04-08,0
2018-04-15,0
2018-04-22,24
2018-04-29,0
2018-05-06,0
2018-05-13,0
2018-05-20,0
2018-05-27,33
2018-06-03,37
2018-06-10,0
2018-06-17,0
2018-06-24,100
2018-07-01,24
2018-07-08,24
2018-07-15,0
2018-07-22,25
2018-07-29,25
2018-08-05,0
2018-08-12,0
2018-08-19,0
2018-08-26,0
2018-09-02,49
2018-09-09,0
2018-09-16,0
2018-09-23,37
2018-09-30,37
2018-10-07,33
2018-10-14,25
2018-10-21,24
2018-10-28,0
2018-11-04,23
2018-11-11,48
2018-11-18,46
2018-11-25,0
2018-12-02,24
2018-12-09,24
2018-12-16,25
2018-12-23,0
2018-12-30,25
2019-01-06,23
2019-01-13,37
2019-01-20,0
2019-01-27,22
2019-02-03,45
2019-02-10,23
2019-02-17,23
2019-02-24,24
2019-03-03,0
2019-03-10,22
2019-03-17,0
2019-03-24,23
2019-03-31,24
2019-04-07,0
2019-04-14,0
2019-04-21,0
2019-04-28,23
2019-05-05,0
2019-05-12,47
2019-05-19,35
2019-05-26,47
2019-06-02,23
2019-06-09,0
2019-06-16,0
2019-06-23,0
2019-06-30,47
2019-07-07,23
2019-07-14,0
2019-07-21,0
2019-07-28,24
2019-08-04,25
2019-08-11,35
2019-08-18,36
2019-08-25,24
2019-09-01,23
2019-09-08,35
2019-09-15,46
2019-09-22,45
2019-09-29,45
2019-10-06,0
2019-10-13,22
2019-10-20,22
2019-10-27,44
2019-11-03,35
2019-11-10,43
2019-11-17,21
2019-11-24,0
2019-12-01,43
2019-12-08,22
2019-12-15,22
2019-12-22,25
2019-12-29,70
2020-01-05,21
2020-01-12,0
2020-01-19,20
2020-01-26,0
2020-02-02,21
2020-02-09,20
2020-02-16,31
2020-02-23,0
2020-03-01,0
2020-03-08,19
2020-03-15,18
2020-03-22,0
2020-03-29,19
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,0
2020-05-03,18
2020-05-10,18
2020-05-17,0
2020-05-24,0
2020-05-31,19
2020-06-07,19
2020-06-14,38
2020-06-21,20
2020-06-28,0
2020-07-05,0
2020-07-12,21
2020-07-19,21
2020-07-26,0
