Categoría: Todas las categorías

Semana,callao: (Alemania)
2015-08-02,66
2015-08-09,65
2015-08-16,54
2015-08-23,32
2015-08-30,32
2015-09-06,21
2015-09-13,40
2015-09-20,31
2015-09-27,21
2015-10-04,30
2015-10-11,79
2015-10-18,50
2015-10-25,60
2015-11-01,60
2015-11-08,59
2015-11-15,68
2015-11-22,20
2015-11-29,30
2015-12-06,39
2015-12-13,41
2015-12-20,74
2015-12-27,23
2016-01-03,37
2016-01-10,45
2016-01-17,37
2016-01-24,55
2016-01-31,65
2016-02-07,37
2016-02-14,18
2016-02-21,28
2016-02-28,28
2016-03-06,37
2016-03-13,38
2016-03-20,79
2016-03-27,50
2016-04-03,0
2016-04-10,19
2016-04-17,19
2016-04-24,18
2016-05-01,42
2016-05-08,20
2016-05-15,20
2016-05-22,50
2016-05-29,28
2016-06-05,19
2016-06-12,55
2016-06-19,38
2016-06-26,47
2016-07-03,20
2016-07-10,20
2016-07-17,42
2016-07-24,62
2016-07-31,74
2016-08-07,44
2016-08-14,46
2016-08-21,44
2016-08-28,64
2016-09-04,62
2016-09-11,51
2016-09-18,21
2016-09-25,51
2016-10-02,21
2016-10-09,40
2016-10-16,40
2016-10-23,20
2016-10-30,99
2016-11-06,58
2016-11-13,19
2016-11-20,68
2016-11-27,29
2016-12-04,19
2016-12-11,75
2016-12-18,20
2016-12-25,66
2017-01-01,47
2017-01-08,18
2017-01-15,72
2017-01-22,54
2017-01-29,63
2017-02-05,45
2017-02-12,18
2017-02-19,64
2017-02-26,27
2017-03-05,27
2017-03-12,54
2017-03-19,82
2017-03-26,58
2017-04-02,47
2017-04-09,38
2017-04-16,56
2017-04-23,45
2017-04-30,55
2017-05-07,18
2017-05-14,28
2017-05-21,31
2017-05-28,29
2017-06-04,94
2017-06-11,68
2017-06-18,37
2017-06-25,37
2017-07-02,38
2017-07-09,38
2017-07-16,38
2017-07-23,46
2017-07-30,37
2017-08-06,55
2017-08-13,37
2017-08-20,28
2017-08-27,18
2017-09-03,54
2017-09-10,71
2017-09-17,27
2017-09-24,35
2017-10-01,70
2017-10-08,26
2017-10-15,18
2017-10-22,17
2017-10-29,18
2017-11-05,68
2017-11-12,17
2017-11-19,34
2017-11-26,61
2017-12-03,17
2017-12-10,17
2017-12-17,18
2017-12-24,70
2017-12-31,27
2018-01-07,41
2018-01-14,41
2018-01-21,57
2018-01-28,66
2018-02-04,33
2018-02-11,25
2018-02-18,67
2018-02-25,16
2018-03-04,51
2018-03-11,33
2018-03-18,25
2018-03-25,35
2018-04-01,27
2018-04-08,17
2018-04-15,61
2018-04-22,59
2018-04-29,17
2018-05-06,26
2018-05-13,17
2018-05-20,35
2018-05-27,52
2018-06-03,69
2018-06-10,25
2018-06-17,50
2018-06-24,51
2018-07-01,34
2018-07-08,42
2018-07-15,35
2018-07-22,26
2018-07-29,44
2018-08-05,34
2018-08-12,87
2018-08-19,52
2018-08-26,17
2018-09-02,34
2018-09-09,68
2018-09-16,17
2018-09-23,34
2018-09-30,25
2018-10-07,34
2018-10-14,59
2018-10-21,100
2018-10-28,66
2018-11-04,24
2018-11-11,25
2018-11-18,16
2018-11-25,33
2018-12-02,40
2018-12-09,49
2018-12-16,34
2018-12-23,96
2018-12-30,43
2019-01-06,16
2019-01-13,69
2019-01-20,31
2019-01-27,23
2019-02-03,46
2019-02-10,63
2019-02-17,32
2019-02-24,49
2019-03-03,32
2019-03-10,31
2019-03-17,24
2019-03-24,41
2019-03-31,65
2019-04-07,47
2019-04-14,61
2019-04-21,34
2019-04-28,64
2019-05-05,39
2019-05-12,24
2019-05-19,24
2019-05-26,16
2019-06-02,16
2019-06-09,16
2019-06-16,49
2019-06-23,41
2019-06-30,64
2019-07-07,31
2019-07-14,25
2019-07-21,52
2019-07-28,67
2019-08-04,42
2019-08-11,41
2019-08-18,41
2019-08-25,48
2019-09-01,55
2019-09-08,32
2019-09-15,64
2019-09-22,23
2019-09-29,62
2019-10-06,31
2019-10-13,15
2019-10-20,68
2019-10-27,30
2019-11-03,43
2019-11-10,45
2019-11-17,30
2019-11-24,29
2019-12-01,37
2019-12-08,37
2019-12-15,15
2019-12-22,17
2019-12-29,40
2020-01-05,57
2020-01-12,48
2020-01-19,42
2020-01-26,49
2020-02-02,42
2020-02-09,27
2020-02-16,43
2020-02-23,70
2020-03-01,14
2020-03-08,33
2020-03-15,51
2020-03-22,38
2020-03-29,31
2020-04-05,28
2020-04-12,40
2020-04-19,45
2020-04-26,0
2020-05-03,13
2020-05-10,0
2020-05-17,55
2020-05-24,26
2020-05-31,26
2020-06-07,26
2020-06-14,32
2020-06-21,0
2020-06-28,13
2020-07-05,14
2020-07-12,14
2020-07-19,22
2020-07-26,0
