Categoría: Todas las categorías

Semana,cibeles: (Alemania)
2015-08-02,23
2015-08-09,0
2015-08-16,23
2015-08-23,45
2015-08-30,22
2015-09-06,45
2015-09-13,21
2015-09-20,0
2015-09-27,66
2015-10-04,42
2015-10-11,21
2015-10-18,21
2015-10-25,0
2015-11-01,85
2015-11-08,21
2015-11-15,21
2015-11-22,42
2015-11-29,0
2015-12-06,0
2015-12-13,22
2015-12-20,26
2015-12-27,0
2016-01-03,20
2016-01-10,19
2016-01-17,29
2016-01-24,58
2016-01-31,0
2016-02-07,20
2016-02-14,19
2016-02-21,20
2016-02-28,19
2016-03-06,20
2016-03-13,20
2016-03-20,31
2016-03-27,21
2016-04-03,20
2016-04-10,0
2016-04-17,20
2016-04-24,29
2016-05-01,0
2016-05-08,21
2016-05-15,21
2016-05-22,0
2016-05-29,78
2016-06-05,20
2016-06-12,20
2016-06-19,20
2016-06-26,30
2016-07-03,0
2016-07-10,21
2016-07-17,0
2016-07-24,0
2016-07-31,33
2016-08-07,23
2016-08-14,0
2016-08-21,23
2016-08-28,45
2016-09-04,22
2016-09-11,22
2016-09-18,43
2016-09-25,22
2016-10-02,22
2016-10-09,64
2016-10-16,43
2016-10-23,21
2016-10-30,42
2016-11-06,0
2016-11-13,21
2016-11-20,0
2016-11-27,0
2016-12-04,0
2016-12-11,0
2016-12-18,0
2016-12-25,23
2017-01-01,0
2017-01-08,0
2017-01-15,0
2017-01-22,0
2017-01-29,0
2017-02-05,19
2017-02-12,0
2017-02-19,0
2017-02-26,19
2017-03-05,0
2017-03-12,19
2017-03-19,20
2017-03-26,20
2017-04-02,20
2017-04-09,0
2017-04-16,20
2017-04-23,38
2017-04-30,20
2017-05-07,0
2017-05-14,20
2017-05-21,97
2017-05-28,30
2017-06-04,100
2017-06-11,0
2017-06-18,0
2017-06-25,39
2017-07-02,0
2017-07-09,0
2017-07-16,20
2017-07-23,0
2017-07-30,0
2017-08-06,0
2017-08-13,0
2017-08-20,20
2017-08-27,19
2017-09-03,19
2017-09-10,19
2017-09-17,19
2017-09-24,18
2017-10-01,38
2017-10-08,0
2017-10-15,18
2017-10-22,0
2017-10-29,19
2017-11-05,18
2017-11-12,0
2017-11-19,0
2017-11-26,37
2017-12-03,18
2017-12-10,18
2017-12-17,0
2017-12-24,0
2017-12-31,38
2018-01-07,17
2018-01-14,17
2018-01-21,0
2018-01-28,0
2018-02-04,0
2018-02-11,18
2018-02-18,18
2018-02-25,18
2018-03-04,0
2018-03-11,17
2018-03-18,0
2018-03-25,19
2018-04-01,0
2018-04-08,0
2018-04-15,19
2018-04-22,0
2018-04-29,19
2018-05-06,37
2018-05-13,18
2018-05-20,19
2018-05-27,37
2018-06-03,18
2018-06-10,17
2018-06-17,35
2018-06-24,18
2018-07-01,18
2018-07-08,0
2018-07-15,18
2018-07-22,18
2018-07-29,0
2018-08-05,18
2018-08-12,0
2018-08-19,36
2018-08-26,19
2018-09-02,18
2018-09-09,18
2018-09-16,36
2018-09-23,18
2018-09-30,18
2018-10-07,18
2018-10-14,0
2018-10-21,0
2018-10-28,17
2018-11-04,17
2018-11-11,17
2018-11-18,51
2018-11-25,17
2018-12-02,17
2018-12-09,0
2018-12-16,0
2018-12-23,0
2018-12-30,0
2019-01-06,0
2019-01-13,16
2019-01-20,16
2019-01-27,32
2019-02-03,16
2019-02-10,17
2019-02-17,17
2019-02-24,17
2019-03-03,34
2019-03-10,33
2019-03-17,34
2019-03-24,17
2019-03-31,34
2019-04-07,17
2019-04-14,0
2019-04-21,18
2019-04-28,17
2019-05-05,33
2019-05-12,17
2019-05-19,33
2019-05-26,17
2019-06-02,0
2019-06-09,26
2019-06-16,0
2019-06-23,17
2019-06-30,34
2019-07-07,17
2019-07-14,35
2019-07-21,0
2019-07-28,36
2019-08-04,18
2019-08-11,17
2019-08-18,17
2019-08-25,34
2019-09-01,33
2019-09-08,17
2019-09-15,0
2019-09-22,16
2019-09-29,0
2019-10-06,0
2019-10-13,16
2019-10-20,16
2019-10-27,16
2019-11-03,15
2019-11-10,16
2019-11-17,24
2019-11-24,16
2019-12-01,16
2019-12-08,32
2019-12-15,0
2019-12-22,27
2019-12-29,17
2020-01-05,15
2020-01-12,15
2020-01-19,15
2020-01-26,15
2020-02-02,0
2020-02-09,0
2020-02-16,15
2020-02-23,15
2020-03-01,15
2020-03-08,14
2020-03-15,13
2020-03-22,0
2020-03-29,13
2020-04-05,15
2020-04-12,14
2020-04-19,14
2020-04-26,0
2020-05-03,0
2020-05-10,14
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,0
2020-06-14,14
2020-06-21,0
2020-06-28,14
2020-07-05,0
2020-07-12,38
2020-07-19,15
2020-07-26,0
