Semana,Museo Nacional del Prado: (Dinamarca),plaza mayor: (Dinamarca),Parque de El Retiro: (Grecia),Puerta del Sol: (Grecia),gran via: (Grecia),Museo Nacional Thyssen-Bornemisza: (Grecia),cibeles: (Grecia),Palacio de Cristal: (Grecia),chueca: (Grecia),callao: (Grecia)
2015-08-02,0,0,0,0,51,0,0,0,0,0
2015-08-09,0,45,75,0,0,0,0,0,0,0
2015-08-16,0,0,0,0,0,59,0,0,98,0
2015-08-23,50,0,0,33,47,0,0,0,0,0
2015-08-30,0,0,0,0,46,0,0,0,0,0
2015-09-06,51,65,0,32,0,0,0,0,0,0
2015-09-13,0,0,0,0,46,51,0,0,0,0
2015-09-20,0,63,0,0,44,49,0,0,0,45
2015-09-27,26,44,0,0,0,50,0,0,0,47
2015-10-04,34,42,0,0,45,0,0,0,0,0
2015-10-11,27,46,0,32,0,0,0,0,0,0
2015-10-18,0,0,0,0,0,0,0,0,0,47
2015-10-25,24,0,0,35,50,0,0,0,0,0
2015-11-01,24,0,0,0,0,56,0,0,0,0
2015-11-08,0,0,0,0,48,0,0,0,91,100
2015-11-15,24,41,0,34,49,0,0,0,0,0
2015-11-22,24,40,0,0,0,0,0,0,0,0
2015-11-29,24,0,0,35,0,0,0,100,94,0
2015-12-06,23,0,0,35,0,0,0,99,0,0
2015-12-13,25,0,0,36,0,0,0,0,0,52
2015-12-20,31,0,0,40,57,0,0,0,0,0
2015-12-27,29,0,0,0,0,0,0,0,100,0
2016-01-03,26,44,0,0,0,50,88,0,0,0
2016-01-10,26,44,55,0,42,0,0,0,80,0
2016-01-17,40,0,0,0,84,48,0,0,0,0
2016-01-24,79,88,0,60,0,0,0,0,0,0
2016-01-31,26,44,0,0,42,0,0,0,0,0
2016-02-07,79,0,0,30,0,0,0,0,0,0
2016-02-14,38,0,0,0,83,0,0,0,0,0
2016-02-21,26,44,0,0,0,0,0,0,0,0
2016-02-28,39,0,0,0,43,0,0,0,0,0
2016-03-06,26,43,0,0,43,0,0,0,0,0
2016-03-13,27,45,0,0,44,0,0,88,0,0
2016-03-20,60,50,0,0,44,0,0,0,81,0
2016-03-27,27,0,0,31,44,0,88,0,0,0
2016-04-03,52,0,0,0,44,0,0,0,0,0
2016-04-10,26,0,0,0,0,0,0,0,0,0
2016-04-17,54,91,0,32,90,52,0,0,86,0
2016-04-24,39,42,65,0,100,0,98,98,0,0
2016-05-01,29,0,63,0,48,0,0,0,0,0
2016-05-08,0,93,0,0,44,0,0,0,0,0
2016-05-15,0,46,0,0,0,0,0,0,0,43
2016-05-22,0,47,57,30,42,0,0,86,0,0
2016-05-29,28,0,0,0,0,49,86,0,0,0
2016-06-05,27,0,0,0,43,0,0,0,0,0
2016-06-12,27,45,0,0,0,0,85,0,0,0
2016-06-19,28,0,0,0,88,50,88,0,0,0
2016-06-26,0,0,0,0,0,0,0,0,82,0
2016-07-03,0,0,0,33,0,0,0,0,0,0
2016-07-10,0,53,0,0,47,0,0,0,89,0
2016-07-17,47,59,0,34,48,0,0,0,0,0
2016-07-24,66,0,0,0,0,0,0,0,0,51
2016-07-31,31,51,0,36,50,0,100,0,0,0
2016-08-07,29,0,0,0,0,0,0,0,0,0
2016-08-14,30,100,0,39,56,0,0,0,0,0
2016-08-21,30,51,63,0,0,0,0,0,0,49
2016-08-28,28,0,59,0,0,51,0,0,0,0
2016-09-04,29,0,0,31,0,50,0,0,0,0
2016-09-11,29,0,0,0,46,0,0,0,0,0
2016-09-18,29,48,0,0,68,51,0,0,0,47
2016-09-25,0,0,0,0,0,0,0,0,0,0
2016-10-02,42,47,0,32,46,0,0,0,0,0
2016-10-09,43,71,0,33,0,0,0,0,0,0
2016-10-16,61,0,0,0,0,0,0,0,87,0
2016-10-23,28,0,0,0,48,0,0,0,0,0
2016-10-30,56,0,0,0,95,0,94,0,0,49
2016-11-06,55,46,61,0,0,0,0,0,86,0
2016-11-13,0,0,0,0,47,0,0,0,0,0
2016-11-20,0,0,61,0,0,0,0,0,0,0
2016-11-27,27,0,0,0,0,50,0,88,0,0
2016-12-04,26,0,0,0,0,51,0,0,0,0
2016-12-11,53,44,0,0,0,0,90,0,0,0
2016-12-18,50,51,0,0,0,0,0,96,0,0
2016-12-25,31,51,0,34,48,0,0,0,0,0
2017-01-01,27,0,0,0,0,0,0,0,0,0
2017-01-08,26,0,0,0,0,0,0,0,0,0
2017-01-15,43,43,0,29,42,47,0,0,0,43
2017-01-22,39,43,55,0,0,95,0,0,0,0
2017-01-29,51,43,56,0,0,0,0,0,0,0
2017-02-05,39,44,0,0,0,0,83,0,0,0
2017-02-12,56,0,0,0,44,0,0,87,81,0
2017-02-19,51,0,58,0,0,0,0,0,0,0
2017-02-26,25,41,0,0,0,0,0,0,0,0
2017-03-05,37,41,0,0,0,0,0,0,76,0
2017-03-12,24,0,0,0,43,0,0,0,0,0
2017-03-19,38,0,0,0,0,0,88,0,0,92
