Categoría: Todas las categorías

Semana,las ventas: (Todo el mundo)
2015-08-02,38
2015-08-09,48
2015-08-16,41
2015-08-23,44
2015-08-30,53
2015-09-06,54
2015-09-13,55
2015-09-20,59
2015-09-27,62
2015-10-04,51
2015-10-11,48
2015-10-18,48
2015-10-25,43
2015-11-01,42
2015-11-08,50
2015-11-15,45
2015-11-22,45
2015-11-29,44
2015-12-06,37
2015-12-13,31
2015-12-20,23
2015-12-27,22
2016-01-03,26
2016-01-10,31
2016-01-17,39
2016-01-24,35
2016-01-31,39
2016-02-07,39
2016-02-14,45
2016-02-21,45
2016-02-28,43
2016-03-06,48
2016-03-13,46
2016-03-20,34
2016-03-27,42
2016-04-03,49
2016-04-10,57
2016-04-17,56
2016-04-24,60
2016-05-01,77
2016-05-08,94
2016-05-15,94
2016-05-22,90
2016-05-29,91
2016-06-05,60
2016-06-12,49
2016-06-19,52
2016-06-26,41
2016-07-03,44
2016-07-10,39
2016-07-17,38
2016-07-24,39
2016-07-31,35
2016-08-07,39
2016-08-14,41
2016-08-21,41
2016-08-28,45
2016-09-04,57
2016-09-11,52
2016-09-18,51
2016-09-25,65
2016-10-02,50
2016-10-09,47
2016-10-16,42
2016-10-23,46
2016-10-30,40
2016-11-06,42
2016-11-13,49
2016-11-20,42
2016-11-27,39
2016-12-04,36
2016-12-11,29
2016-12-18,24
2016-12-25,19
2017-01-01,24
2017-01-08,28
2017-01-15,36
2017-01-22,37
2017-01-29,41
2017-02-05,39
2017-02-12,40
2017-02-19,41
2017-02-26,41
2017-03-05,44
2017-03-12,47
2017-03-19,42
2017-03-26,57
2017-04-02,53
2017-04-09,39
2017-04-16,45
2017-04-23,49
2017-04-30,66
2017-05-07,75
2017-05-14,94
2017-05-21,98
2017-05-28,88
2017-06-04,80
2017-06-11,67
2017-06-18,64
2017-06-25,43
2017-07-02,49
2017-07-09,41
2017-07-16,35
2017-07-23,38
2017-07-30,37
2017-08-06,36
2017-08-13,35
2017-08-20,40
2017-08-27,42
2017-09-03,43
2017-09-10,53
2017-09-17,46
2017-09-24,58
2017-10-01,48
2017-10-08,41
2017-10-15,46
2017-10-22,43
2017-10-29,38
2017-11-05,40
2017-11-12,43
2017-11-19,41
2017-11-26,38
2017-12-03,35
2017-12-10,32
2017-12-17,22
2017-12-24,22
2017-12-31,23
2018-01-07,27
2018-01-14,28
2018-01-21,31
2018-01-28,34
2018-02-04,36
2018-02-11,35
2018-02-18,40
2018-02-25,41
2018-03-04,42
2018-03-11,45
2018-03-18,42
2018-03-25,38
2018-04-01,47
2018-04-08,50
2018-04-15,50
2018-04-22,55
2018-04-29,75
2018-05-06,77
2018-05-13,94
2018-05-20,88
2018-05-27,85
2018-06-03,75
2018-06-10,49
2018-06-17,38
2018-06-24,36
2018-07-01,34
2018-07-08,36
2018-07-15,36
2018-07-22,33
2018-07-29,35
2018-08-05,34
2018-08-12,42
2018-08-19,40
2018-08-26,44
2018-09-02,48
2018-09-09,49
2018-09-16,48
2018-09-23,57
2018-09-30,59
2018-10-07,53
2018-10-14,48
2018-10-21,39
2018-10-28,37
2018-11-04,37
2018-11-11,39
2018-11-18,38
2018-11-25,38
2018-12-02,37
2018-12-09,30
2018-12-16,25
2018-12-23,20
2018-12-30,21
2019-01-06,27
2019-01-13,29
2019-01-20,30
2019-01-27,35
2019-02-03,35
2019-02-10,36
2019-02-17,41
2019-02-24,40
2019-03-03,34
2019-03-10,40
2019-03-17,49
2019-03-24,44
2019-03-31,41
2019-04-07,45
2019-04-14,38
2019-04-21,45
2019-04-28,50
2019-05-05,61
2019-05-12,87
2019-05-19,100
2019-05-26,97
2019-06-02,80
2019-06-09,90
2019-06-16,47
2019-06-23,42
2019-06-30,45
2019-07-07,39
2019-07-14,33
2019-07-21,29
2019-07-28,32
2019-08-04,32
2019-08-11,41
2019-08-18,38
2019-08-25,42
2019-09-01,46
2019-09-08,47
2019-09-15,47
2019-09-22,52
2019-09-29,59
2019-10-06,52
2019-10-13,48
2019-10-20,43
2019-10-27,35
2019-11-03,42
2019-11-10,45
2019-11-17,40
2019-11-24,36
2019-12-01,40
2019-12-08,32
2019-12-15,26
2019-12-22,23
2019-12-29,20
2020-01-05,27
2020-01-12,29
2020-01-19,32
2020-01-26,34
2020-02-02,38
2020-02-09,38
2020-02-16,40
2020-02-23,36
2020-03-01,36
2020-03-08,37
2020-03-15,29
2020-03-22,39
2020-03-29,35
2020-04-05,29
2020-04-12,36
2020-04-19,45
2020-04-26,43
2020-05-03,47
2020-05-10,46
2020-05-17,51
2020-05-24,46
2020-05-31,52
2020-06-07,49
2020-06-14,45
2020-06-21,41
2020-06-28,42
2020-07-05,36
2020-07-12,40
2020-07-19,38
2020-07-26,32
