Categoría: Todas las categorías

Semana,calle serrano: (Todo el mundo)
2015-08-02,60
2015-08-09,50
2015-08-16,59
2015-08-23,58
2015-08-30,81
2015-09-06,88
2015-09-13,78
2015-09-20,65
2015-09-27,80
2015-10-04,79
2015-10-11,73
2015-10-18,70
2015-10-25,76
2015-11-01,87
2015-11-08,79
2015-11-15,65
2015-11-22,85
2015-11-29,85
2015-12-06,74
2015-12-13,100
2015-12-20,52
2015-12-27,79
2016-01-03,76
2016-01-10,67
2016-01-17,87
2016-01-24,97
2016-01-31,76
2016-02-07,69
2016-02-14,92
2016-02-21,70
2016-02-28,82
2016-03-06,80
2016-03-13,60
2016-03-20,64
2016-03-27,78
2016-04-03,60
2016-04-10,85
2016-04-17,67
2016-04-24,84
2016-05-01,62
2016-05-08,90
2016-05-15,60
2016-05-22,73
2016-05-29,64
2016-06-05,61
2016-06-12,79
2016-06-19,66
2016-06-26,74
2016-07-03,84
2016-07-10,64
2016-07-17,75
2016-07-24,52
2016-07-31,48
2016-08-07,43
2016-08-14,45
2016-08-21,48
2016-08-28,65
2016-09-04,71
2016-09-11,73
2016-09-18,77
2016-09-25,82
2016-10-02,82
2016-10-09,71
2016-10-16,67
2016-10-23,75
2016-10-30,56
2016-11-06,76
2016-11-13,76
2016-11-20,83
2016-11-27,81
2016-12-04,78
2016-12-11,92
2016-12-18,83
2016-12-25,58
2017-01-01,55
2017-01-08,87
2017-01-15,68
2017-01-22,55
2017-01-29,75
2017-02-05,70
2017-02-12,61
2017-02-19,65
2017-02-26,59
2017-03-05,61
2017-03-12,80
2017-03-19,70
2017-03-26,84
2017-04-02,67
2017-04-09,49
2017-04-16,58
2017-04-23,69
2017-04-30,60
2017-05-07,80
2017-05-14,66
2017-05-21,85
2017-05-28,91
2017-06-04,65
2017-06-11,69
2017-06-18,60
2017-06-25,63
2017-07-02,69
2017-07-09,58
2017-07-16,54
2017-07-23,83
2017-07-30,52
2017-08-06,57
2017-08-13,44
2017-08-20,46
2017-08-27,68
2017-09-03,83
2017-09-10,68
2017-09-17,73
2017-09-24,76
2017-10-01,56
2017-10-08,82
2017-10-15,80
2017-10-22,76
2017-10-29,60
2017-11-05,68
2017-11-12,76
2017-11-19,71
2017-11-26,71
2017-12-03,76
2017-12-10,75
2017-12-17,77
2017-12-24,71
2017-12-31,73
2018-01-07,73
2018-01-14,82
2018-01-21,63
2018-01-28,89
2018-02-04,82
2018-02-11,57
2018-02-18,68
2018-02-25,78
2018-03-04,68
2018-03-11,83
2018-03-18,58
2018-03-25,64
2018-04-01,79
2018-04-08,83
2018-04-15,83
2018-04-22,78
2018-04-29,72
2018-05-06,68
2018-05-13,64
2018-05-20,76
2018-05-27,78
2018-06-03,59
2018-06-10,83
2018-06-17,79
2018-06-24,82
2018-07-01,75
2018-07-08,66
2018-07-15,66
2018-07-22,70
2018-07-29,65
2018-08-05,49
2018-08-12,52
2018-08-19,52
2018-08-26,58
2018-09-02,80
2018-09-09,61
2018-09-16,70
2018-09-23,75
2018-09-30,60
2018-10-07,57
2018-10-14,77
2018-10-21,81
2018-10-28,59
2018-11-04,78
2018-11-11,71
2018-11-18,73
2018-11-25,69
2018-12-02,83
2018-12-09,67
2018-12-16,84
2018-12-23,66
2018-12-30,67
2019-01-06,64
2019-01-13,67
2019-01-20,68
2019-01-27,68
2019-02-03,86
2019-02-10,65
2019-02-17,74
2019-02-24,68
2019-03-03,53
2019-03-10,75
2019-03-17,80
2019-03-24,66
2019-03-31,74
2019-04-07,79
2019-04-14,49
2019-04-21,79
2019-04-28,61
2019-05-05,64
2019-05-12,74
2019-05-19,72
2019-05-26,72
2019-06-02,93
2019-06-09,62
2019-06-16,69
2019-06-23,71
2019-06-30,66
2019-07-07,66
2019-07-14,69
2019-07-21,57
2019-07-28,59
2019-08-04,45
2019-08-11,60
2019-08-18,69
2019-08-25,74
2019-09-01,76
2019-09-08,85
2019-09-15,69
2019-09-22,86
2019-09-29,78
2019-10-06,70
2019-10-13,73
2019-10-20,86
2019-10-27,58
2019-11-03,58
2019-11-10,81
2019-11-17,53
2019-11-24,83
2019-12-01,78
2019-12-08,58
2019-12-15,62
2019-12-22,72
2019-12-29,64
2020-01-05,74
2020-01-12,70
2020-01-19,98
2020-01-26,96
2020-02-02,97
2020-02-09,67
2020-02-16,77
2020-02-23,61
2020-03-01,61
2020-03-08,37
2020-03-15,34
2020-03-22,28
2020-03-29,22
2020-04-05,19
2020-04-12,21
2020-04-19,26
2020-04-26,26
2020-05-03,37
2020-05-10,34
2020-05-17,43
2020-05-24,58
2020-05-31,43
2020-06-07,46
2020-06-14,50
2020-06-21,53
2020-06-28,53
2020-07-05,44
2020-07-12,55
2020-07-19,46
2020-07-26,43
