Categoría: Todas las categorías

Semana,puerta del sol: (Todo el mundo)
2015-08-02,14
2015-08-09,16
2015-08-16,14
2015-08-23,14
2015-08-30,16
2015-09-06,15
2015-09-13,15
2015-09-20,14
2015-09-27,16
2015-10-04,15
2015-10-11,15
2015-10-18,14
2015-10-25,15
2015-11-01,15
2015-11-08,17
2015-11-15,14
2015-11-22,15
2015-11-29,16
2015-12-06,17
2015-12-13,19
2015-12-20,17
2015-12-27,39
2016-01-03,16
2016-01-10,15
2016-01-17,14
2016-01-24,13
2016-01-31,15
2016-02-07,16
2016-02-14,16
2016-02-21,16
2016-02-28,14
2016-03-06,17
2016-03-13,15
2016-03-20,16
2016-03-27,12
2016-04-03,14
2016-04-10,16
2016-04-17,14
2016-04-24,13
2016-05-01,15
2016-05-08,14
2016-05-15,16
2016-05-22,14
2016-05-29,16
2016-06-05,12
2016-06-12,11
2016-06-19,12
2016-06-26,15
2016-07-03,14
2016-07-10,13
2016-07-17,14
2016-07-24,14
2016-07-31,12
2016-08-07,12
2016-08-14,12
2016-08-21,11
2016-08-28,14
2016-09-04,15
2016-09-11,15
2016-09-18,12
2016-09-25,16
2016-10-02,14
2016-10-09,15
2016-10-16,14
2016-10-23,15
2016-10-30,14
2016-11-06,14
2016-11-13,18
2016-11-20,16
2016-11-27,20
2016-12-04,22
2016-12-11,16
2016-12-18,17
2016-12-25,32
2017-01-01,22
2017-01-08,16
2017-01-15,16
2017-01-22,15
2017-01-29,15
2017-02-05,16
2017-02-12,16
2017-02-19,18
2017-02-26,16
2017-03-05,15
2017-03-12,14
2017-03-19,13
2017-03-26,14
2017-04-02,15
2017-04-09,14
2017-04-16,15
2017-04-23,14
2017-04-30,13
2017-05-07,16
2017-05-14,16
2017-05-21,16
2017-05-28,13
2017-06-04,14
2017-06-11,14
2017-06-18,13
2017-06-25,16
2017-07-02,13
2017-07-09,13
2017-07-16,14
2017-07-23,14
2017-07-30,14
2017-08-06,12
2017-08-13,14
2017-08-20,15
2017-08-27,14
2017-09-03,15
2017-09-10,14
2017-09-17,17
2017-09-24,15
2017-10-01,20
2017-10-08,14
2017-10-15,15
2017-10-22,13
2017-10-29,16
2017-11-05,18
2017-11-12,18
2017-11-19,17
2017-11-26,17
2017-12-03,21
2017-12-10,17
2017-12-17,18
2017-12-24,24
2017-12-31,30
2018-01-07,17
2018-01-14,14
2018-01-21,15
2018-01-28,14
2018-02-04,14
2018-02-11,16
2018-02-18,17
2018-02-25,15
2018-03-04,15
2018-03-11,16
2018-03-18,14
2018-03-25,15
2018-04-01,16
2018-04-08,15
2018-04-15,16
2018-04-22,15
2018-04-29,17
2018-05-06,15
2018-05-13,14
2018-05-20,14
2018-05-27,15
2018-06-03,12
2018-06-10,12
2018-06-17,14
2018-06-24,14
2018-07-01,16
2018-07-08,14
2018-07-15,13
2018-07-22,14
2018-07-29,13
2018-08-05,15
2018-08-12,13
2018-08-19,13
2018-08-26,14
2018-09-02,15
2018-09-09,13
2018-09-16,15
2018-09-23,15
2018-09-30,14
2018-10-07,15
2018-10-14,15
2018-10-21,15
2018-10-28,15
2018-11-04,14
2018-11-11,16
2018-11-18,16
2018-11-25,17
2018-12-02,19
2018-12-09,20
2018-12-16,17
2018-12-23,19
2018-12-30,37
2019-01-06,17
2019-01-13,16
2019-01-20,16
2019-01-27,15
2019-02-03,13
2019-02-10,15
2019-02-17,15
2019-02-24,14
2019-03-03,14
2019-03-10,14
2019-03-17,15
2019-03-24,14
2019-03-31,15
2019-04-07,15
2019-04-14,16
2019-04-21,15
2019-04-28,13
2019-05-05,16
2019-05-12,15
2019-05-19,17
2019-05-26,20
2019-06-02,15
2019-06-09,15
2019-06-16,13
2019-06-23,15
2019-06-30,15
2019-07-07,16
2019-07-14,15
2019-07-21,15
2019-07-28,14
2019-08-04,16
2019-08-11,15
2019-08-18,15
2019-08-25,14
2019-09-01,15
2019-09-08,14
2019-09-15,16
2019-09-22,17
2019-09-29,16
2019-10-06,16
2019-10-13,17
2019-10-20,15
2019-10-27,15
2019-11-03,15
2019-11-10,16
2019-11-17,18
2019-11-24,17
2019-12-01,18
2019-12-08,18
2019-12-15,20
2019-12-22,21
2019-12-29,100
2020-01-05,17
2020-01-12,14
2020-01-19,20
2020-01-26,16
2020-02-02,15
2020-02-09,15
2020-02-16,14
2020-02-23,15
2020-03-01,14
2020-03-08,14
2020-03-15,14
2020-03-22,10
2020-03-29,9
2020-04-05,9
2020-04-12,8
2020-04-19,9
2020-04-26,10
2020-05-03,9
2020-05-10,9
2020-05-17,9
2020-05-24,10
2020-05-31,8
2020-06-07,9
2020-06-14,10
2020-06-21,9
2020-06-28,9
2020-07-05,9
2020-07-12,8
2020-07-19,9
2020-07-26,6
