Categoría: Todas las categorías

Semana,Palacio de Cristal: (Todo el mundo)
2015-08-02,37
2015-08-09,44
2015-08-16,45
2015-08-23,31
2015-08-30,45
2015-09-06,67
2015-09-13,49
2015-09-20,71
2015-09-27,40
2015-10-04,53
2015-10-11,97
2015-10-18,66
2015-10-25,53
2015-11-01,47
2015-11-08,47
2015-11-15,51
2015-11-22,52
2015-11-29,55
2015-12-06,64
2015-12-13,52
2015-12-20,43
2015-12-27,51
2016-01-03,37
2016-01-10,39
2016-01-17,40
2016-01-24,53
2016-01-31,51
2016-02-07,46
2016-02-14,54
2016-02-21,57
2016-02-28,57
2016-03-06,69
2016-03-13,48
2016-03-20,54
2016-03-27,54
2016-04-03,47
2016-04-10,58
2016-04-17,66
2016-04-24,55
2016-05-01,52
2016-05-08,53
2016-05-15,69
2016-05-22,55
2016-05-29,69
2016-06-05,55
2016-06-12,46
2016-06-19,38
2016-06-26,39
2016-07-03,54
2016-07-10,28
2016-07-17,40
2016-07-24,48
2016-07-31,39
2016-08-07,41
2016-08-14,52
2016-08-21,46
2016-08-28,59
2016-09-04,55
2016-09-11,44
2016-09-18,56
2016-09-25,58
2016-10-02,65
2016-10-09,65
2016-10-16,61
2016-10-23,50
2016-10-30,59
2016-11-06,55
2016-11-13,54
2016-11-20,42
2016-11-27,41
2016-12-04,40
2016-12-11,31
2016-12-18,15
2016-12-25,45
2017-01-01,34
2017-01-08,27
2017-01-15,30
2017-01-22,33
2017-01-29,37
2017-02-05,44
2017-02-12,39
2017-02-19,48
2017-02-26,37
2017-03-05,38
2017-03-12,30
2017-03-19,54
2017-03-26,56
2017-04-02,46
2017-04-09,49
2017-04-16,37
2017-04-23,40
2017-04-30,29
2017-05-07,50
2017-05-14,40
2017-05-21,36
2017-05-28,41
2017-06-04,31
2017-06-11,46
2017-06-18,39
2017-06-25,28
2017-07-02,30
2017-07-09,42
2017-07-16,45
2017-07-23,36
2017-07-30,24
2017-08-06,31
2017-08-13,33
2017-08-20,32
2017-08-27,24
2017-09-03,40
2017-09-10,32
2017-09-17,36
2017-09-24,48
2017-10-01,53
2017-10-08,79
2017-10-15,52
2017-10-22,61
2017-10-29,46
2017-11-05,46
2017-11-12,46
2017-11-19,54
2017-11-26,20
2017-12-03,53
2017-12-10,32
2017-12-17,36
2017-12-24,67
2017-12-31,33
2018-01-07,36
2018-01-14,34
2018-01-21,53
2018-01-28,45
2018-02-04,28
2018-02-11,62
2018-02-18,51
2018-02-25,50
2018-03-04,51
2018-03-11,80
2018-03-18,55
2018-03-25,44
2018-04-01,31
2018-04-08,45
2018-04-15,40
2018-04-22,42
2018-04-29,44
2018-05-06,27
2018-05-13,41
2018-05-20,52
2018-05-27,35
2018-06-03,49
2018-06-10,35
2018-06-17,41
2018-06-24,40
2018-07-01,46
2018-07-08,41
2018-07-15,43
2018-07-22,33
2018-07-29,55
2018-08-05,40
2018-08-12,39
2018-08-19,53
2018-08-26,41
2018-09-02,39
2018-09-09,47
2018-09-16,50
2018-09-23,74
2018-09-30,46
2018-10-07,38
2018-10-14,55
2018-10-21,64
2018-10-28,56
2018-11-04,47
2018-11-11,59
2018-11-18,65
2018-11-25,41
2018-12-02,65
2018-12-09,38
2018-12-16,40
2018-12-23,61
2018-12-30,58
2019-01-06,34
2019-01-13,51
2019-01-20,70
2019-01-27,57
2019-02-03,77
2019-02-10,79
2019-02-17,69
2019-02-24,68
2019-03-03,77
2019-03-10,58
2019-03-17,57
2019-03-24,76
2019-03-31,59
2019-04-07,50
2019-04-14,57
2019-04-21,47
2019-04-28,41
2019-05-05,52
2019-05-12,44
2019-05-19,43
2019-05-26,45
2019-06-02,60
2019-06-09,55
2019-06-16,55
2019-06-23,51
2019-06-30,44
2019-07-07,39
2019-07-14,44
2019-07-21,43
2019-07-28,43
2019-08-04,62
2019-08-11,54
2019-08-18,72
2019-08-25,53
2019-09-01,58
2019-09-08,50
2019-09-15,49
2019-09-22,46
2019-09-29,48
2019-10-06,42
2019-10-13,70
2019-10-20,55
2019-10-27,67
2019-11-03,75
2019-11-10,40
2019-11-17,43
2019-11-24,39
2019-12-01,44
2019-12-08,36
2019-12-15,25
2019-12-22,52
2019-12-29,58
2020-01-05,38
2020-01-12,30
2020-01-19,49
2020-01-26,49
2020-02-02,43
2020-02-09,44
2020-02-16,48
2020-02-23,44
2020-03-01,41
2020-03-08,28
2020-03-15,12
2020-03-22,54
2020-03-29,19
2020-04-05,18
2020-04-12,18
2020-04-19,16
2020-04-26,21
2020-05-03,23
2020-05-10,18
2020-05-17,27
2020-05-24,22
2020-05-31,15
2020-06-07,25
2020-06-14,26
2020-06-21,16
2020-06-28,19
2020-07-05,26
2020-07-12,41
2020-07-19,65
2020-07-26,100
