,Museo Nacional del Prado: (Irlanda),Plaza Mayor: (Irlanda),Parque de El Retiro: (Irlanda),Puerta del Sol: (Irlanda),gran via: (Irlanda),Museo Nacional Thyssen-Bornemisza: (Irlanda),Templo de Debod: (Irlanda),Catedral de Santa María la Real de la Almudena: (Irlanda),cibeles: (Irlanda),El Rastro: (Irlanda),Plaza de Toros de Las Ventas: (Irlanda),Chueca: (Irlanda),callao: (Irlanda),date
0,<1,0,35,99,63,60,51,100,86,0,93,52,36,2015-08-01
1,2,83,67,100,64,59,100,99,0,0,92,51,68,2015-09-01
2,1,100,33,48,31,59,0,94,0,89,89,50,67,2015-10-01
3,<1,39,64,94,60,0,48,90,78,0,86,48,32,2015-11-01
4,<1,49,37,59,34,0,0,0,98,0,0,50,37,2015-12-01
5,<1,39,100,95,61,57,0,0,0,88,89,48,0,2016-01-01
6,<1,0,33,47,62,58,50,91,0,89,0,50,34,2016-02-01
7,<1,41,35,0,52,0,53,0,82,0,0,51,34,2016-03-01
8,0,79,65,96,61,57,51,93,79,89,87,49,100,2016-04-01
9,<1,42,52,50,93,58,50,100,83,0,92,56,35,2016-05-01
10,1,0,36,49,67,0,54,0,86,0,0,53,36,2016-06-01
11,1,45,37,52,82,0,55,0,90,96,0,53,35,2016-07-01
12,1,45,37,0,86,0,0,0,88,100,100,0,0,2016-08-01
13,2,43,52,50,81,62,52,0,0,96,94,0,36,2016-09-01
14,1,42,52,52,64,62,54,100,85,95,0,0,53,2016-10-01
15,<1,41,66,49,47,0,50,95,0,89,0,50,34,2016-11-01
16,<1,40,35,56,36,0,52,98,94,0,0,48,0,2016-12-01
17,<1,38,31,44,78,54,47,0,80,84,85,0,32,2017-01-01
18,1,0,31,45,48,55,46,0,77,85,0,46,32,2017-02-01
19,<1,39,31,0,89,55,46,90,77,84,0,46,32,2017-03-01
20,<1,39,33,94,40,0,48,0,80,86,0,0,33,2017-04-01
21,<1,41,34,50,63,0,48,0,81,0,0,51,50,2017-05-01
22,<1,40,34,49,62,0,0,94,82,90,91,50,34,2017-06-01
23,1,41,34,50,63,56,0,97,0,0,89,100,34,2017-07-01
24,<1,80,49,49,62,55,0,93,79,0,0,49,33,2017-08-01
25,<1,51,32,46,60,56,48,90,77,86,0,0,32,2017-09-01
26,<1,37,31,45,29,100,43,90,75,83,0,43,32,2017-10-01
27,<1,36,0,44,37,0,43,0,73,81,0,0,29,2017-11-01
28,<1,43,0,52,56,0,45,86,81,0,0,45,34,2017-12-01
29,<1,36,29,41,40,0,0,0,69,0,0,44,29,2018-01-01
30,<1,35,29,43,54,51,0,83,0,0,0,43,30,2018-02-01
31,<1,36,61,85,54,0,0,0,0,78,78,85,30,2018-03-01
32,<1,34,58,42,54,49,0,82,70,78,76,43,57,2018-04-01
33,0,36,30,44,56,0,45,0,0,0,81,0,30,2018-05-01
34,1,38,0,46,29,99,0,0,76,0,75,0,32,2018-06-01
35,<1,36,30,42,37,51,44,0,0,0,0,45,59,2018-07-01
36,<1,53,59,87,82,0,45,0,70,79,0,0,44,2018-08-01
37,<1,35,29,44,54,0,43,83,71,77,78,43,30,2018-09-01
38,<1,36,30,0,35,53,45,0,0,0,0,0,60,2018-10-01
39,<1,34,28,0,53,0,43,80,0,0,75,0,29,2018-11-01
40,<1,36,29,87,36,0,0,0,74,0,0,43,61,2018-12-01
41,<1,34,42,42,51,48,83,0,69,0,0,41,56,2019-01-01
42,<1,33,41,40,77,48,41,78,100,73,0,41,28,2019-02-01
43,<1,35,27,42,43,49,0,78,0,74,77,41,0,2019-03-01
44,<1,34,29,0,51,50,44,83,69,73,0,0,29,2019-04-01
45,<1,35,29,41,100,0,0,0,70,0,77,42,29,2019-05-01
46,0,35,55,84,54,0,43,82,69,0,0,43,42,2019-06-01
47,<1,0,43,42,44,0,0,0,69,76,0,42,29,2019-07-01
48,<1,68,28,83,64,48,0,78,69,0,0,41,28,2019-08-01
49,<1,48,27,72,48,46,38,76,0,71,68,40,0,2019-09-01
50,<1,62,53,56,48,45,39,0,63,70,69,38,52,2019-10-01
51,<1,0,0,71,36,0,0,72,62,0,67,38,0,2019-11-01
52,<1,33,30,87,48,47,45,0,63,0,68,0,30,2019-12-01
53,<1,29,24,35,69,41,36,0,59,0,0,35,0,2020-01-01
54,<1,43,35,35,67,41,36,0,0,63,0,0,24,2020-02-01
55,<1,27,24,32,22,42,0,64,55,0,0,0,23,2020-03-01
56,<1,0,0,0,21,0,34,64,0,0,0,0,23,2020-04-01
57,<1,26,24,32,21,38,33,0,53,58,0,33,22,2020-05-01
58,<1,0,0,0,21,0,0,63,0,0,0,0,22,2020-06-01
59,0,0,24,0,23,0,0,0,59,0,0,0,0,2020-07-01
