Semana,Museo Nacional del Prado: (Irlanda),Plaza Mayor: (Irlanda),Parque de El Retiro: (Irlanda),Puerta del Sol: (Irlanda),gran via: (Irlanda),Museo Nacional Thyssen-Bornemisza: (Irlanda),Templo de Debod: (Irlanda),Catedral de Santa María la Real de la Almudena: (Irlanda),cibeles: (Irlanda),El Rastro: (Irlanda),Plaza de Toros de Las Ventas: (Irlanda),Chueca: (Irlanda),callao: (Irlanda)
2015-08-02,1,0,0,77,55,0,0,0,86,0,0,0,36
2015-08-09,0,0,0,0,33,0,0,100,0,0,0,52,36
2015-08-16,0,0,0,0,32,60,0,97,0,0,93,0,35
2015-08-23,<1,0,34,99,63,0,51,96,0,0,0,0,0
2015-08-30,1,0,35,51,32,0,0,0,0,0,93,0,0
2015-09-06,1,83,0,51,49,0,0,99,0,0,0,0,0
2015-09-13,1,0,67,0,62,0,100,0,0,0,0,50,68
2015-09-20,2,41,51,49,31,59,50,0,0,0,0,0,0
2015-09-27,0,0,34,100,64,0,0,0,0,0,92,51,0
2015-10-04,0,40,0,48,30,58,0,93,0,89,0,0,0
2015-10-11,0,100,0,48,31,0,0,94,0,0,0,49,67
2015-10-18,1,39,0,48,31,57,0,0,0,0,89,50,67
2015-10-25,0,0,33,0,31,59,0,0,0,0,0,0,51
2015-11-01,0,0,64,94,30,0,0,90,78,0,86,48,0
2015-11-08,<1,38,0,0,30,0,48,0,0,0,0,0,0
2015-11-15,0,39,0,0,60,0,0,0,0,0,0,0,0
2015-11-22,0,0,0,0,29,0,0,0,0,0,0,0,32
2015-11-29,0,38,0,68,29,0,0,0,76,0,84,0,0
2015-12-06,<1,40,0,48,0,0,0,0,0,0,0,0,0
2015-12-13,0,0,0,0,0,0,0,0,0,0,0,50,0
2015-12-20,0,49,0,59,0,0,0,0,98,0,0,0,0
2015-12-27,0,0,37,53,34,0,0,0,0,0,0,0,37
2016-01-03,0,0,0,0,46,0,0,0,0,0,0,0,0
2016-01-10,0,0,100,0,31,0,0,0,0,0,89,0,0
2016-01-17,1,0,0,0,61,0,0,0,0,0,0,0,0
2016-01-24,0,0,0,0,31,0,0,0,0,0,0,0,0
2016-01-31,<1,39,0,95,31,57,0,0,0,88,0,48,0
2016-02-07,<1,0,0,0,47,0,0,0,0,89,0,49,0
2016-02-14,<1,0,0,0,0,0,0,0,0,0,0,50,0
2016-02-21,0,0,33,0,62,58,50,0,0,0,0,0,34
2016-02-28,0,0,0,47,45,0,0,91,0,0,0,0,0
2016-03-06,<1,0,33,0,52,0,0,0,81,0,0,0,0
2016-03-13,0,0,35,0,33,0,53,0,0,0,0,0,0
2016-03-20,1,41,0,0,32,0,0,0,0,0,0,51,0
2016-03-27,0,41,34,0,0,0,0,0,82,0,0,0,34
2016-04-03,0,39,65,48,61,0,0,93,79,87,0,0,100
2016-04-10,0,79,33,48,51,57,0,0,0,89,0,0,33
2016-04-17,0,41,0,48,31,0,51,0,0,0,0,0,34
2016-04-24,0,0,0,96,61,0,0,0,0,88,87,49,33
2016-05-01,<1,0,0,49,93,58,50,0,0,0,90,49,0
2016-05-08,1,0,52,50,32,0,0,0,83,0,92,51,35
2016-05-15,1,0,0,0,32,0,0,0,0,0,0,52,0
2016-05-22,1,42,0,0,54,0,0,100,0,0,0,52,0
2016-05-29,1,0,38,0,0,0,0,0,0,0,0,56,0
2016-06-05,0,0,36,0,67,0,54,0,86,0,0,53,36
2016-06-12,1,0,34,49,47,0,51,0,82,0,0,0,0
2016-06-19,1,0,0,0,64,0,0,0,83,0,0,0,35
2016-06-26,0,0,0,0,0,0,52,0,0,0,0,0,35
2016-07-03,0,0,0,0,0,0,0,0,86,96,0,53,0
2016-07-10,1,43,0,52,34,0,0,0,0,0,0,0,0
2016-07-17,0,45,0,0,0,0,0,0,90,0,0,0,0
2016-07-24,0,43,35,0,82,0,0,0,85,0,0,0,35
2016-07-31,1,44,37,0,34,0,55,0,0,0,0,0,0
2016-08-07,1,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-14,1,0,37,0,35,0,0,0,0,0,100,0,0
2016-08-21,1,45,0,0,86,0,0,0,0,100,0,0,0
2016-08-28,1,0,0,0,0,0,0,0,88,0,0,0,0
2016-09-04,2,0,0,0,33,0,0,0,0,96,0,0,36
2016-09-11,1,43,0,0,0,62,0,0,0,0,0,0,0
