Categoría: Todas las categorías

Semana,callao: (Irlanda)
2015-08-02,36
2015-08-09,36
2015-08-16,35
2015-08-23,0
2015-08-30,0
2015-09-06,0
2015-09-13,68
2015-09-20,0
2015-09-27,0
2015-10-04,0
2015-10-11,67
2015-10-18,67
2015-10-25,51
2015-11-01,0
2015-11-08,0
2015-11-15,0
2015-11-22,32
2015-11-29,0
2015-12-06,0
2015-12-13,0
2015-12-20,0
2015-12-27,37
2016-01-03,0
2016-01-10,0
2016-01-17,0
2016-01-24,0
2016-01-31,0
2016-02-07,0
2016-02-14,0
2016-02-21,34
2016-02-28,0
2016-03-06,0
2016-03-13,0
2016-03-20,0
2016-03-27,34
2016-04-03,100
2016-04-10,33
2016-04-17,34
2016-04-24,33
2016-05-01,0
2016-05-08,35
2016-05-15,0
2016-05-22,0
2016-05-29,0
2016-06-05,36
2016-06-12,0
2016-06-19,35
2016-06-26,35
2016-07-03,0
2016-07-10,0
2016-07-17,0
2016-07-24,35
2016-07-31,0
2016-08-07,0
2016-08-14,0
2016-08-21,0
2016-08-28,0
2016-09-04,36
2016-09-11,0
2016-09-18,0
2016-09-25,0
2016-10-02,53
2016-10-09,0
2016-10-16,0
2016-10-23,0
2016-10-30,37
2016-11-06,0
2016-11-13,34
2016-11-20,34
2016-11-27,0
2016-12-04,0
2016-12-11,0
2016-12-18,0
2016-12-25,0
2017-01-01,0
2017-01-08,0
2017-01-15,32
2017-01-22,0
2017-01-29,0
2017-02-05,32
2017-02-12,0
2017-02-19,0
2017-02-26,30
2017-03-05,0
2017-03-12,32
2017-03-19,0
2017-03-26,0
2017-04-02,0
2017-04-09,0
2017-04-16,33
2017-04-23,32
2017-04-30,0
2017-05-07,0
2017-05-14,50
2017-05-21,34
2017-05-28,0
2017-06-04,34
2017-06-11,34
2017-06-18,34
2017-06-25,0
2017-07-02,0
2017-07-09,0
2017-07-16,0
2017-07-23,34
2017-07-30,0
2017-08-06,0
2017-08-13,33
2017-08-20,0
2017-08-27,0
2017-09-03,0
2017-09-10,0
2017-09-17,32
2017-09-24,0
2017-10-01,31
2017-10-08,0
2017-10-15,0
2017-10-22,0
2017-10-29,32
2017-11-05,0
2017-11-12,0
2017-11-19,29
2017-11-26,0
2017-12-03,31
2017-12-10,31
2017-12-17,34
2017-12-24,0
2017-12-31,0
2018-01-07,0
2018-01-14,29
2018-01-21,0
2018-01-28,0
2018-02-04,29
2018-02-11,30
2018-02-18,29
2018-02-25,28
2018-03-04,0
2018-03-11,0
2018-03-18,0
2018-03-25,30
2018-04-01,0
2018-04-08,57
2018-04-15,0
2018-04-22,0
2018-04-29,0
2018-05-06,30
2018-05-13,0
2018-05-20,0
2018-05-27,0
2018-06-03,32
2018-06-10,0
2018-06-17,0
2018-06-24,0
2018-07-01,0
2018-07-08,0
2018-07-15,0
2018-07-22,59
2018-07-29,0
2018-08-05,0
2018-08-12,44
2018-08-19,0
2018-08-26,30
2018-09-02,0
2018-09-09,29
2018-09-16,0
2018-09-23,30
2018-09-30,0
2018-10-07,29
2018-10-14,0
2018-10-21,60
2018-10-28,31
2018-11-04,0
2018-11-11,0
2018-11-18,28
2018-11-25,29
2018-12-02,0
2018-12-09,0
2018-12-16,0
2018-12-23,0
2018-12-30,61
2019-01-06,0
2019-01-13,0
2019-01-20,28
2019-01-27,56
2019-02-03,0
2019-02-10,0
2019-02-17,28
2019-02-24,28
2019-03-03,0
2019-03-10,0
2019-03-17,0
2019-03-24,0
2019-03-31,0
2019-04-07,0
2019-04-14,0
2019-04-21,29
2019-04-28,28
2019-05-05,29
2019-05-12,0
2019-05-19,0
2019-05-26,0
2019-06-02,0
2019-06-09,42
2019-06-16,29
2019-06-23,0
2019-06-30,0
2019-07-07,29
2019-07-14,0
2019-07-21,29
2019-07-28,29
2019-08-04,0
2019-08-11,28
2019-08-18,0
2019-08-25,0
2019-09-01,0
2019-09-08,0
2019-09-15,0
2019-09-22,0
2019-09-29,0
2019-10-06,52
2019-10-13,0
2019-10-20,0
2019-10-27,0
2019-11-03,0
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,27
2019-12-22,30
2019-12-29,27
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,24
2020-02-16,24
2020-02-23,0
2020-03-01,0
2020-03-08,23
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,23
2020-04-19,0
2020-04-26,21
2020-05-03,0
2020-05-10,0
2020-05-17,22
2020-05-24,0
2020-05-31,0
2020-06-07,22
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,0
