Categoría: Todas las categorías

Semana,gran via: (Irlanda)
2015-08-02,55
2015-08-09,33
2015-08-16,32
2015-08-23,63
2015-08-30,32
2015-09-06,49
2015-09-13,62
2015-09-20,31
2015-09-27,64
2015-10-04,30
2015-10-11,31
2015-10-18,31
2015-10-25,31
2015-11-01,30
2015-11-08,30
2015-11-15,60
2015-11-22,29
2015-11-29,29
2015-12-06,0
2015-12-13,0
2015-12-20,0
2015-12-27,34
2016-01-03,46
2016-01-10,31
2016-01-17,61
2016-01-24,31
2016-01-31,31
2016-02-07,47
2016-02-14,0
2016-02-21,62
2016-02-28,45
2016-03-06,52
2016-03-13,33
2016-03-20,32
2016-03-27,0
2016-04-03,61
2016-04-10,51
2016-04-17,31
2016-04-24,61
2016-05-01,93
2016-05-08,32
2016-05-15,32
2016-05-22,54
2016-05-29,0
2016-06-05,67
2016-06-12,47
2016-06-19,64
2016-06-26,0
2016-07-03,0
2016-07-10,34
2016-07-17,0
2016-07-24,82
2016-07-31,34
2016-08-07,0
2016-08-14,35
2016-08-21,86
2016-08-28,0
2016-09-04,33
2016-09-11,0
2016-09-18,32
2016-09-25,81
2016-10-02,33
2016-10-09,64
2016-10-16,44
2016-10-23,33
2016-10-30,0
2016-11-06,31
2016-11-13,31
2016-11-20,31
2016-11-27,47
2016-12-04,31
2016-12-11,32
2016-12-18,36
2016-12-25,0
2017-01-01,31
2017-01-08,78
2017-01-15,29
2017-01-22,59
2017-01-29,57
2017-02-05,29
2017-02-12,29
2017-02-19,48
2017-02-26,28
2017-03-05,28
2017-03-12,29
2017-03-19,29
2017-03-26,89
2017-04-02,40
2017-04-09,30
2017-04-16,0
2017-04-23,29
2017-04-30,31
2017-05-07,30
2017-05-14,31
2017-05-21,48
2017-05-28,63
2017-06-04,62
2017-06-11,47
2017-06-18,32
2017-06-25,52
2017-07-02,48
2017-07-09,63
2017-07-16,32
2017-07-23,32
2017-07-30,30
2017-08-06,62
2017-08-13,30
2017-08-20,30
2017-08-27,30
2017-09-03,60
2017-09-10,29
2017-09-17,30
2017-09-24,58
2017-10-01,29
2017-10-08,0
2017-10-15,27
2017-10-22,29
2017-10-29,29
2017-11-05,37
2017-11-12,0
2017-11-19,27
2017-11-26,0
2017-12-03,56
2017-12-10,29
2017-12-17,0
2017-12-24,33
2017-12-31,0
2018-01-07,27
2018-01-14,40
2018-01-21,0
2018-01-28,40
2018-02-04,54
2018-02-11,41
2018-02-18,0
2018-02-25,26
2018-03-04,27
2018-03-11,54
2018-03-18,28
2018-03-25,28
2018-04-01,54
2018-04-08,40
2018-04-15,36
2018-04-22,39
2018-04-29,27
2018-05-06,27
2018-05-13,28
2018-05-20,56
2018-05-27,42
2018-06-03,29
2018-06-10,26
2018-06-17,0
2018-06-24,0
2018-07-01,37
2018-07-08,0
2018-07-15,28
2018-07-22,27
2018-07-29,36
2018-08-05,27
2018-08-12,27
2018-08-19,82
2018-08-26,28
2018-09-02,27
2018-09-09,54
2018-09-16,54
2018-09-23,28
2018-09-30,54
2018-10-07,35
2018-10-14,0
2018-10-21,0
2018-10-28,28
2018-11-04,26
2018-11-11,40
2018-11-18,26
2018-11-25,53
2018-12-02,36
2018-12-09,0
2018-12-16,29
2018-12-23,0
2018-12-30,28
2019-01-06,27
2019-01-13,26
2019-01-20,26
2019-01-27,51
2019-02-03,38
2019-02-10,26
2019-02-17,77
2019-02-24,26
2019-03-03,26
2019-03-10,43
2019-03-17,27
2019-03-24,40
2019-03-31,33
2019-04-07,40
2019-04-14,27
2019-04-21,0
2019-04-28,51
2019-05-05,27
2019-05-12,27
2019-05-19,53
2019-05-26,100
2019-06-02,26
2019-06-09,0
2019-06-16,53
2019-06-23,0
2019-06-30,54
2019-07-07,27
2019-07-14,44
2019-07-21,27
2019-07-28,27
2019-08-04,39
2019-08-11,51
2019-08-18,26
2019-08-25,64
2019-09-01,37
2019-09-08,25
2019-09-15,25
2019-09-22,48
2019-09-29,23
2019-10-06,48
2019-10-13,48
2019-10-20,24
2019-10-27,24
2019-11-03,36
2019-11-10,32
2019-11-17,23
2019-11-24,23
2019-12-01,48
2019-12-08,0
2019-12-15,0
2019-12-22,28
2019-12-29,0
2020-01-05,69
2020-01-12,43
2020-01-19,0
2020-01-26,34
2020-02-02,45
2020-02-09,33
2020-02-16,67
2020-02-23,44
2020-03-01,22
2020-03-08,21
2020-03-15,21
2020-03-22,0
2020-03-29,20
2020-04-05,0
2020-04-12,21
2020-04-19,20
2020-04-26,0
2020-05-03,0
2020-05-10,0
2020-05-17,20
2020-05-24,0
2020-05-31,21
2020-06-07,0
2020-06-14,21
2020-06-21,21
2020-06-28,21
2020-07-05,22
2020-07-12,23
2020-07-19,23
2020-07-26,0
