Museo Nacional del Prado: (Italia),plaza mayor: (Italia),Parque de El Retiro: (Italia),Puerta del Sol: (Italia),gran via: (Italia),Museo Nacional Thyssen-Bornemisza: (Italia),Templo de Debod: (Italia),Catedral de Santa María la Real de la Almudena: (Italia),cibeles: (Italia),Palacio de Cristal: (Italia),Puerta de Alcalá: (Italia),El Rastro: (Italia),Plaza de Toros de Las Ventas: (Italia),Chueca: (Italia),san gines: (Italia),callao: (Italia),date
<1,47,53,34,87,30,32,65,72,34,44,64,39,75,37,93,2015-08-01
<1,42,22,25,71,28,0,51,35,27,26,74,100,66,29,78,2015-09-01
<1,35,42,24,71,24,28,59,34,52,65,100,48,54,29,78,2015-10-01
<1,57,44,41,76,35,57,60,26,45,26,25,48,44,0,44,2015-11-01
<1,67,34,42,66,39,50,53,36,43,31,30,25,53,30,84,2015-12-01
<1,76,46,37,64,45,30,69,39,38,55,81,54,49,32,50,2016-01-01
<1,44,53,55,78,33,30,54,36,48,28,43,26,35,30,37,2016-02-01
<1,53,32,24,78,34,61,87,55,31,0,53,52,49,33,82,2016-03-01
<1,55,79,100,69,27,63,42,38,39,28,28,44,49,96,58,2016-04-01
<1,62,56,26,66,100,32,43,84,40,29,56,82,25,31,58,2016-05-01
<1,24,32,27,67,32,98,55,62,39,30,59,43,38,48,51,2016-06-01
<1,53,34,20,76,36,68,81,44,43,0,31,62,54,36,76,2016-07-01
<1,99,40,37,74,32,55,50,52,47,34,76,37,100,43,57,2016-08-01
<1,40,66,21,75,36,32,43,39,30,0,56,28,38,32,52,2016-09-01
<1,40,38,27,68,20,48,58,39,21,44,56,55,75,33,59,2016-10-01
<1,72,43,35,66,29,32,87,38,26,29,28,53,48,33,70,2016-11-01
<1,39,48,27,60,27,34,54,42,23,33,30,40,28,46,89,2016-12-01
<1,57,33,30,73,27,49,52,30,45,30,77,25,45,66,48,2017-01-01
<1,43,44,41,70,27,57,51,35,91,26,51,50,44,29,53,2017-02-01
<1,52,36,54,88,23,30,52,52,38,28,38,26,46,29,37,2017-03-01
<1,73,58,36,93,23,46,55,54,29,100,55,80,35,32,57,2017-04-01
<1,60,39,24,86,36,43,61,100,40,29,67,75,51,31,61,2017-05-01
<1,61,46,21,81,27,60,37,63,19,28,41,44,47,31,64,2017-06-01
<1,54,58,39,90,24,79,57,39,40,30,56,54,49,48,78,2017-07-01
<1,62,49,32,81,27,43,57,30,41,0,64,46,38,33,100,2017-08-01
<1,42,35,37,79,16,28,41,34,36,52,38,47,43,43,35,2017-09-01
<1,100,48,24,85,18,56,76,46,71,53,51,37,44,29,52,2017-10-01
<1,62,57,27,75,32,55,100,34,53,38,36,39,32,56,43,2017-11-01
<1,30,31,37,72,34,88,79,31,62,30,66,57,59,33,41,2017-12-01
<1,68,56,24,88,25,55,74,33,17,25,98,70,28,27,45,2018-01-01
<1,58,37,35,68,29,54,71,31,33,25,35,45,53,27,57,2018-02-01
<1,49,43,25,84,21,53,80,33,39,36,47,48,41,28,61,2018-03-01
<1,81,37,33,89,36,55,60,34,40,53,84,49,42,41,51,2018-04-01
<1,61,37,26,81,28,53,61,49,34,50,59,46,21,42,60,2018-05-01
<1,65,32,21,75,21,27,41,17,35,48,36,71,35,42,51,2018-06-01
<1,28,37,20,91,15,28,76,34,23,26,61,35,44,28,42,2018-07-01
<1,37,39,23,75,22,60,79,28,24,25,54,70,45,31,51,2018-08-01
<1,52,31,23,82,20,53,71,27,45,71,39,45,41,27,65,2018-09-01
<1,61,36,31,75,37,40,58,17,34,25,71,47,42,41,55,2018-10-01
<1,45,41,30,85,23,39,64,48,34,37,48,23,41,52,49,2018-11-01
<1,61,49,45,84,26,64,68,42,41,27,26,35,50,28,68,2018-12-01
<1,31,55,82,82,19,27,68,46,37,49,33,31,21,41,78,2019-01-01
<1,79,48,43,75,36,77,55,43,33,24,45,37,41,53,64,2019-02-01
<1,74,55,36,85,36,68,73,50,51,50,48,23,83,27,62,2019-03-01
3,57,59,28,79,60,58,66,27,100,53,47,34,43,54,66,2019-04-01
<1,57,46,29,94,26,26,70,16,31,24,30,66,40,26,38,2019-05-01
<1,33,41,27,100,40,27,49,33,34,37,40,53,32,28,56,2019-06-01
<1,54,56,23,87,27,81,58,34,35,38,47,30,63,28,56,2019-07-01
<1,64,53,26,78,18,30,55,70,36,28,81,34,41,61,70,2019-08-01
<1,92,49,22,87,24,100,37,38,31,68,33,43,59,100,77,2019-09-01
<1,68,51,34,72,24,38,88,37,32,46,33,42,48,62,50,2019-10-01
<1,78,50,35,74,32,49,65,43,45,45,32,41,31,49,35,2019-11-01
<1,95,37,68,79,22,50,46,31,51,25,45,47,43,51,99,2019-12-01
<1,76,50,42,82,34,59,35,35,45,22,31,33,64,25,52,2020-01-01
<1,51,54,27,69,15,48,48,37,30,22,42,26,27,46,32,2020-02-01
<1,39,38,19,56,32,44,45,30,28,19,35,19,31,22,48,2020-03-01
2,30,45,19,37,16,30,29,37,27,33,28,37,21,22,40,2020-04-01
<1,47,41,16,58,20,33,30,20,26,20,37,28,17,22,35,2020-05-01
<1,22,32,14,73,17,0,21,14,30,21,21,19,18,24,31,2020-06-01
<1,18,100,14,77,18,48,44,30,30,0,65,21,19,24,38,2020-07-01
