Categoría: Todas las categorías

Semana,Puerta de Alcalá: (Italia)
2015-08-02,31
2015-08-09,33
2015-08-16,32
2015-08-23,44
2015-08-30,0
2015-09-06,0
2015-09-13,26
2015-09-20,26
2015-09-27,0
2015-10-04,25
2015-10-11,26
2015-10-18,65
2015-10-25,25
2015-11-01,26
2015-11-08,26
2015-11-15,0
2015-11-22,25
2015-11-29,0
2015-12-06,27
2015-12-13,27
2015-12-20,31
2015-12-27,0
2016-01-03,29
2016-01-10,0
2016-01-17,28
2016-01-24,28
2016-01-31,55
2016-02-07,0
2016-02-14,27
2016-02-21,28
2016-02-28,0
2016-03-06,0
2016-03-13,0
2016-03-20,0
2016-03-27,0
2016-04-03,28
2016-04-10,0
2016-04-17,0
2016-04-24,0
2016-05-01,0
2016-05-08,28
2016-05-15,28
2016-05-22,29
2016-05-29,29
2016-06-05,0
2016-06-12,0
2016-06-19,0
2016-06-26,30
2016-07-03,0
2016-07-10,0
2016-07-17,0
2016-07-24,0
2016-07-31,0
2016-08-07,0
2016-08-14,0
2016-08-21,34
2016-08-28,0
2016-09-04,0
2016-09-11,0
2016-09-18,0
2016-09-25,0
2016-10-02,0
2016-10-09,0
2016-10-16,0
2016-10-23,44
2016-10-30,30
2016-11-06,0
2016-11-13,29
2016-11-20,28
2016-11-27,29
2016-12-04,29
2016-12-11,29
2016-12-18,0
2016-12-25,33
2017-01-01,30
2017-01-08,0
2017-01-15,0
2017-01-22,0
2017-01-29,26
2017-02-05,26
2017-02-12,26
2017-02-19,0
2017-02-26,26
2017-03-05,0
2017-03-12,27
2017-03-19,0
2017-03-26,28
2017-04-02,0
2017-04-09,28
2017-04-16,100
2017-04-23,0
2017-04-30,0
2017-05-07,27
2017-05-14,0
2017-05-21,29
2017-05-28,0
2017-06-04,28
2017-06-11,0
2017-06-18,28
2017-06-25,28
2017-07-02,30
2017-07-09,29
2017-07-16,30
2017-07-23,0
2017-07-30,0
2017-08-06,0
2017-08-13,0
2017-08-20,0
2017-08-27,0
2017-09-03,0
2017-09-10,0
2017-09-17,52
2017-09-24,0
2017-10-01,0
2017-10-08,0
2017-10-15,26
2017-10-22,0
2017-10-29,53
2017-11-05,25
2017-11-12,26
2017-11-19,38
2017-11-26,25
2017-12-03,27
2017-12-10,26
2017-12-17,28
2017-12-24,30
2017-12-31,0
2018-01-07,0
2018-01-14,25
2018-01-21,25
2018-01-28,25
2018-02-04,24
2018-02-11,25
2018-02-18,0
2018-02-25,0
2018-03-04,0
2018-03-11,36
2018-03-18,0
2018-03-25,26
2018-04-01,27
2018-04-08,0
2018-04-15,0
2018-04-22,53
2018-04-29,38
2018-05-06,25
2018-05-13,25
2018-05-20,0
2018-05-27,50
2018-06-03,0
2018-06-10,48
2018-06-17,25
2018-06-24,25
2018-07-01,25
2018-07-08,0
2018-07-15,25
2018-07-22,0
2018-07-29,26
2018-08-05,0
2018-08-12,0
2018-08-19,0
2018-08-26,25
2018-09-02,24
2018-09-09,24
2018-09-16,71
2018-09-23,24
2018-09-30,0
2018-10-07,25
2018-10-14,0
2018-10-21,25
2018-10-28,24
2018-11-04,36
2018-11-11,0
2018-11-18,36
2018-11-25,37
2018-12-02,0
2018-12-09,0
2018-12-16,26
2018-12-23,0
2018-12-30,27
2019-01-06,0
2019-01-13,49
2019-01-20,46
2019-01-27,23
2019-02-03,24
2019-02-10,24
2019-02-17,24
2019-02-24,24
2019-03-03,50
2019-03-10,0
2019-03-17,25
2019-03-24,25
2019-03-31,24
2019-04-07,0
2019-04-14,0
2019-04-21,53
2019-04-28,37
2019-05-05,0
2019-05-12,24
2019-05-19,0
2019-05-26,0
2019-06-02,0
2019-06-09,0
2019-06-16,37
2019-06-23,0
2019-06-30,0
2019-07-07,0
2019-07-14,0
2019-07-21,38
2019-07-28,25
2019-08-04,27
2019-08-11,28
2019-08-18,0
2019-08-25,0
2019-09-01,0
2019-09-08,23
2019-09-15,68
2019-09-22,23
2019-09-29,0
2019-10-06,23
2019-10-13,46
2019-10-20,22
2019-10-27,22
2019-11-03,22
2019-11-10,45
2019-11-17,0
2019-11-24,33
2019-12-01,0
2019-12-08,0
2019-12-15,23
2019-12-22,0
2019-12-29,25
2020-01-05,0
2020-01-12,21
2020-01-19,22
2020-01-26,21
2020-02-02,0
2020-02-09,22
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,19
2020-03-15,0
2020-03-22,18
2020-03-29,0
2020-04-05,20
2020-04-12,33
2020-04-19,0
2020-04-26,0
2020-05-03,19
2020-05-10,19
2020-05-17,0
2020-05-24,0
2020-05-31,20
2020-06-07,20
2020-06-14,0
2020-06-21,0
2020-06-28,21
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,0
