Categoría: Todas las categorías

Semana,El Rastro: (Italia)
2015-08-02,45
2015-08-09,64
2015-08-16,31
2015-08-23,57
2015-08-30,52
2015-09-06,26
2015-09-13,25
2015-09-20,25
2015-09-27,74
2015-10-04,0
2015-10-11,100
2015-10-18,25
2015-10-25,25
2015-11-01,25
2015-11-08,25
2015-11-15,25
2015-11-22,25
2015-11-29,0
2015-12-06,26
2015-12-13,26
2015-12-20,30
2015-12-27,0
2016-01-03,28
2016-01-10,27
2016-01-17,0
2016-01-24,81
2016-01-31,36
2016-02-07,43
2016-02-14,26
2016-02-21,0
2016-02-28,26
2016-03-06,53
2016-03-13,41
2016-03-20,0
2016-03-27,29
2016-04-03,0
2016-04-10,28
2016-04-17,28
2016-04-24,28
2016-05-01,55
2016-05-08,0
2016-05-15,41
2016-05-22,56
2016-05-29,28
2016-06-05,0
2016-06-12,0
2016-06-19,28
2016-06-26,59
2016-07-03,0
2016-07-10,30
2016-07-17,31
2016-07-24,0
2016-07-31,0
2016-08-07,35
2016-08-14,76
2016-08-21,65
2016-08-28,0
2016-09-04,0
2016-09-11,56
2016-09-18,0
2016-09-25,29
2016-10-02,29
2016-10-09,56
2016-10-16,43
2016-10-23,29
2016-10-30,29
2016-11-06,27
2016-11-13,28
2016-11-20,27
2016-11-27,27
2016-12-04,28
2016-12-11,28
2016-12-18,30
2016-12-25,0
2017-01-01,0
2017-01-08,26
2017-01-15,51
2017-01-22,77
2017-01-29,51
2017-02-05,25
2017-02-12,51
2017-02-19,26
2017-02-26,38
2017-03-05,38
2017-03-12,26
2017-03-19,26
2017-03-26,0
2017-04-02,35
2017-04-09,27
2017-04-16,55
2017-04-23,27
2017-04-30,39
2017-05-07,38
2017-05-14,0
2017-05-21,42
2017-05-28,67
2017-06-04,27
2017-06-11,41
2017-06-18,27
2017-06-25,27
2017-07-02,29
2017-07-09,55
2017-07-16,28
2017-07-23,28
2017-07-30,56
2017-08-06,29
2017-08-13,64
2017-08-20,0
2017-08-27,25
2017-09-03,25
2017-09-10,24
2017-09-17,25
2017-09-24,38
2017-10-01,0
2017-10-08,26
2017-10-15,25
2017-10-22,50
2017-10-29,51
2017-11-05,25
2017-11-12,33
2017-11-19,36
2017-11-26,25
2017-12-03,26
2017-12-10,66
2017-12-17,27
2017-12-24,29
2017-12-31,40
2018-01-07,98
2018-01-14,24
2018-01-21,36
2018-01-28,0
2018-02-04,35
2018-02-11,24
2018-02-18,31
2018-02-25,23
2018-03-04,23
2018-03-11,24
2018-03-18,47
2018-03-25,25
2018-04-01,51
2018-04-08,0
2018-04-15,24
2018-04-22,51
2018-04-29,84
2018-05-06,59
2018-05-13,47
2018-05-20,36
2018-05-27,0
2018-06-03,24
2018-06-10,0
2018-06-17,24
2018-06-24,36
2018-07-01,24
2018-07-08,48
2018-07-15,0
2018-07-22,61
2018-07-29,37
2018-08-05,34
2018-08-12,54
2018-08-19,39
2018-08-26,49
2018-09-02,23
2018-09-09,35
2018-09-16,23
2018-09-23,23
2018-09-30,39
2018-10-07,36
2018-10-14,36
2018-10-21,71
2018-10-28,0
2018-11-04,23
2018-11-11,24
2018-11-18,23
2018-11-25,48
2018-12-02,0
2018-12-09,24
2018-12-16,25
2018-12-23,0
2018-12-30,26
2019-01-06,24
2019-01-13,23
2019-01-20,0
2019-01-27,33
2019-02-03,45
2019-02-10,23
2019-02-17,23
2019-02-24,23
2019-03-03,48
2019-03-10,0
2019-03-17,36
2019-03-24,0
2019-03-31,23
2019-04-07,35
2019-04-14,37
2019-04-21,38
2019-04-28,47
2019-05-05,30
2019-05-12,23
2019-05-19,23
2019-05-26,0
2019-06-02,24
2019-06-09,24
2019-06-16,24
2019-06-23,24
2019-06-30,40
2019-07-07,47
2019-07-14,0
2019-07-21,24
2019-07-28,37
2019-08-04,25
2019-08-11,81
2019-08-18,25
2019-08-25,23
2019-09-01,22
2019-09-08,0
2019-09-15,22
2019-09-22,33
2019-09-29,22
2019-10-06,0
2019-10-13,33
2019-10-20,21
2019-10-27,0
2019-11-03,32
2019-11-10,21
2019-11-17,21
2019-11-24,21
2019-12-01,44
2019-12-08,45
2019-12-15,0
2019-12-22,26
2019-12-29,24
2020-01-05,0
2020-01-12,31
2020-01-19,0
2020-01-26,21
2020-02-02,20
2020-02-09,0
2020-02-16,42
2020-02-23,29
2020-03-01,0
2020-03-08,28
2020-03-15,0
2020-03-22,35
2020-03-29,0
2020-04-05,28
2020-04-12,19
2020-04-19,18
2020-04-26,18
2020-05-03,19
2020-05-10,37
2020-05-17,19
2020-05-24,20
2020-05-31,0
2020-06-07,0
2020-06-14,20
2020-06-21,21
2020-06-28,21
2020-07-05,0
2020-07-12,65
2020-07-19,22
2020-07-26,0
