Categoría: Todas las categorías

Semana,Plaza de Toros de Las Ventas: (Italia)
2015-08-02,39
2015-08-09,31
2015-08-16,30
2015-08-23,27
2015-08-30,25
2015-09-06,100
2015-09-13,32
2015-09-20,24
2015-09-27,36
2015-10-04,24
2015-10-11,24
2015-10-18,48
2015-10-25,48
2015-11-01,24
2015-11-08,24
2015-11-15,24
2015-11-22,48
2015-11-29,25
2015-12-06,0
2015-12-13,25
2015-12-20,0
2015-12-27,0
2016-01-03,54
2016-01-10,39
2016-01-17,52
2016-01-24,26
2016-01-31,26
2016-02-07,25
2016-02-14,0
2016-02-21,26
2016-02-28,25
2016-03-06,0
2016-03-13,52
2016-03-20,41
2016-03-27,28
2016-04-03,44
2016-04-10,27
2016-04-17,40
2016-04-24,27
2016-05-01,40
2016-05-08,39
2016-05-15,27
2016-05-22,82
2016-05-29,36
2016-06-05,0
2016-06-12,27
2016-06-19,0
2016-06-26,43
2016-07-03,30
2016-07-10,29
2016-07-17,0
2016-07-24,30
2016-07-31,62
2016-08-07,0
2016-08-14,37
2016-08-21,32
2016-08-28,0
2016-09-04,27
2016-09-11,0
2016-09-18,27
2016-09-25,28
2016-10-02,55
2016-10-09,41
2016-10-16,0
2016-10-23,41
2016-10-30,28
2016-11-06,53
2016-11-13,41
2016-11-20,39
2016-11-27,27
2016-12-04,40
2016-12-11,27
2016-12-18,29
2016-12-25,31
2017-01-01,0
2017-01-08,25
2017-01-15,0
2017-01-22,25
2017-01-29,25
2017-02-05,36
2017-02-12,25
2017-02-19,50
2017-02-26,25
2017-03-05,24
2017-03-12,25
2017-03-19,25
2017-03-26,26
2017-04-02,63
2017-04-09,40
2017-04-16,80
2017-04-23,35
2017-04-30,50
2017-05-07,75
2017-05-14,52
2017-05-21,27
2017-05-28,56
2017-06-04,26
2017-06-11,44
2017-06-18,34
2017-06-25,26
2017-07-02,0
2017-07-09,27
2017-07-16,0
2017-07-23,54
2017-07-30,27
2017-08-06,28
2017-08-13,46
2017-08-20,27
2017-08-27,0
2017-09-03,24
2017-09-10,47
2017-09-17,36
2017-09-24,24
2017-10-01,24
2017-10-08,25
2017-10-15,37
2017-10-22,36
2017-10-29,25
2017-11-05,24
2017-11-12,36
2017-11-19,39
2017-11-26,24
2017-12-03,25
2017-12-10,24
2017-12-17,26
2017-12-24,57
2017-12-31,52
2018-01-07,47
2018-01-14,70
2018-01-21,23
2018-01-28,23
2018-02-04,45
2018-02-11,35
2018-02-18,22
2018-02-25,33
2018-03-04,22
2018-03-11,45
2018-03-18,46
2018-03-25,48
2018-04-01,25
2018-04-08,23
2018-04-15,48
2018-04-22,49
2018-04-29,23
2018-05-06,46
2018-05-13,23
2018-05-20,23
2018-05-27,36
2018-06-03,71
2018-06-10,34
2018-06-17,23
2018-06-24,23
2018-07-01,23
2018-07-08,0
2018-07-15,35
2018-07-22,31
2018-07-29,32
2018-08-05,25
2018-08-12,26
2018-08-19,25
2018-08-26,70
2018-09-02,45
2018-09-09,23
2018-09-16,22
2018-09-23,23
2018-09-30,23
2018-10-07,47
2018-10-14,23
2018-10-21,46
2018-10-28,23
2018-11-04,22
2018-11-11,23
2018-11-18,23
2018-11-25,23
2018-12-02,23
2018-12-09,35
2018-12-16,25
2018-12-23,28
2018-12-30,25
2019-01-06,31
2019-01-13,23
2019-01-20,22
2019-01-27,22
2019-02-03,37
2019-02-10,0
2019-02-17,0
2019-02-24,33
2019-03-03,23
2019-03-10,23
2019-03-17,23
2019-03-24,0
2019-03-31,23
2019-04-07,34
2019-04-14,24
2019-04-21,25
2019-04-28,34
2019-05-05,66
2019-05-12,29
2019-05-19,44
2019-05-26,50
2019-06-02,53
2019-06-09,38
2019-06-16,0
2019-06-23,0
2019-06-30,23
2019-07-07,30
2019-07-14,0
2019-07-21,0
2019-07-28,0
2019-08-04,0
2019-08-11,26
2019-08-18,24
2019-08-25,34
2019-09-01,21
2019-09-08,36
2019-09-15,21
2019-09-22,21
2019-09-29,43
2019-10-06,36
2019-10-13,32
2019-10-20,42
2019-10-27,32
2019-11-03,41
2019-11-10,35
2019-11-17,0
2019-11-24,27
2019-12-01,21
2019-12-08,43
2019-12-15,22
2019-12-22,25
2019-12-29,47
2020-01-05,21
2020-01-12,33
2020-01-19,20
2020-01-26,0
2020-02-02,26
2020-02-09,20
2020-02-16,0
2020-02-23,25
2020-03-01,19
2020-03-08,18
2020-03-15,18
2020-03-22,17
2020-03-29,17
2020-04-05,0
2020-04-12,37
2020-04-19,17
2020-04-26,0
2020-05-03,18
2020-05-10,18
2020-05-17,28
2020-05-24,19
2020-05-31,0
2020-06-07,19
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,21
2020-07-12,21
2020-07-19,21
2020-07-26,0
