Categoría: Todas las categorías

Semana,callao: (Italia)
2015-08-02,49
2015-08-09,34
2015-08-16,93
2015-08-23,50
2015-08-30,36
2015-09-06,42
2015-09-13,23
2015-09-20,78
2015-09-27,23
2015-10-04,26
2015-10-11,35
2015-10-18,58
2015-10-25,78
2015-11-01,44
2015-11-08,24
2015-11-15,17
2015-11-22,35
2015-11-29,27
2015-12-06,37
2015-12-13,30
2015-12-20,84
2015-12-27,21
2016-01-03,39
2016-01-10,31
2016-01-17,44
2016-01-24,50
2016-01-31,47
2016-02-07,30
2016-02-14,37
2016-02-21,25
2016-02-28,37
2016-03-06,31
2016-03-13,32
2016-03-20,40
2016-03-27,82
2016-04-03,58
2016-04-10,39
2016-04-17,39
2016-04-24,30
2016-05-01,58
2016-05-08,38
2016-05-15,32
2016-05-22,33
2016-05-29,26
2016-06-05,51
2016-06-12,39
2016-06-19,40
2016-06-26,48
2016-07-03,32
2016-07-10,21
2016-07-17,76
2016-07-24,22
2016-07-31,22
2016-08-07,57
2016-08-14,26
2016-08-21,34
2016-08-28,31
2016-09-04,40
2016-09-11,52
2016-09-18,40
2016-09-25,20
2016-10-02,40
2016-10-09,59
2016-10-16,40
2016-10-23,40
2016-10-30,41
2016-11-06,58
2016-11-13,70
2016-11-20,38
2016-11-27,26
2016-12-04,32
2016-12-11,19
2016-12-18,32
2016-12-25,89
2017-01-01,34
2017-01-08,31
2017-01-15,24
2017-01-22,48
2017-01-29,48
2017-02-05,29
2017-02-12,53
2017-02-19,36
2017-02-26,53
2017-03-05,36
2017-03-12,36
2017-03-19,18
2017-03-26,37
2017-04-02,28
2017-04-09,38
2017-04-16,39
2017-04-23,57
2017-04-30,19
2017-05-07,24
2017-05-14,25
2017-05-21,32
2017-05-28,61
2017-06-04,38
2017-06-11,64
2017-06-18,50
2017-06-25,58
2017-07-02,40
2017-07-09,39
2017-07-16,59
2017-07-23,78
2017-07-30,69
2017-08-06,20
2017-08-13,56
2017-08-20,100
2017-08-27,27
2017-09-03,35
2017-09-10,29
2017-09-17,29
2017-09-24,18
2017-10-01,17
2017-10-08,24
2017-10-15,27
2017-10-22,52
2017-10-29,27
2017-11-05,40
2017-11-12,17
2017-11-19,23
2017-11-26,43
2017-12-03,30
2017-12-10,35
2017-12-17,29
2017-12-24,41
2017-12-31,31
2018-01-07,26
2018-01-14,45
2018-01-21,17
2018-01-28,17
2018-02-04,57
2018-02-11,28
2018-02-18,32
2018-02-25,24
2018-03-04,33
2018-03-11,38
2018-03-18,41
2018-03-25,61
2018-04-01,45
2018-04-08,39
2018-04-15,51
2018-04-22,24
2018-04-29,25
2018-05-06,33
2018-05-13,25
2018-05-20,50
2018-05-27,60
2018-06-03,17
2018-06-10,43
2018-06-17,42
2018-06-24,51
2018-07-01,42
2018-07-08,42
2018-07-15,26
2018-07-22,40
2018-07-29,40
2018-08-05,36
2018-08-12,47
2018-08-19,37
2018-08-26,51
2018-09-02,65
2018-09-09,49
2018-09-16,56
2018-09-23,16
2018-09-30,33
2018-10-07,28
2018-10-14,45
2018-10-21,44
2018-10-28,55
2018-11-04,38
2018-11-11,34
2018-11-18,49
2018-11-25,42
2018-12-02,59
2018-12-09,68
2018-12-16,35
2018-12-23,53
2018-12-30,37
2019-01-06,39
2019-01-13,25
2019-01-20,37
2019-01-27,78
2019-02-03,42
2019-02-10,48
2019-02-17,38
2019-02-24,64
2019-03-03,45
2019-03-10,42
2019-03-17,39
2019-03-24,62
2019-03-31,39
2019-04-07,27
2019-04-14,26
2019-04-21,24
2019-04-28,66
2019-05-05,37
2019-05-12,32
2019-05-19,32
2019-05-26,38
2019-06-02,49
2019-06-09,39
2019-06-16,39
2019-06-23,51
2019-06-30,56
2019-07-07,33
2019-07-14,56
2019-07-21,28
2019-07-28,46
2019-08-04,54
2019-08-11,31
2019-08-18,70
2019-08-25,16
2019-09-01,30
2019-09-08,26
2019-09-15,38
2019-09-22,31
2019-09-29,77
2019-10-06,37
2019-10-13,36
2019-10-20,50
2019-10-27,30
2019-11-03,35
2019-11-10,23
2019-11-17,23
2019-11-24,30
2019-12-01,31
2019-12-08,99
2019-12-15,42
2019-12-22,24
2019-12-29,23
2020-01-05,36
2020-01-12,52
2020-01-19,15
2020-01-26,34
2020-02-02,24
2020-02-09,22
2020-02-16,24
2020-02-23,32
2020-03-01,48
2020-03-08,18
2020-03-15,26
2020-03-22,20
2020-03-29,29
2020-04-05,40
2020-04-12,22
2020-04-19,19
2020-04-26,32
2020-05-03,35
2020-05-10,32
2020-05-17,13
2020-05-24,18
2020-05-31,14
2020-06-07,31
2020-06-14,14
2020-06-21,22
2020-06-28,19
2020-07-05,20
2020-07-12,0
2020-07-19,38
2020-07-26,0
