Categoría: Todas las categorías

Semana,gran via: (Italia)
2015-08-02,78
2015-08-09,73
2015-08-16,67
2015-08-23,68
2015-08-30,87
2015-09-06,71
2015-09-13,52
2015-09-20,53
2015-09-27,69
2015-10-04,71
2015-10-11,55
2015-10-18,61
2015-10-25,62
2015-11-01,59
2015-11-08,65
2015-11-15,49
2015-11-22,50
2015-11-29,76
2015-12-06,56
2015-12-13,61
2015-12-20,43
2015-12-27,66
2016-01-03,59
2016-01-10,62
2016-01-17,38
2016-01-24,51
2016-01-31,64
2016-02-07,77
2016-02-14,78
2016-02-21,69
2016-02-28,77
2016-03-06,54
2016-03-13,71
2016-03-20,58
2016-03-27,78
2016-04-03,43
2016-04-10,69
2016-04-17,67
2016-04-24,44
2016-05-01,65
2016-05-08,66
2016-05-15,58
2016-05-22,49
2016-05-29,58
2016-06-05,53
2016-06-12,66
2016-06-19,67
2016-06-26,49
2016-07-03,73
2016-07-10,70
2016-07-17,67
2016-07-24,57
2016-07-31,76
2016-08-07,74
2016-08-14,53
2016-08-21,62
2016-08-28,67
2016-09-04,75
2016-09-11,64
2016-09-18,51
2016-09-25,50
2016-10-02,62
2016-10-09,63
2016-10-16,68
2016-10-23,62
2016-10-30,46
2016-11-06,63
2016-11-13,66
2016-11-20,65
2016-11-27,58
2016-12-04,47
2016-12-11,60
2016-12-18,49
2016-12-25,53
2017-01-01,67
2017-01-08,73
2017-01-15,67
2017-01-22,65
2017-01-29,69
2017-02-05,70
2017-02-12,51
2017-02-19,69
2017-02-26,53
2017-03-05,73
2017-03-12,56
2017-03-19,88
2017-03-26,62
2017-04-02,67
2017-04-09,93
2017-04-16,65
2017-04-23,47
2017-04-30,70
2017-05-07,86
2017-05-14,54
2017-05-21,69
2017-05-28,75
2017-06-04,77
2017-06-11,58
2017-06-18,81
2017-06-25,67
2017-07-02,65
2017-07-09,70
2017-07-16,64
2017-07-23,90
2017-07-30,79
2017-08-06,54
2017-08-13,81
2017-08-20,75
2017-08-27,74
2017-09-03,79
2017-09-10,74
2017-09-17,68
2017-09-24,63
2017-10-01,60
2017-10-08,75
2017-10-15,60
2017-10-22,68
2017-10-29,85
2017-11-05,54
2017-11-12,75
2017-11-19,56
2017-11-26,65
2017-12-03,72
2017-12-10,58
2017-12-17,68
2017-12-24,72
2017-12-31,60
2018-01-07,61
2018-01-14,62
2018-01-21,88
2018-01-28,67
2018-02-04,48
2018-02-11,61
2018-02-18,55
2018-02-25,68
2018-03-04,67
2018-03-11,61
2018-03-18,61
2018-03-25,84
2018-04-01,64
2018-04-08,82
2018-04-15,89
2018-04-22,81
2018-04-29,88
2018-05-06,81
2018-05-13,60
2018-05-20,57
2018-05-27,74
2018-06-03,75
2018-06-10,61
2018-06-17,74
2018-06-24,66
2018-07-01,58
2018-07-08,91
2018-07-15,74
2018-07-22,79
2018-07-29,61
2018-08-05,67
2018-08-12,59
2018-08-19,75
2018-08-26,75
2018-09-02,72
2018-09-09,82
2018-09-16,67
2018-09-23,69
2018-09-30,74
2018-10-07,75
2018-10-14,66
2018-10-21,70
2018-10-28,50
2018-11-04,63
2018-11-11,56
2018-11-18,66
2018-11-25,85
2018-12-02,68
2018-12-09,63
2018-12-16,71
2018-12-23,70
2018-12-30,84
2019-01-06,82
2019-01-13,78
2019-01-20,56
2019-01-27,59
2019-02-03,75
2019-02-10,60
2019-02-17,67
2019-02-24,69
2019-03-03,77
2019-03-10,72
2019-03-17,78
2019-03-24,65
2019-03-31,85
2019-04-07,62
2019-04-14,70
2019-04-21,77
2019-04-28,79
2019-05-05,74
2019-05-12,94
2019-05-19,89
2019-05-26,68
2019-06-02,81
2019-06-09,100
2019-06-16,89
2019-06-23,73
2019-06-30,84
2019-07-07,87
2019-07-14,83
2019-07-21,72
2019-07-28,80
2019-08-04,78
2019-08-11,78
2019-08-18,58
2019-08-25,68
2019-09-01,82
2019-09-08,87
2019-09-15,78
2019-09-22,85
2019-09-29,67
2019-10-06,72
2019-10-13,71
2019-10-20,61
2019-10-27,55
2019-11-03,64
2019-11-10,74
2019-11-17,74
2019-11-24,67
2019-12-01,64
2019-12-08,60
2019-12-15,65
2019-12-22,70
2019-12-29,79
2020-01-05,45
2020-01-12,82
2020-01-19,61
2020-01-26,67
2020-02-02,68
2020-02-09,69
2020-02-16,59
2020-02-23,52
2020-03-01,56
2020-03-08,37
2020-03-15,40
2020-03-22,37
2020-03-29,38
2020-04-05,34
2020-04-12,24
2020-04-19,37
2020-04-26,31
2020-05-03,58
2020-05-10,40
2020-05-17,37
2020-05-24,48
2020-05-31,55
2020-06-07,51
2020-06-14,66
2020-06-21,73
2020-06-28,66
2020-07-05,65
2020-07-12,77
2020-07-19,50
2020-07-26,47
