Categoría: Todas las categorías

Semana,Templo de Debod: (Italia)
2015-08-02,0
2015-08-09,0
2015-08-16,0
2015-08-23,32
2015-08-30,0
2015-09-06,0
2015-09-13,0
2015-09-20,0
2015-09-27,0
2015-10-04,28
2015-10-11,0
2015-10-18,0
2015-10-25,0
2015-11-01,57
2015-11-08,29
2015-11-15,28
2015-11-22,28
2015-11-29,0
2015-12-06,30
2015-12-13,0
2015-12-20,34
2015-12-27,50
2016-01-03,0
2016-01-10,30
2016-01-17,0
2016-01-24,30
2016-01-31,30
2016-02-07,0
2016-02-14,30
2016-02-21,30
2016-02-28,30
2016-03-06,0
2016-03-13,61
2016-03-20,31
2016-03-27,33
2016-04-03,0
2016-04-10,31
2016-04-17,63
2016-04-24,32
2016-05-01,31
2016-05-08,0
2016-05-15,31
2016-05-22,32
2016-05-29,0
2016-06-05,31
2016-06-12,0
2016-06-19,0
2016-06-26,98
2016-07-03,34
2016-07-10,68
2016-07-17,35
2016-07-24,0
2016-07-31,36
2016-08-07,40
2016-08-14,42
2016-08-21,55
2016-08-28,0
2016-09-04,0
2016-09-11,32
2016-09-18,0
2016-09-25,32
2016-10-02,0
2016-10-09,47
2016-10-16,0
2016-10-23,48
2016-10-30,33
2016-11-06,31
2016-11-13,32
2016-11-20,0
2016-11-27,31
2016-12-04,0
2016-12-11,0
2016-12-18,34
2016-12-25,0
2017-01-01,49
2017-01-08,29
2017-01-15,29
2017-01-22,29
2017-01-29,0
2017-02-05,0
2017-02-12,29
2017-02-19,0
2017-02-26,57
2017-03-05,0
2017-03-12,29
2017-03-19,30
2017-03-26,30
2017-04-02,0
2017-04-09,31
2017-04-16,0
2017-04-23,46
2017-04-30,30
2017-05-07,43
2017-05-14,31
2017-05-21,0
2017-05-28,33
2017-06-04,0
2017-06-11,46
2017-06-18,60
2017-06-25,31
2017-07-02,64
2017-07-09,31
2017-07-16,31
2017-07-23,0
2017-07-30,79
2017-08-06,0
2017-08-13,36
2017-08-20,32
2017-08-27,43
2017-09-03,0
2017-09-10,28
2017-09-17,28
2017-09-24,28
2017-10-01,0
2017-10-08,29
2017-10-15,56
2017-10-22,56
2017-10-29,43
2017-11-05,55
2017-11-12,55
2017-11-19,55
2017-11-26,28
2017-12-03,88
2017-12-10,0
2017-12-17,0
2017-12-24,32
2017-12-31,76
2018-01-07,55
2018-01-14,27
2018-01-21,27
2018-01-28,27
2018-02-04,53
2018-02-11,54
2018-02-18,52
2018-02-25,0
2018-03-04,26
2018-03-11,26
2018-03-18,53
2018-03-25,42
2018-04-01,29
2018-04-08,41
2018-04-15,55
2018-04-22,43
2018-04-29,0
2018-05-06,53
2018-05-13,27
2018-05-20,40
2018-05-27,28
2018-06-03,27
2018-06-10,26
2018-06-17,27
2018-06-24,27
2018-07-01,0
2018-07-08,0
2018-07-15,28
2018-07-22,0
2018-07-29,28
2018-08-05,44
2018-08-12,0
2018-08-19,60
2018-08-26,27
2018-09-02,53
2018-09-09,53
2018-09-16,26
2018-09-23,26
2018-09-30,40
2018-10-07,0
2018-10-14,28
2018-10-21,27
2018-10-28,40
2018-11-04,39
2018-11-11,27
2018-11-18,27
2018-11-25,0
2018-12-02,0
2018-12-09,0
2018-12-16,0
2018-12-23,64
2018-12-30,30
2019-01-06,27
2019-01-13,26
2019-01-20,0
2019-01-27,25
2019-02-03,77
2019-02-10,26
2019-02-17,52
2019-02-24,52
2019-03-03,0
2019-03-10,40
2019-03-17,68
2019-03-24,54
2019-03-31,27
2019-04-07,26
2019-04-14,27
2019-04-21,58
2019-04-28,53
2019-05-05,26
2019-05-12,26
2019-05-19,26
2019-05-26,25
2019-06-02,0
2019-06-09,27
2019-06-16,27
2019-06-23,27
2019-06-30,27
2019-07-07,26
2019-07-14,27
2019-07-21,81
2019-07-28,28
2019-08-04,0
2019-08-11,30
2019-08-18,28
2019-08-25,27
2019-09-01,24
2019-09-08,25
2019-09-15,25
2019-09-22,100
2019-09-29,25
2019-10-06,38
2019-10-13,25
2019-10-20,24
2019-10-27,0
2019-11-03,0
2019-11-10,49
2019-11-17,24
2019-11-24,24
2019-12-01,50
2019-12-08,25
2019-12-15,26
2019-12-22,0
2019-12-29,27
2020-01-05,49
2020-01-12,46
2020-01-19,59
2020-01-26,46
2020-02-02,23
2020-02-09,47
2020-02-16,48
2020-02-23,22
2020-03-01,44
2020-03-08,21
2020-03-15,21
2020-03-22,19
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,30
2020-04-26,21
2020-05-03,0
2020-05-10,0
2020-05-17,32
2020-05-24,0
2020-05-31,33
2020-06-07,0
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,48
2020-07-12,0
2020-07-19,0
2020-07-26,0
