Categoría: Todas las categorías

Semana,callao: (Países Bajos)
2015-08-02,56
2015-08-09,26
2015-08-16,25
2015-08-23,24
2015-08-30,23
2015-09-06,0
2015-09-13,23
2015-09-20,46
2015-09-27,23
2015-10-04,23
2015-10-11,22
2015-10-18,74
2015-10-25,22
2015-11-01,43
2015-11-08,54
2015-11-15,36
2015-11-22,22
2015-11-29,64
2015-12-06,22
2015-12-13,22
2015-12-20,24
2015-12-27,48
2016-01-03,38
2016-01-10,45
2016-01-17,35
2016-01-24,23
2016-01-31,35
2016-02-07,24
2016-02-14,48
2016-02-21,47
2016-02-28,24
2016-03-06,31
2016-03-13,23
2016-03-20,58
2016-03-27,35
2016-04-03,23
2016-04-10,24
2016-04-17,24
2016-04-24,24
2016-05-01,54
2016-05-08,36
2016-05-15,46
2016-05-22,23
2016-05-29,23
2016-06-05,48
2016-06-12,34
2016-06-19,0
2016-06-26,46
2016-07-03,37
2016-07-10,25
2016-07-17,28
2016-07-24,0
2016-07-31,37
2016-08-07,0
2016-08-14,29
2016-08-21,27
2016-08-28,42
2016-09-04,38
2016-09-11,37
2016-09-18,34
2016-09-25,61
2016-10-02,37
2016-10-09,49
2016-10-16,42
2016-10-23,37
2016-10-30,72
2016-11-06,24
2016-11-13,47
2016-11-20,39
2016-11-27,23
2016-12-04,35
2016-12-11,23
2016-12-18,61
2016-12-25,26
2017-01-01,24
2017-01-08,34
2017-01-15,34
2017-01-22,45
2017-01-29,37
2017-02-05,100
2017-02-12,52
2017-02-19,34
2017-02-26,33
2017-03-05,0
2017-03-12,33
2017-03-19,88
2017-03-26,23
2017-04-02,23
2017-04-09,0
2017-04-16,45
2017-04-23,23
2017-04-30,45
2017-05-07,30
2017-05-14,0
2017-05-21,25
2017-05-28,35
2017-06-04,0
2017-06-11,30
2017-06-18,22
2017-06-25,34
2017-07-02,23
2017-07-09,23
2017-07-16,24
2017-07-23,24
2017-07-30,24
2017-08-06,24
2017-08-13,23
2017-08-20,24
2017-08-27,23
2017-09-03,22
2017-09-10,21
2017-09-17,22
2017-09-24,29
2017-10-01,63
2017-10-08,28
2017-10-15,51
2017-10-22,42
2017-10-29,20
2017-11-05,31
2017-11-12,31
2017-11-19,41
2017-11-26,28
2017-12-03,21
2017-12-10,21
2017-12-17,22
2017-12-24,24
2017-12-31,0
2018-01-07,31
2018-01-14,31
2018-01-21,61
2018-01-28,52
2018-02-04,43
2018-02-11,22
2018-02-18,28
2018-02-25,28
2018-03-04,35
2018-03-11,27
2018-03-18,62
2018-03-25,41
2018-04-01,32
2018-04-08,21
2018-04-15,37
2018-04-22,28
2018-04-29,22
2018-05-06,22
2018-05-13,20
2018-05-20,31
2018-05-27,0
2018-06-03,21
2018-06-10,47
2018-06-17,20
2018-06-24,28
2018-07-01,21
2018-07-08,21
2018-07-15,37
2018-07-22,23
2018-07-29,23
2018-08-05,34
2018-08-12,45
2018-08-19,29
2018-08-26,64
2018-09-02,52
2018-09-09,63
2018-09-16,42
2018-09-23,0
2018-09-30,21
2018-10-07,22
2018-10-14,43
2018-10-21,22
2018-10-28,21
2018-11-04,30
2018-11-11,31
2018-11-18,20
2018-11-25,20
2018-12-02,41
2018-12-09,32
2018-12-16,21
2018-12-23,70
2018-12-30,22
2019-01-06,20
2019-01-13,31
2019-01-20,26
2019-01-27,20
2019-02-03,20
2019-02-10,61
2019-02-17,21
2019-02-24,0
2019-03-03,31
2019-03-10,81
2019-03-17,21
2019-03-24,62
2019-03-31,42
2019-04-07,41
2019-04-14,42
2019-04-21,43
2019-04-28,41
2019-05-05,20
2019-05-12,40
2019-05-19,20
2019-05-26,20
2019-06-02,19
2019-06-09,19
2019-06-16,40
2019-06-23,20
2019-06-30,47
2019-07-07,30
2019-07-14,21
2019-07-21,67
2019-07-28,37
2019-08-04,56
2019-08-11,32
2019-08-18,54
2019-08-25,42
2019-09-01,29
2019-09-08,0
2019-09-15,40
2019-09-22,51
2019-09-29,19
2019-10-06,47
2019-10-13,19
2019-10-20,59
2019-10-27,51
2019-11-03,25
2019-11-10,32
2019-11-17,29
2019-11-24,65
2019-12-01,38
2019-12-08,19
2019-12-15,38
2019-12-22,21
2019-12-29,20
2020-01-05,28
2020-01-12,30
2020-01-19,37
2020-01-26,18
2020-02-02,31
2020-02-09,36
2020-02-16,37
2020-02-23,18
2020-03-01,44
2020-03-08,26
2020-03-15,35
2020-03-22,0
2020-03-29,0
2020-04-05,17
2020-04-12,0
2020-04-19,0
2020-04-26,17
2020-05-03,17
2020-05-10,16
2020-05-17,0
2020-05-24,17
2020-05-31,24
2020-06-07,16
2020-06-14,21
2020-06-21,23
2020-06-28,16
2020-07-05,40
2020-07-12,0
2020-07-19,18
2020-07-26,0
