Categoría: Todas las categorías

Semana,gran via: (Países Bajos)
2015-08-02,64
2015-08-09,0
2015-08-16,48
2015-08-23,0
2015-08-30,37
2015-09-06,68
2015-09-13,65
2015-09-20,29
2015-09-27,33
2015-10-04,54
2015-10-11,74
2015-10-18,28
2015-10-25,42
2015-11-01,42
2015-11-08,62
2015-11-15,41
2015-11-22,62
2015-11-29,21
2015-12-06,21
2015-12-13,0
2015-12-20,47
2015-12-27,47
2016-01-03,36
2016-01-10,54
2016-01-17,0
2016-01-24,44
2016-01-31,30
2016-02-07,46
2016-02-14,23
2016-02-21,53
2016-02-28,46
2016-03-06,34
2016-03-13,38
2016-03-20,23
2016-03-27,57
2016-04-03,45
2016-04-10,61
2016-04-17,38
2016-04-24,31
2016-05-01,35
2016-05-08,47
2016-05-15,67
2016-05-22,67
2016-05-29,0
2016-06-05,69
2016-06-12,22
2016-06-19,100
2016-06-26,81
2016-07-03,32
2016-07-10,24
2016-07-17,54
2016-07-24,27
2016-07-31,81
2016-08-07,45
2016-08-14,69
2016-08-21,53
2016-08-28,65
2016-09-04,49
2016-09-11,72
2016-09-18,32
2016-09-25,59
2016-10-02,24
2016-10-09,82
2016-10-16,60
2016-10-23,48
2016-10-30,47
2016-11-06,23
2016-11-13,23
2016-11-20,0
2016-11-27,23
2016-12-04,22
2016-12-11,68
2016-12-18,23
2016-12-25,0
2017-01-01,76
2017-01-08,44
2017-01-15,44
2017-01-22,44
2017-01-29,64
2017-02-05,50
2017-02-12,33
2017-02-19,43
2017-02-26,50
2017-03-05,42
2017-03-12,42
2017-03-19,50
2017-03-26,44
2017-04-02,29
2017-04-09,0
2017-04-16,44
2017-04-23,68
2017-04-30,44
2017-05-07,43
2017-05-14,34
2017-05-21,48
2017-05-28,30
2017-06-04,54
2017-06-11,22
2017-06-18,21
2017-06-25,36
2017-07-02,23
2017-07-09,68
2017-07-16,35
2017-07-23,45
2017-07-30,46
2017-08-06,46
2017-08-13,34
2017-08-20,38
2017-08-27,33
2017-09-03,35
2017-09-10,47
2017-09-17,28
2017-09-24,62
2017-10-01,30
2017-10-08,34
2017-10-15,21
2017-10-22,31
2017-10-29,30
2017-11-05,50
2017-11-12,20
2017-11-19,20
2017-11-26,27
2017-12-03,0
2017-12-10,39
2017-12-17,21
2017-12-24,45
2017-12-31,21
2018-01-07,20
2018-01-14,69
2018-01-21,20
2018-01-28,20
2018-02-04,31
2018-02-11,42
2018-02-18,20
2018-02-25,20
2018-03-04,40
2018-03-11,33
2018-03-18,26
2018-03-25,34
2018-04-01,41
2018-04-08,20
2018-04-15,32
2018-04-22,51
2018-04-29,28
2018-05-06,32
2018-05-13,20
2018-05-20,30
2018-05-27,58
2018-06-03,20
2018-06-10,77
2018-06-17,26
2018-06-24,60
2018-07-01,30
2018-07-08,40
2018-07-15,58
2018-07-22,0
2018-07-29,22
2018-08-05,22
2018-08-12,21
2018-08-19,21
2018-08-26,21
2018-09-02,91
2018-09-09,61
2018-09-16,54
2018-09-23,54
2018-09-30,34
2018-10-07,52
2018-10-14,28
2018-10-21,34
2018-10-28,60
2018-11-04,52
2018-11-11,40
2018-11-18,39
2018-11-25,40
2018-12-02,26
2018-12-09,41
2018-12-16,42
2018-12-23,23
2018-12-30,0
2019-01-06,33
2019-01-13,71
2019-01-20,32
2019-01-27,57
2019-02-03,26
2019-02-10,20
2019-02-17,60
2019-02-24,33
2019-03-03,50
2019-03-10,39
2019-03-17,49
2019-03-24,20
2019-03-31,20
2019-04-07,33
2019-04-14,41
2019-04-21,34
2019-04-28,39
2019-05-05,38
2019-05-12,58
2019-05-19,19
2019-05-26,49
2019-06-02,18
2019-06-09,37
2019-06-16,26
2019-06-23,20
2019-06-30,32
2019-07-07,29
2019-07-14,41
2019-07-21,29
2019-07-28,54
2019-08-04,54
2019-08-11,20
2019-08-18,62
2019-08-25,27
2019-09-01,56
2019-09-08,51
2019-09-15,45
2019-09-22,31
2019-09-29,37
2019-10-06,83
2019-10-13,75
2019-10-20,38
2019-10-27,18
2019-11-03,30
2019-11-10,31
2019-11-17,18
2019-11-24,62
2019-12-01,37
2019-12-08,56
2019-12-15,31
2019-12-22,20
2019-12-29,45
2020-01-05,27
2020-01-12,52
2020-01-19,29
2020-01-26,71
2020-02-02,18
2020-02-09,35
2020-02-16,30
2020-02-23,17
2020-03-01,40
2020-03-08,33
2020-03-15,33
2020-03-22,17
2020-03-29,16
2020-04-05,22
2020-04-12,16
2020-04-19,25
2020-04-26,16
2020-05-03,24
2020-05-10,16
2020-05-17,41
2020-05-24,26
2020-05-31,0
2020-06-07,0
2020-06-14,16
2020-06-21,0
2020-06-28,39
2020-07-05,17
2020-07-12,18
2020-07-19,18
2020-07-26,0
