,Museo Nacional del Prado: (Portugal),Plaza Mayor: (Portugal),Parque de El Retiro: (Portugal),Puerta del Sol: (Portugal),gran via: (Portugal),Museo Nacional Thyssen-Bornemisza: (Portugal),Templo de Debod: (Portugal),Catedral de Santa María la Real de la Almudena: (Portugal),cibeles: (Portugal),Palacio de Cristal: (Portugal),Puerta de Alcalá: (Portugal),El Rastro: (Portugal),Plaza de Toros de Las Ventas: (Portugal),Chueca: (Portugal),callao: (Portugal),date
0,<1,32,33,45,60,35,95,30,24,58,55,62,55,31,35,2015-08-01
1,1,30,31,21,52,65,48,0,24,100,51,59,51,29,33,2015-09-01
2,<1,0,31,20,95,64,91,27,45,43,50,56,25,54,0,2015-10-01
3,<1,61,33,41,38,68,48,29,46,64,53,59,0,57,33,2015-11-01
4,<1,34,34,27,52,37,50,0,0,57,55,74,28,36,35,2015-12-01
5,<1,43,29,20,73,91,43,26,22,51,49,53,24,27,31,2016-01-01
6,<1,29,44,39,45,70,45,54,22,65,49,54,0,27,61,2016-02-01
7,<1,29,62,30,68,92,87,53,23,56,97,56,49,53,32,2016-03-01
8,1,55,31,39,63,60,43,26,23,68,47,53,36,26,30,2016-04-01
9,<1,28,87,100,37,31,45,27,100,85,0,55,78,27,59,2016-05-01
10,<1,0,32,42,52,65,70,28,24,71,52,0,78,29,100,2016-06-01
11,<1,100,35,24,44,88,100,32,49,57,57,0,29,50,71,2016-07-01
12,1,71,36,33,44,74,55,100,26,58,55,62,29,100,39,2016-08-01
13,<1,31,33,33,61,34,48,59,48,78,53,60,27,59,34,2016-09-01
14,<1,0,49,33,100,67,0,28,24,60,53,60,39,57,34,2016-10-01
15,1,0,0,44,29,34,0,43,47,45,52,59,26,57,0,2016-11-01
16,<1,31,36,24,51,74,53,43,0,20,58,60,29,38,33,2016-12-01
17,<1,60,63,21,57,33,0,83,42,0,51,0,26,56,32,2017-01-01
18,<1,29,60,29,46,46,44,53,23,14,48,0,24,55,31,2017-02-01
19,<1,55,43,39,54,90,85,52,44,21,95,0,24,39,30,2017-03-01
20,<1,58,45,40,84,32,90,56,45,43,100,0,26,42,47,2017-04-01
21,<1,46,32,21,40,65,47,26,83,15,0,0,65,29,33,2017-05-01
22,<1,0,68,44,58,71,51,28,24,16,0,60,28,31,36,2017-06-01
23,<1,32,100,45,39,35,48,29,24,23,54,61,28,0,52,2017-07-01
24,<1,46,79,23,46,65,50,29,25,27,52,58,56,57,35,2017-08-01
25,<1,29,31,20,57,32,46,27,45,29,50,0,50,28,32,2017-09-01
26,<1,85,30,20,74,61,66,0,44,21,50,55,25,40,61,2017-10-01
27,<1,29,46,30,50,32,91,54,63,29,49,56,23,41,31,2017-11-01
28,<1,62,49,31,61,100,0,79,22,23,0,58,50,28,34,2017-12-01
29,<1,55,58,25,41,44,43,26,21,41,48,53,24,26,30,2018-01-01
30,<1,56,29,57,54,45,43,52,43,41,0,100,22,26,30,2018-02-01
31,<1,53,50,37,37,56,45,27,43,14,45,0,24,27,30,2018-03-01
32,<1,54,37,31,51,44,42,49,21,18,47,50,70,33,29,2018-04-01
33,1,27,58,19,35,30,63,43,31,26,47,52,100,25,43,2018-05-01
34,<1,26,55,27,40,42,41,25,20,25,45,51,55,25,57,2018-06-01
35,<1,27,83,37,35,58,42,25,21,26,45,0,23,25,29,2018-07-01
36,<1,56,58,26,62,30,64,49,22,41,47,50,47,39,75,2018-08-01
37,<1,56,83,56,70,30,82,50,22,28,46,0,24,26,57,2018-09-01
38,<1,29,85,20,58,31,85,27,21,33,47,55,31,51,30,2018-10-01
39,<1,55,29,20,41,30,44,26,22,21,0,52,24,26,58,2018-11-01
40,<1,65,33,65,50,89,48,44,25,31,51,57,27,30,34,2018-12-01
41,<1,28,30,50,47,58,43,27,21,31,47,55,35,54,31,2019-01-01
42,1,53,57,38,52,89,83,76,20,77,46,0,23,26,44,2019-02-01
43,<1,54,59,59,63,75,43,26,22,78,48,54,48,50,40,2019-03-01
44,<1,56,47,19,35,44,85,51,42,27,0,53,35,51,59,2019-04-01
45,1,26,81,18,42,28,81,49,30,19,45,74,56,24,28,2019-05-01
46,<1,38,53,27,55,28,39,36,20,19,45,50,68,25,56,2019-06-01
47,<1,26,78,36,44,57,41,24,40,21,43,49,34,24,29,2019-07-01
48,1,76,80,55,66,28,39,24,20,33,43,48,44,49,40,2019-08-01
49,<1,50,100,50,31,52,74,45,19,30,41,47,41,23,54,2019-09-01
50,<1,24,51,42,48,26,38,46,28,32,42,0,31,45,27,2019-10-01
51,<1,0,50,17,54,26,73,23,38,20,0,45,20,33,40,2019-11-01
52,<1,28,41,27,67,56,43,48,41,26,44,93,48,52,30,2019-12-01
53,1,44,34,16,44,32,36,41,18,23,0,0,20,31,48,2020-01-01
54,<1,44,94,32,44,48,35,21,35,27,39,88,20,21,48,2020-02-01
55,<1,21,44,28,26,32,97,37,16,21,36,0,18,0,23,2020-03-01
56,<1,0,40,14,17,20,30,19,37,9,32,0,16,18,22,2020-04-01
57,<1,20,31,39,17,21,31,19,29,19,32,36,17,19,22,2020-05-01
58,<1,0,21,0,26,22,31,18,16,19,33,0,18,19,21,2020-06-01
59,<1,21,23,15,24,23,0,21,17,15,37,0,18,21,0,2020-07-01
