Categoría: Todas las categorías

Semana,calle serrano: (España)
2015-08-02,67
2015-08-09,68
2015-08-16,45
2015-08-23,64
2015-08-30,73
2015-09-06,83
2015-09-13,97
2015-09-20,46
2015-09-27,63
2015-10-04,71
2015-10-11,78
2015-10-18,68
2015-10-25,89
2015-11-01,78
2015-11-08,71
2015-11-15,79
2015-11-22,77
2015-11-29,73
2015-12-06,88
2015-12-13,89
2015-12-20,58
2015-12-27,83
2016-01-03,61
2016-01-10,91
2016-01-17,99
2016-01-24,83
2016-01-31,100
2016-02-07,85
2016-02-14,68
2016-02-21,67
2016-02-28,84
2016-03-06,84
2016-03-13,60
2016-03-20,75
2016-03-27,77
2016-04-03,73
2016-04-10,82
2016-04-17,78
2016-04-24,83
2016-05-01,75
2016-05-08,84
2016-05-15,91
2016-05-22,73
2016-05-29,84
2016-06-05,89
2016-06-12,63
2016-06-19,73
2016-06-26,85
2016-07-03,89
2016-07-10,66
2016-07-17,61
2016-07-24,41
2016-07-31,50
2016-08-07,50
2016-08-14,47
2016-08-21,43
2016-08-28,79
2016-09-04,80
2016-09-11,76
2016-09-18,68
2016-09-25,86
2016-10-02,95
2016-10-09,71
2016-10-16,94
2016-10-23,79
2016-10-30,88
2016-11-06,67
2016-11-13,92
2016-11-20,82
2016-11-27,86
2016-12-04,78
2016-12-11,92
2016-12-18,82
2016-12-25,72
2017-01-01,81
2017-01-08,91
2017-01-15,77
2017-01-22,71
2017-01-29,59
2017-02-05,73
2017-02-12,91
2017-02-19,79
2017-02-26,85
2017-03-05,57
2017-03-12,83
2017-03-19,79
2017-03-26,71
2017-04-02,62
2017-04-09,44
2017-04-16,74
2017-04-23,77
2017-04-30,69
2017-05-07,90
2017-05-14,78
2017-05-21,93
2017-05-28,81
2017-06-04,69
2017-06-11,74
2017-06-18,76
2017-06-25,70
2017-07-02,75
2017-07-09,58
2017-07-16,83
2017-07-23,76
2017-07-30,61
2017-08-06,75
2017-08-13,39
2017-08-20,55
2017-08-27,64
2017-09-03,76
2017-09-10,82
2017-09-17,70
2017-09-24,52
2017-10-01,63
2017-10-08,76
2017-10-15,71
2017-10-22,98
2017-10-29,73
2017-11-05,86
2017-11-12,86
2017-11-19,67
2017-11-26,77
2017-12-03,94
2017-12-10,75
2017-12-17,69
2017-12-24,80
2017-12-31,60
2018-01-07,67
2018-01-14,79
2018-01-21,85
2018-01-28,72
2018-02-04,88
2018-02-11,86
2018-02-18,75
2018-02-25,72
2018-03-04,58
2018-03-11,81
2018-03-18,64
2018-03-25,63
2018-04-01,82
2018-04-08,72
2018-04-15,86
2018-04-22,70
2018-04-29,72
2018-05-06,71
2018-05-13,64
2018-05-20,69
2018-05-27,77
2018-06-03,77
2018-06-10,83
2018-06-17,78
2018-06-24,75
2018-07-01,80
2018-07-08,74
2018-07-15,71
2018-07-22,70
2018-07-29,64
2018-08-05,49
2018-08-12,55
2018-08-19,46
2018-08-26,65
2018-09-02,67
2018-09-09,83
2018-09-16,66
2018-09-23,81
2018-09-30,85
2018-10-07,80
2018-10-14,69
2018-10-21,77
2018-10-28,64
2018-11-04,60
2018-11-11,72
2018-11-18,85
2018-11-25,78
2018-12-02,89
2018-12-09,91
2018-12-16,82
2018-12-23,72
2018-12-30,73
2019-01-06,79
2019-01-13,66
2019-01-20,72
2019-01-27,71
2019-02-03,73
2019-02-10,75
2019-02-17,78
2019-02-24,79
2019-03-03,57
2019-03-10,80
2019-03-17,81
2019-03-24,71
2019-03-31,75
2019-04-07,83
2019-04-14,53
2019-04-21,76
2019-04-28,64
2019-05-05,77
2019-05-12,76
2019-05-19,62
2019-05-26,69
2019-06-02,64
2019-06-09,68
2019-06-16,82
2019-06-23,88
2019-06-30,83
2019-07-07,74
2019-07-14,69
2019-07-21,53
2019-07-28,55
2019-08-04,61
2019-08-11,59
2019-08-18,72
2019-08-25,56
2019-09-01,73
2019-09-08,70
2019-09-15,55
2019-09-22,65
2019-09-29,79
2019-10-06,78
2019-10-13,69
2019-10-20,77
2019-10-27,70
2019-11-03,72
2019-11-10,80
2019-11-17,68
2019-11-24,71
2019-12-01,68
2019-12-08,82
2019-12-15,64
2019-12-22,85
2019-12-29,56
2020-01-05,70
2020-01-12,65
2020-01-19,79
2020-01-26,74
2020-02-02,81
2020-02-09,77
2020-02-16,74
2020-02-23,64
2020-03-01,67
2020-03-08,40
2020-03-15,25
2020-03-22,21
2020-03-29,22
2020-04-05,22
2020-04-12,17
2020-04-19,17
2020-04-26,22
2020-05-03,31
2020-05-10,38
2020-05-17,49
2020-05-24,50
2020-05-31,49
2020-06-07,55
2020-06-14,57
2020-06-21,54
2020-06-28,54
2020-07-05,56
2020-07-12,50
2020-07-19,56
2020-07-26,32
