Categoría: Todas las categorías

Semana,palacio de cristal: (España)
2015-08-02,25
2015-08-09,30
2015-08-16,23
2015-08-23,36
2015-08-30,24
2015-09-06,33
2015-09-13,47
2015-09-20,38
2015-09-27,37
2015-10-04,25
2015-10-11,86
2015-10-18,58
2015-10-25,56
2015-11-01,33
2015-11-08,39
2015-11-15,39
2015-11-22,59
2015-11-29,46
2015-12-06,54
2015-12-13,43
2015-12-20,26
2015-12-27,51
2016-01-03,38
2016-01-10,27
2016-01-17,39
2016-01-24,40
2016-01-31,46
2016-02-07,27
2016-02-14,49
2016-02-21,58
2016-02-28,45
2016-03-06,54
2016-03-13,49
2016-03-20,31
2016-03-27,31
2016-04-03,40
2016-04-10,79
2016-04-17,40
2016-04-24,41
2016-05-01,42
2016-05-08,22
2016-05-15,53
2016-05-22,35
2016-05-29,42
2016-06-05,36
2016-06-12,40
2016-06-19,27
2016-06-26,27
2016-07-03,26
2016-07-10,39
2016-07-17,37
2016-07-24,16
2016-07-31,31
2016-08-07,27
2016-08-14,49
2016-08-21,34
2016-08-28,36
2016-09-04,41
2016-09-11,25
2016-09-18,22
2016-09-25,34
2016-10-02,53
2016-10-09,78
2016-10-16,47
2016-10-23,36
2016-10-30,54
2016-11-06,47
2016-11-13,41
2016-11-20,22
2016-11-27,45
2016-12-04,56
2016-12-11,53
2016-12-18,34
2016-12-25,56
2017-01-01,42
2017-01-08,25
2017-01-15,37
2017-01-22,32
2017-01-29,40
2017-02-05,34
2017-02-12,47
2017-02-19,41
2017-02-26,54
2017-03-05,41
2017-03-12,31
2017-03-19,64
2017-03-26,77
2017-04-02,57
2017-04-09,82
2017-04-16,49
2017-04-23,32
2017-04-30,46
2017-05-07,51
2017-05-14,37
2017-05-21,32
2017-05-28,27
2017-06-04,58
2017-06-11,46
2017-06-18,30
2017-06-25,33
2017-07-02,39
2017-07-09,34
2017-07-16,21
2017-07-23,24
2017-07-30,40
2017-08-06,26
2017-08-13,32
2017-08-20,30
2017-08-27,22
2017-09-03,29
2017-09-10,31
2017-09-17,36
2017-09-24,44
2017-10-01,54
2017-10-08,58
2017-10-15,61
2017-10-22,87
2017-10-29,42
2017-11-05,50
2017-11-12,51
2017-11-19,58
2017-11-26,55
2017-12-03,91
2017-12-10,34
2017-12-17,40
2017-12-24,79
2017-12-31,42
2018-01-07,34
2018-01-14,46
2018-01-21,46
2018-01-28,59
2018-02-04,33
2018-02-11,63
2018-02-18,42
2018-02-25,64
2018-03-04,74
2018-03-11,90
2018-03-18,62
2018-03-25,56
2018-04-01,34
2018-04-08,40
2018-04-15,48
2018-04-22,23
2018-04-29,47
2018-05-06,48
2018-05-13,26
2018-05-20,34
2018-05-27,33
2018-06-03,38
2018-06-10,47
2018-06-17,43
2018-06-24,45
2018-07-01,25
2018-07-08,52
2018-07-15,36
2018-07-22,36
2018-07-29,31
2018-08-05,65
2018-08-12,52
2018-08-19,36
2018-08-26,60
2018-09-02,55
2018-09-09,39
2018-09-16,33
2018-09-23,42
2018-09-30,33
2018-10-07,46
2018-10-14,98
2018-10-21,66
2018-10-28,57
2018-11-04,39
2018-11-11,57
2018-11-18,46
2018-11-25,67
2018-12-02,65
2018-12-09,59
2018-12-16,38
2018-12-23,90
2018-12-30,66
2019-01-06,48
2019-01-13,38
2019-01-20,51
2019-01-27,51
2019-02-03,64
2019-02-10,56
2019-02-17,56
2019-02-24,67
2019-03-03,41
2019-03-10,65
2019-03-17,58
2019-03-24,36
2019-03-31,83
2019-04-07,55
2019-04-14,85
2019-04-21,39
2019-04-28,51
2019-05-05,32
2019-05-12,48
2019-05-19,37
2019-05-26,40
2019-06-02,51
2019-06-09,61
2019-06-16,83
2019-06-23,48
2019-06-30,37
2019-07-07,38
2019-07-14,32
2019-07-21,52
2019-07-28,62
2019-08-04,62
2019-08-11,62
2019-08-18,57
2019-08-25,48
2019-09-01,69
2019-09-08,52
2019-09-15,59
2019-09-22,50
2019-09-29,50
2019-10-06,56
2019-10-13,71
2019-10-20,54
2019-10-27,51
2019-11-03,81
2019-11-10,38
2019-11-17,68
2019-11-24,42
2019-12-01,73
2019-12-08,87
2019-12-15,38
2019-12-22,80
2019-12-29,60
2020-01-05,30
2020-01-12,42
2020-01-19,45
2020-01-26,45
2020-02-02,55
2020-02-09,55
2020-02-16,85
2020-02-23,56
2020-03-01,51
2020-03-08,36
2020-03-15,9
2020-03-22,47
2020-03-29,22
2020-04-05,9
2020-04-12,19
2020-04-19,14
2020-04-26,7
2020-05-03,9
2020-05-10,9
2020-05-17,26
2020-05-24,18
2020-05-31,16
2020-06-07,24
2020-06-14,22
2020-06-21,20
2020-06-28,25
2020-07-05,36
2020-07-12,78
2020-07-19,70
2020-07-26,100
