Categoría: Todas las categorías

Semana,plaza mayor: (Reino Unido)
2015-08-02,47
2015-08-09,31
2015-08-16,20
2015-08-23,15
2015-08-30,25
2015-09-06,31
2015-09-13,49
2015-09-20,39
2015-09-27,15
2015-10-04,48
2015-10-11,29
2015-10-18,38
2015-10-25,29
2015-11-01,36
2015-11-08,28
2015-11-15,38
2015-11-22,42
2015-11-29,38
2015-12-06,33
2015-12-13,46
2015-12-20,53
2015-12-27,32
2016-01-03,36
2016-01-10,36
2016-01-17,59
2016-01-24,43
2016-01-31,33
2016-02-07,39
2016-02-14,64
2016-02-21,81
2016-02-28,57
2016-03-06,29
2016-03-13,44
2016-03-20,30
2016-03-27,25
2016-04-03,44
2016-04-10,83
2016-04-17,22
2016-04-24,58
2016-05-01,45
2016-05-08,22
2016-05-15,63
2016-05-22,30
2016-05-29,36
2016-06-05,50
2016-06-12,58
2016-06-19,30
2016-06-26,30
2016-07-03,23
2016-07-10,26
2016-07-17,45
2016-07-24,27
2016-07-31,22
2016-08-07,39
2016-08-14,52
2016-08-21,25
2016-08-28,21
2016-09-04,55
2016-09-11,37
2016-09-18,70
2016-09-25,41
2016-10-02,61
2016-10-09,30
2016-10-16,61
2016-10-23,20
2016-10-30,38
2016-11-06,37
2016-11-13,19
2016-11-20,38
2016-11-27,22
2016-12-04,19
2016-12-11,31
2016-12-18,16
2016-12-25,58
2017-01-01,52
2017-01-08,32
2017-01-15,46
2017-01-22,56
2017-01-29,27
2017-02-05,28
2017-02-12,37
2017-02-19,37
2017-02-26,58
2017-03-05,31
2017-03-12,41
2017-03-19,23
2017-03-26,43
2017-04-02,48
2017-04-09,63
2017-04-16,38
2017-04-23,45
2017-04-30,28
2017-05-07,32
2017-05-14,38
2017-05-21,25
2017-05-28,44
2017-06-04,42
2017-06-11,45
2017-06-18,34
2017-06-25,49
2017-07-02,25
2017-07-09,24
2017-07-16,39
2017-07-23,48
2017-07-30,42
2017-08-06,48
2017-08-13,34
2017-08-20,34
2017-08-27,49
2017-09-03,66
2017-09-10,42
2017-09-17,33
2017-09-24,64
2017-10-01,42
2017-10-08,27
2017-10-15,34
2017-10-22,50
2017-10-29,27
2017-11-05,47
2017-11-12,44
2017-11-19,26
2017-11-26,27
2017-12-03,55
2017-12-10,28
2017-12-17,25
2017-12-24,23
2017-12-31,18
2018-01-07,20
2018-01-14,21
2018-01-21,30
2018-01-28,33
2018-02-04,35
2018-02-11,36
2018-02-18,26
2018-02-25,33
2018-03-04,31
2018-03-11,22
2018-03-18,44
2018-03-25,41
2018-04-01,20
2018-04-08,40
2018-04-15,41
2018-04-22,52
2018-04-29,40
2018-05-06,46
2018-05-13,32
2018-05-20,36
2018-05-27,41
2018-06-03,22
2018-06-10,13
2018-06-17,59
2018-06-24,37
2018-07-01,27
2018-07-08,54
2018-07-15,37
2018-07-22,27
2018-07-29,20
2018-08-05,32
2018-08-12,37
2018-08-19,49
2018-08-26,47
2018-09-02,62
2018-09-09,32
2018-09-16,27
2018-09-23,62
2018-09-30,22
2018-10-07,63
2018-10-14,41
2018-10-21,28
2018-10-28,46
2018-11-04,52
2018-11-11,20
2018-11-18,32
2018-11-25,13
2018-12-02,13
2018-12-09,23
2018-12-16,43
2018-12-23,32
2018-12-30,28
2019-01-06,13
2019-01-13,22
2019-01-20,35
2019-01-27,13
2019-02-03,38
2019-02-10,22
2019-02-17,13
2019-02-24,33
2019-03-03,52
2019-03-10,35
2019-03-17,31
2019-03-24,41
2019-03-31,40
2019-04-07,31
2019-04-14,37
2019-04-21,45
2019-04-28,30
2019-05-05,62
2019-05-12,49
2019-05-19,76
2019-05-26,100
2019-06-02,33
2019-06-09,43
2019-06-16,44
2019-06-23,33
2019-06-30,22
2019-07-07,35
2019-07-14,35
2019-07-21,36
2019-07-28,45
2019-08-04,44
2019-08-11,43
2019-08-18,36
2019-08-25,59
2019-09-01,47
2019-09-08,42
2019-09-15,47
2019-09-22,20
2019-09-29,53
2019-10-06,48
2019-10-13,29
2019-10-20,28
2019-10-27,40
2019-11-03,51
2019-11-10,24
2019-11-17,31
2019-11-24,46
2019-12-01,35
2019-12-08,32
2019-12-15,46
2019-12-22,34
2019-12-29,33
2020-01-05,27
2020-01-12,22
2020-01-19,39
2020-01-26,38
2020-02-02,39
2020-02-09,71
2020-02-16,38
2020-02-23,63
2020-03-01,33
2020-03-08,29
2020-03-15,21
2020-03-22,35
2020-03-29,30
2020-04-05,24
2020-04-12,15
2020-04-19,24
2020-04-26,20
2020-05-03,27
2020-05-10,30
2020-05-17,27
2020-05-24,18
2020-05-31,20
2020-06-07,10
2020-06-14,53
2020-06-21,17
2020-06-28,20
2020-07-05,21
2020-07-12,22
2020-07-19,34
2020-07-26,0
