Categoría: Todas las categorías

Semana,san gines: (Reino Unido)
2015-08-02,0
2015-08-09,0
2015-08-16,0
2015-08-23,0
2015-08-30,0
2015-09-06,34
2015-09-13,66
2015-09-20,33
2015-09-27,0
2015-10-04,0
2015-10-11,0
2015-10-18,33
2015-10-25,0
2015-11-01,0
2015-11-08,31
2015-11-15,0
2015-11-22,31
2015-11-29,0
2015-12-06,32
2015-12-13,0
2015-12-20,0
2015-12-27,36
2016-01-03,32
2016-01-10,0
2016-01-17,0
2016-01-24,32
2016-01-31,32
2016-02-07,64
2016-02-14,33
2016-02-21,33
2016-02-28,32
2016-03-06,0
2016-03-13,33
2016-03-20,0
2016-03-27,34
2016-04-03,33
2016-04-10,33
2016-04-17,0
2016-04-24,0
2016-05-01,0
2016-05-08,67
2016-05-15,33
2016-05-22,0
2016-05-29,34
2016-06-05,34
2016-06-12,0
2016-06-19,33
2016-06-26,34
2016-07-03,52
2016-07-10,70
2016-07-17,37
2016-07-24,0
2016-07-31,0
2016-08-07,38
2016-08-14,38
2016-08-21,56
2016-08-28,72
2016-09-04,35
2016-09-11,35
2016-09-18,0
2016-09-25,34
2016-10-02,34
2016-10-09,0
2016-10-16,68
2016-10-23,0
2016-10-30,34
2016-11-06,33
2016-11-13,64
2016-11-20,0
2016-11-27,32
2016-12-04,49
2016-12-11,0
2016-12-18,37
2016-12-25,37
2017-01-01,0
2017-01-08,0
2017-01-15,31
2017-01-22,0
2017-01-29,30
2017-02-05,0
2017-02-12,31
2017-02-19,0
2017-02-26,30
2017-03-05,0
2017-03-12,0
2017-03-19,31
2017-03-26,32
2017-04-02,0
2017-04-09,33
2017-04-16,0
2017-04-23,0
2017-04-30,0
2017-05-07,0
2017-05-14,32
2017-05-21,34
2017-05-28,49
2017-06-04,0
2017-06-11,33
2017-06-18,0
2017-06-25,66
2017-07-02,100
2017-07-09,0
2017-07-16,33
2017-07-23,32
2017-07-30,32
2017-08-06,32
2017-08-13,49
2017-08-20,32
2017-08-27,32
2017-09-03,0
2017-09-10,31
2017-09-17,0
2017-09-24,31
2017-10-01,31
2017-10-08,61
2017-10-15,30
2017-10-22,41
2017-10-29,0
2017-11-05,30
2017-11-12,30
2017-11-19,29
2017-11-26,0
2017-12-03,31
2017-12-10,31
2017-12-17,0
2017-12-24,35
2017-12-31,30
2018-01-07,29
2018-01-14,0
2018-01-21,43
2018-01-28,0
2018-02-04,30
2018-02-11,30
2018-02-18,0
2018-02-25,56
2018-03-04,29
2018-03-11,59
2018-03-18,30
2018-03-25,0
2018-04-01,30
2018-04-08,30
2018-04-15,31
2018-04-22,0
2018-04-29,30
2018-05-06,31
2018-05-13,30
2018-05-20,31
2018-05-27,0
2018-06-03,30
2018-06-10,0
2018-06-17,0
2018-06-24,31
2018-07-01,0
2018-07-08,30
2018-07-15,0
2018-07-22,0
2018-07-29,30
2018-08-05,0
2018-08-12,30
2018-08-19,0
2018-08-26,0
2018-09-02,31
2018-09-09,0
2018-09-16,61
2018-09-23,46
2018-09-30,40
2018-10-07,46
2018-10-14,0
2018-10-21,47
2018-10-28,30
2018-11-04,0
2018-11-11,0
2018-11-18,29
2018-11-25,29
2018-12-02,0
2018-12-09,0
2018-12-16,0
2018-12-23,0
2018-12-30,0
2019-01-06,30
2019-01-13,0
2019-01-20,29
2019-01-27,0
2019-02-03,29
2019-02-10,60
2019-02-17,30
2019-02-24,0
2019-03-03,29
2019-03-10,0
2019-03-17,30
2019-03-24,46
2019-03-31,0
2019-04-07,0
2019-04-14,0
2019-04-21,0
2019-04-28,0
2019-05-05,0
2019-05-12,30
2019-05-19,60
2019-05-26,29
2019-06-02,28
2019-06-09,28
2019-06-16,29
2019-06-23,0
2019-06-30,29
2019-07-07,29
2019-07-14,29
2019-07-21,30
2019-07-28,0
2019-08-04,0
2019-08-11,29
2019-08-18,30
2019-08-25,29
2019-09-01,28
2019-09-08,57
2019-09-15,28
2019-09-22,54
2019-09-29,27
2019-10-06,54
2019-10-13,27
2019-10-20,27
2019-10-27,54
2019-11-03,26
2019-11-10,52
2019-11-17,26
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,37
2019-12-22,46
2019-12-29,28
2020-01-05,26
2020-01-12,0
2020-01-19,0
2020-01-26,25
2020-02-02,26
2020-02-09,25
2020-02-16,0
2020-02-23,25
2020-03-01,0
2020-03-08,48
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,0
2020-05-03,23
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,22
2020-06-07,0
2020-06-14,22
2020-06-21,23
2020-06-28,22
2020-07-05,0
2020-07-12,25
2020-07-19,0
2020-07-26,0
