Categoría: Todas las categorías

Semana,callao: (Reino Unido)
2015-08-02,47
2015-08-09,57
2015-08-16,39
2015-08-23,52
2015-08-30,46
2015-09-06,85
2015-09-13,48
2015-09-20,41
2015-09-27,48
2015-10-04,20
2015-10-11,51
2015-10-18,63
2015-10-25,68
2015-11-01,33
2015-11-08,43
2015-11-15,39
2015-11-22,29
2015-11-29,42
2015-12-06,20
2015-12-13,18
2015-12-20,33
2015-12-27,34
2016-01-03,63
2016-01-10,47
2016-01-17,51
2016-01-24,50
2016-01-31,60
2016-02-07,68
2016-02-14,72
2016-02-21,75
2016-02-28,66
2016-03-06,54
2016-03-13,48
2016-03-20,56
2016-03-27,70
2016-04-03,47
2016-04-10,51
2016-04-17,56
2016-04-24,70
2016-05-01,31
2016-05-08,31
2016-05-15,54
2016-05-22,67
2016-05-29,32
2016-06-05,56
2016-06-12,44
2016-06-19,55
2016-06-26,56
2016-07-03,65
2016-07-10,65
2016-07-17,50
2016-07-24,63
2016-07-31,49
2016-08-07,55
2016-08-14,60
2016-08-21,39
2016-08-28,71
2016-09-04,51
2016-09-11,58
2016-09-18,36
2016-09-25,46
2016-10-02,46
2016-10-09,42
2016-10-16,39
2016-10-23,46
2016-10-30,70
2016-11-06,44
2016-11-13,78
2016-11-20,43
2016-11-27,50
2016-12-04,20
2016-12-11,60
2016-12-18,30
2016-12-25,61
2017-01-01,86
2017-01-08,60
2017-01-15,70
2017-01-22,100
2017-01-29,72
2017-02-05,67
2017-02-12,87
2017-02-19,64
2017-02-26,59
2017-03-05,41
2017-03-12,57
2017-03-19,74
2017-03-26,59
2017-04-02,67
2017-04-09,57
2017-04-16,85
2017-04-23,79
2017-04-30,84
2017-05-07,65
2017-05-14,43
2017-05-21,73
2017-05-28,75
2017-06-04,65
2017-06-11,41
2017-06-18,53
2017-06-25,54
2017-07-02,69
2017-07-09,54
2017-07-16,68
2017-07-23,50
2017-07-30,85
2017-08-06,84
2017-08-13,64
2017-08-20,77
2017-08-27,58
2017-09-03,79
2017-09-10,78
2017-09-17,65
2017-09-24,44
2017-10-01,45
2017-10-08,29
2017-10-15,53
2017-10-22,57
2017-10-29,47
2017-11-05,41
2017-11-12,37
2017-11-19,42
2017-11-26,31
2017-12-03,22
2017-12-10,13
2017-12-17,38
2017-12-24,47
2017-12-31,47
2018-01-07,61
2018-01-14,86
2018-01-21,57
2018-01-28,67
2018-02-04,37
2018-02-11,69
2018-02-18,49
2018-02-25,57
2018-03-04,61
2018-03-11,61
2018-03-18,40
2018-03-25,73
2018-04-01,31
2018-04-08,65
2018-04-15,41
2018-04-22,36
2018-04-29,28
2018-05-06,32
2018-05-13,38
2018-05-20,57
2018-05-27,41
2018-06-03,62
2018-06-10,60
2018-06-17,34
2018-06-24,58
2018-07-01,82
2018-07-08,50
2018-07-15,73
2018-07-22,51
2018-07-29,47
2018-08-05,53
2018-08-12,41
2018-08-19,42
2018-08-26,29
2018-09-02,57
2018-09-09,73
2018-09-16,59
2018-09-23,45
2018-09-30,50
2018-10-07,53
2018-10-14,38
2018-10-21,64
2018-10-28,44
2018-11-04,30
2018-11-11,50
2018-11-18,30
2018-11-25,37
2018-12-02,28
2018-12-09,36
2018-12-16,33
2018-12-23,69
2018-12-30,48
2019-01-06,92
2019-01-13,81
2019-01-20,51
2019-01-27,41
2019-02-03,41
2019-02-10,31
2019-02-17,40
2019-02-24,40
2019-03-03,36
2019-03-10,54
2019-03-17,25
2019-03-24,60
2019-03-31,65
2019-04-07,50
2019-04-14,39
2019-04-21,72
2019-04-28,57
2019-05-05,46
2019-05-12,44
2019-05-19,65
2019-05-26,76
2019-06-02,44
2019-06-09,41
2019-06-16,86
2019-06-23,64
2019-06-30,64
2019-07-07,48
2019-07-14,49
2019-07-21,56
2019-07-28,59
2019-08-04,70
2019-08-11,48
2019-08-18,34
2019-08-25,61
2019-09-01,36
2019-09-08,50
2019-09-15,65
2019-09-22,76
2019-09-29,63
2019-10-06,61
2019-10-13,62
2019-10-20,59
2019-10-27,42
2019-11-03,38
2019-11-10,58
2019-11-17,41
2019-11-24,45
2019-12-01,41
2019-12-08,61
2019-12-15,29
2019-12-22,41
2019-12-29,37
2020-01-05,77
2020-01-12,44
2020-01-19,57
2020-01-26,34
2020-02-02,62
2020-02-09,71
2020-02-16,57
2020-02-23,51
2020-03-01,46
2020-03-08,45
2020-03-15,7
2020-03-22,17
2020-03-29,24
2020-04-05,33
2020-04-12,22
2020-04-19,17
2020-04-26,14
2020-05-03,35
2020-05-10,16
2020-05-17,21
2020-05-24,25
2020-05-31,28
2020-06-07,27
2020-06-14,19
2020-06-21,24
2020-06-28,28
2020-07-05,32
2020-07-12,23
2020-07-19,39
2020-07-26,0
