Categoría: Todas las categorías

Semana,Catedral de Santa María la Real de la Almudena: (Reino Unido)
2015-08-02,44
2015-08-09,29
2015-08-16,29
2015-08-23,56
2015-08-30,29
2015-09-06,72
2015-09-13,28
2015-09-20,28
2015-09-27,56
2015-10-04,68
2015-10-11,37
2015-10-18,27
2015-10-25,0
2015-11-01,40
2015-11-08,80
2015-11-15,27
2015-11-22,26
2015-11-29,40
2015-12-06,27
2015-12-13,0
2015-12-20,0
2015-12-27,30
2016-01-03,27
2016-01-10,27
2016-01-17,28
2016-01-24,81
2016-01-31,27
2016-02-07,28
2016-02-14,0
2016-02-21,27
2016-02-28,27
2016-03-06,27
2016-03-13,37
2016-03-20,28
2016-03-27,57
2016-04-03,55
2016-04-10,41
2016-04-17,28
2016-04-24,55
2016-05-01,42
2016-05-08,28
2016-05-15,28
2016-05-22,28
2016-05-29,29
2016-06-05,28
2016-06-12,27
2016-06-19,28
2016-06-26,0
2016-07-03,29
2016-07-10,59
2016-07-17,0
2016-07-24,0
2016-07-31,31
2016-08-07,32
2016-08-14,32
2016-08-21,52
2016-08-28,30
2016-09-04,30
2016-09-11,0
2016-09-18,59
2016-09-25,29
2016-10-02,0
2016-10-09,29
2016-10-16,29
2016-10-23,29
2016-10-30,86
2016-11-06,41
2016-11-13,27
2016-11-20,36
2016-11-27,0
2016-12-04,27
2016-12-11,0
2016-12-18,0
2016-12-25,47
2017-01-01,0
2017-01-08,38
2017-01-15,52
2017-01-22,26
2017-01-29,25
2017-02-05,26
2017-02-12,26
2017-02-19,0
2017-02-26,100
2017-03-05,25
2017-03-12,25
2017-03-19,26
2017-03-26,27
2017-04-02,28
2017-04-09,83
2017-04-16,53
2017-04-23,26
2017-04-30,52
2017-05-07,26
2017-05-14,0
2017-05-21,38
2017-05-28,41
2017-06-04,0
2017-06-11,28
2017-06-18,41
2017-06-25,0
2017-07-02,56
2017-07-09,27
2017-07-16,55
2017-07-23,0
2017-07-30,27
2017-08-06,36
2017-08-13,41
2017-08-20,27
2017-08-27,28
2017-09-03,40
2017-09-10,0
2017-09-17,26
2017-09-24,26
2017-10-01,0
2017-10-08,51
2017-10-15,38
2017-10-22,34
2017-10-29,38
2017-11-05,25
2017-11-12,25
2017-11-19,36
2017-11-26,0
2017-12-03,0
2017-12-10,26
2017-12-17,28
2017-12-24,29
2017-12-31,26
2018-01-07,25
2018-01-14,24
2018-01-21,24
2018-01-28,25
2018-02-04,25
2018-02-11,51
2018-02-18,0
2018-02-25,23
2018-03-04,25
2018-03-11,49
2018-03-18,38
2018-03-25,0
2018-04-01,51
2018-04-08,42
2018-04-15,51
2018-04-22,49
2018-04-29,25
2018-05-06,26
2018-05-13,0
2018-05-20,51
2018-05-27,25
2018-06-03,38
2018-06-10,33
2018-06-17,25
2018-06-24,0
2018-07-01,26
2018-07-08,0
2018-07-15,39
2018-07-22,26
2018-07-29,51
2018-08-05,25
2018-08-12,0
2018-08-19,39
2018-08-26,26
2018-09-02,26
2018-09-09,51
2018-09-16,51
2018-09-23,26
2018-09-30,25
2018-10-07,43
2018-10-14,39
2018-10-21,26
2018-10-28,64
2018-11-04,66
2018-11-11,25
2018-11-18,24
2018-11-25,25
2018-12-02,38
2018-12-09,26
2018-12-16,0
2018-12-23,0
2018-12-30,39
2019-01-06,50
2019-01-13,24
2019-01-20,24
2019-01-27,48
2019-02-03,36
2019-02-10,25
2019-02-17,38
2019-02-24,63
2019-03-03,37
2019-03-10,37
2019-03-17,25
2019-03-24,77
2019-03-31,25
2019-04-07,75
2019-04-14,26
2019-04-21,51
2019-04-28,24
2019-05-05,37
2019-05-12,0
2019-05-19,38
2019-05-26,25
2019-06-02,47
2019-06-09,24
2019-06-16,0
2019-06-23,50
2019-06-30,25
2019-07-07,49
2019-07-14,25
2019-07-21,38
2019-07-28,25
2019-08-04,25
2019-08-11,0
2019-08-18,38
2019-08-25,37
2019-09-01,73
2019-09-08,24
2019-09-15,24
2019-09-22,23
2019-09-29,46
2019-10-06,23
2019-10-13,23
2019-10-20,34
2019-10-27,23
2019-11-03,22
2019-11-10,22
2019-11-17,0
2019-11-24,21
2019-12-01,22
2019-12-08,23
2019-12-15,47
2019-12-22,39
2019-12-29,23
2020-01-05,65
2020-01-12,28
2020-01-19,0
2020-01-26,43
2020-02-02,44
2020-02-09,42
2020-02-16,35
2020-02-23,0
2020-03-01,42
2020-03-08,0
2020-03-15,40
2020-03-22,39
2020-03-29,19
2020-04-05,20
2020-04-12,19
2020-04-19,0
2020-04-26,19
2020-05-03,19
2020-05-10,28
2020-05-17,19
2020-05-24,20
2020-05-31,19
2020-06-07,19
2020-06-14,37
2020-06-21,20
2020-06-28,0
2020-07-05,20
2020-07-12,21
2020-07-19,21
2020-07-26,0
