Categoría: Todas las categorías

Semana,magaluf: (Reino Unido)
2015-08-02,54
2015-08-09,64
2015-08-16,58
2015-08-23,49
2015-08-30,55
2015-09-06,54
2015-09-13,42
2015-09-20,33
2015-09-27,31
2015-10-04,26
2015-10-11,23
2015-10-18,21
2015-10-25,16
2015-11-01,16
2015-11-08,15
2015-11-15,15
2015-11-22,15
2015-11-29,15
2015-12-06,17
2015-12-13,14
2015-12-20,10
2015-12-27,21
2016-01-03,47
2016-01-10,71
2016-01-17,48
2016-01-24,47
2016-01-31,39
2016-02-07,41
2016-02-14,42
2016-02-21,42
2016-02-28,35
2016-03-06,37
2016-03-13,34
2016-03-20,34
2016-03-27,45
2016-04-03,42
2016-04-10,45
2016-04-17,48
2016-04-24,62
2016-05-01,66
2016-05-08,66
2016-05-15,59
2016-05-22,55
2016-05-29,63
2016-06-05,77
2016-06-12,84
2016-06-19,71
2016-06-26,73
2016-07-03,76
2016-07-10,77
2016-07-17,73
2016-07-24,62
2016-07-31,54
2016-08-07,54
2016-08-14,49
2016-08-21,47
2016-08-28,47
2016-09-04,43
2016-09-11,45
2016-09-18,36
2016-09-25,28
2016-10-02,29
2016-10-09,21
2016-10-16,20
2016-10-23,21
2016-10-30,18
2016-11-06,16
2016-11-13,17
2016-11-20,17
2016-11-27,14
2016-12-04,14
2016-12-11,11
2016-12-18,12
2016-12-25,17
2017-01-01,43
2017-01-08,54
2017-01-15,48
2017-01-22,38
2017-01-29,38
2017-02-05,37
2017-02-12,32
2017-02-19,32
2017-02-26,31
2017-03-05,30
2017-03-12,36
2017-03-19,33
2017-03-26,37
2017-04-02,39
2017-04-09,41
2017-04-16,41
2017-04-23,49
2017-04-30,60
2017-05-07,64
2017-05-14,60
2017-05-21,48
2017-05-28,67
2017-06-04,71
2017-06-11,82
2017-06-18,85
2017-06-25,100
2017-07-02,78
2017-07-09,73
2017-07-16,69
2017-07-23,66
2017-07-30,53
2017-08-06,53
2017-08-13,44
2017-08-20,47
2017-08-27,54
2017-09-03,55
2017-09-10,47
2017-09-17,39
2017-09-24,28
2017-10-01,26
2017-10-08,23
2017-10-15,18
2017-10-22,14
2017-10-29,9
2017-11-05,12
2017-11-12,12
2017-11-19,12
2017-11-26,10
2017-12-03,9
2017-12-10,10
2017-12-17,11
2017-12-24,14
2017-12-31,27
2018-01-07,40
2018-01-14,41
2018-01-21,31
2018-01-28,32
2018-02-04,28
2018-02-11,24
2018-02-18,23
2018-02-25,23
2018-03-04,25
2018-03-11,28
2018-03-18,33
2018-03-25,34
2018-04-01,38
2018-04-08,41
2018-04-15,44
2018-04-22,57
2018-04-29,64
2018-05-06,53
2018-05-13,53
2018-05-20,60
2018-05-27,56
2018-06-03,71
2018-06-10,59
2018-06-17,60
2018-06-24,55
2018-07-01,55
2018-07-08,63
2018-07-15,90
2018-07-22,52
2018-07-29,50
2018-08-05,47
2018-08-12,48
2018-08-19,38
2018-08-26,35
2018-09-02,43
2018-09-09,47
2018-09-16,35
2018-09-23,31
2018-09-30,23
2018-10-07,27
2018-10-14,21
2018-10-21,11
2018-10-28,11
2018-11-04,13
2018-11-11,13
2018-11-18,10
2018-11-25,11
2018-12-02,10
2018-12-09,8
2018-12-16,8
2018-12-23,14
2018-12-30,22
2019-01-06,44
2019-01-13,39
2019-01-20,32
2019-01-27,29
2019-02-03,25
2019-02-10,23
2019-02-17,25
2019-02-24,25
2019-03-03,25
2019-03-10,22
2019-03-17,27
2019-03-24,30
2019-03-31,36
2019-04-07,37
2019-04-14,42
2019-04-21,41
2019-04-28,49
2019-05-05,46
2019-05-12,58
2019-05-19,57
2019-05-26,50
2019-06-02,61
2019-06-09,65
2019-06-16,71
2019-06-23,71
2019-06-30,59
2019-07-07,63
2019-07-14,55
2019-07-21,49
2019-07-28,47
2019-08-04,43
2019-08-11,39
2019-08-18,37
2019-08-25,42
2019-09-01,40
2019-09-08,51
2019-09-15,39
2019-09-22,32
2019-09-29,25
2019-10-06,25
2019-10-13,17
2019-10-20,15
2019-10-27,10
2019-11-03,11
2019-11-10,11
2019-11-17,11
2019-11-24,12
2019-12-01,10
2019-12-08,9
2019-12-15,9
2019-12-22,12
2019-12-29,23
2020-01-05,38
2020-01-12,47
2020-01-19,40
2020-01-26,28
2020-02-02,28
2020-02-09,24
2020-02-16,22
2020-02-23,20
2020-03-01,17
2020-03-08,21
2020-03-15,8
2020-03-22,6
2020-03-29,9
2020-04-05,10
2020-04-12,12
2020-04-19,9
2020-04-26,10
2020-05-03,11
2020-05-10,12
2020-05-17,16
2020-05-24,14
2020-05-31,12
2020-06-07,12
2020-06-14,15
2020-06-21,19
2020-06-28,22
2020-07-05,22
2020-07-12,46
2020-07-19,30
