Categoría: Todas las categorías

Semana,soller: (Suiza)
2015-08-02,69
2015-08-09,46
2015-08-16,36
2015-08-23,33
2015-08-30,29
2015-09-06,46
2015-09-13,47
2015-09-20,27
2015-09-27,62
2015-10-04,43
2015-10-11,48
2015-10-18,36
2015-10-25,26
2015-11-01,36
2015-11-08,0
2015-11-15,35
2015-11-22,35
2015-11-29,35
2015-12-06,26
2015-12-13,37
2015-12-20,45
2015-12-27,22
2016-01-03,31
2016-01-10,53
2016-01-17,26
2016-01-24,36
2016-01-31,52
2016-02-07,57
2016-02-14,41
2016-02-21,38
2016-02-28,44
2016-03-06,41
2016-03-13,23
2016-03-20,41
2016-03-27,72
2016-04-03,41
2016-04-10,47
2016-04-17,52
2016-04-24,42
2016-05-01,51
2016-05-08,31
2016-05-15,71
2016-05-22,32
2016-05-29,45
2016-06-05,41
2016-06-12,45
2016-06-19,37
2016-06-26,38
2016-07-03,42
2016-07-10,55
2016-07-17,39
2016-07-24,100
2016-07-31,40
2016-08-07,25
2016-08-14,49
2016-08-21,36
2016-08-28,34
2016-09-04,51
2016-09-11,62
2016-09-18,34
2016-09-25,40
2016-10-02,46
2016-10-09,51
2016-10-16,56
2016-10-23,50
2016-10-30,39
2016-11-06,16
2016-11-13,16
2016-11-20,16
2016-11-27,32
2016-12-04,32
2016-12-11,24
2016-12-18,26
2016-12-25,20
2017-01-01,50
2017-01-08,38
2017-01-15,25
2017-01-22,15
2017-01-29,56
2017-02-05,30
2017-02-12,57
2017-02-19,36
2017-02-26,35
2017-03-05,29
2017-03-12,30
2017-03-19,49
2017-03-26,51
2017-04-02,69
2017-04-09,62
2017-04-16,50
2017-04-23,25
2017-04-30,45
2017-05-07,74
2017-05-14,21
2017-05-21,40
2017-05-28,37
2017-06-04,47
2017-06-11,37
2017-06-18,27
2017-06-25,59
2017-07-02,56
2017-07-09,90
2017-07-16,42
2017-07-23,29
2017-07-30,73
2017-08-06,47
2017-08-13,32
2017-08-20,36
2017-08-27,34
2017-09-03,45
2017-09-10,35
2017-09-17,35
2017-09-24,50
2017-10-01,61
2017-10-08,62
2017-10-15,15
2017-10-22,36
2017-10-29,43
2017-11-05,23
2017-11-12,14
2017-11-19,28
2017-11-26,23
2017-12-03,29
2017-12-10,14
2017-12-17,30
2017-12-24,30
2017-12-31,31
2018-01-07,55
2018-01-14,40
2018-01-21,18
2018-01-28,33
2018-02-04,23
2018-02-11,23
2018-02-18,37
2018-02-25,41
2018-03-04,68
2018-03-11,31
2018-03-18,55
2018-03-25,53
2018-04-01,52
2018-04-08,44
2018-04-15,54
2018-04-22,48
2018-04-29,38
2018-05-06,65
2018-05-13,51
2018-05-20,49
2018-05-27,57
2018-06-03,47
2018-06-10,45
2018-06-17,47
2018-06-24,36
2018-07-01,62
2018-07-08,38
2018-07-15,53
2018-07-22,22
2018-07-29,51
2018-08-05,60
2018-08-12,34
2018-08-19,52
2018-08-26,51
2018-09-02,24
2018-09-09,57
2018-09-16,42
2018-09-23,24
2018-09-30,19
2018-10-07,50
2018-10-14,54
2018-10-21,38
2018-10-28,27
2018-11-04,31
2018-11-11,32
2018-11-18,20
2018-11-25,18
2018-12-02,28
2018-12-09,14
2018-12-16,29
2018-12-23,23
2018-12-30,39
2019-01-06,22
2019-01-13,40
2019-01-20,22
2019-01-27,61
2019-02-03,32
2019-02-10,23
2019-02-17,41
2019-02-24,41
2019-03-03,57
2019-03-10,40
2019-03-17,32
2019-03-24,46
2019-03-31,63
2019-04-07,34
2019-04-14,40
2019-04-21,52
2019-04-28,44
2019-05-05,48
2019-05-12,27
2019-05-19,53
2019-05-26,52
2019-06-02,32
2019-06-09,40
2019-06-16,21
2019-06-23,34
2019-06-30,52
2019-07-07,33
2019-07-14,51
2019-07-21,71
2019-07-28,61
2019-08-04,56
2019-08-11,56
2019-08-18,41
2019-08-25,63
2019-09-01,22
2019-09-08,32
2019-09-15,36
2019-09-22,33
2019-09-29,80
2019-10-06,31
2019-10-13,36
2019-10-20,43
2019-10-27,32
2019-11-03,13
2019-11-10,32
2019-11-17,21
2019-11-24,13
2019-12-01,19
2019-12-08,13
2019-12-15,30
2019-12-22,15
2019-12-29,22
2020-01-05,25
2020-01-12,36
2020-01-19,41
2020-01-26,37
2020-02-02,25
2020-02-09,19
2020-02-16,25
2020-02-23,12
2020-03-01,24
2020-03-08,17
2020-03-15,34
2020-03-22,17
2020-03-29,19
2020-04-05,12
2020-04-12,12
2020-04-19,11
2020-04-26,22
2020-05-03,11
2020-05-10,22
2020-05-17,12
2020-05-24,12
2020-05-31,23
2020-06-07,15
2020-06-14,40
2020-06-21,25
2020-06-28,24
2020-07-05,34
2020-07-12,64
2020-07-19,18
