Categoría: Todas las categorías

Semana,albufera: (Suiza)
2015-08-02,38
2015-08-09,50
2015-08-16,48
2015-08-23,30
2015-08-30,32
2015-09-06,33
2015-09-13,42
2015-09-20,54
2015-09-27,50
2015-10-04,33
2015-10-11,0
2015-10-18,32
2015-10-25,48
2015-11-01,64
2015-11-08,0
2015-11-15,63
2015-11-22,47
2015-11-29,0
2015-12-06,62
2015-12-13,50
2015-12-20,82
2015-12-27,79
2016-01-03,56
2016-01-10,46
2016-01-17,37
2016-01-24,42
2016-01-31,84
2016-02-07,56
2016-02-14,42
2016-02-21,37
2016-02-28,40
2016-03-06,55
2016-03-13,28
2016-03-20,29
2016-03-27,45
2016-04-03,56
2016-04-10,28
2016-04-17,28
2016-04-24,42
2016-05-01,46
2016-05-08,28
2016-05-15,49
2016-05-22,43
2016-05-29,54
2016-06-05,37
2016-06-12,41
2016-06-19,100
2016-06-26,88
2016-07-03,43
2016-07-10,76
2016-07-17,70
2016-07-24,36
2016-07-31,85
2016-08-07,34
2016-08-14,55
2016-08-21,65
2016-08-28,47
2016-09-04,92
2016-09-11,45
2016-09-18,92
2016-09-25,30
2016-10-02,62
2016-10-09,31
2016-10-16,90
2016-10-23,30
2016-10-30,0
2016-11-06,28
2016-11-13,29
2016-11-20,29
2016-11-27,0
2016-12-04,29
2016-12-11,29
2016-12-18,0
2016-12-25,35
2017-01-01,30
2017-01-08,41
2017-01-15,41
2017-01-22,55
2017-01-29,37
2017-02-05,46
2017-02-12,42
2017-02-19,55
2017-02-26,40
2017-03-05,35
2017-03-12,40
2017-03-19,27
2017-03-26,41
2017-04-02,28
2017-04-09,46
2017-04-16,30
2017-04-23,41
2017-04-30,95
2017-05-07,44
2017-05-14,28
2017-05-21,62
2017-05-28,43
2017-06-04,28
2017-06-11,57
2017-06-18,48
2017-06-25,0
2017-07-02,45
2017-07-09,45
2017-07-16,97
2017-07-23,63
2017-07-30,49
2017-08-06,43
2017-08-13,71
2017-08-20,56
2017-08-27,66
2017-09-03,27
2017-09-10,53
2017-09-17,54
2017-09-24,27
2017-10-01,27
2017-10-08,55
2017-10-15,0
2017-10-22,26
2017-10-29,0
2017-11-05,25
2017-11-12,0
2017-11-19,50
2017-11-26,25
2017-12-03,26
2017-12-10,0
2017-12-17,0
2017-12-24,48
2017-12-31,28
2018-01-07,37
2018-01-14,48
2018-01-21,24
2018-01-28,76
2018-02-04,25
2018-02-11,0
2018-02-18,76
2018-02-25,62
2018-03-04,49
2018-03-11,32
2018-03-18,49
2018-03-25,26
2018-04-01,28
2018-04-08,26
2018-04-15,40
2018-04-22,39
2018-04-29,39
2018-05-06,27
2018-05-13,25
2018-05-20,0
2018-05-27,43
2018-06-03,38
2018-06-10,57
2018-06-17,25
2018-06-24,52
2018-07-01,77
2018-07-08,55
2018-07-15,43
2018-07-22,29
2018-07-29,41
2018-08-05,64
2018-08-12,78
2018-08-19,68
2018-08-26,25
2018-09-02,26
2018-09-09,26
2018-09-16,34
2018-09-23,26
2018-09-30,52
2018-10-07,27
2018-10-14,27
2018-10-21,26
2018-10-28,25
2018-11-04,24
2018-11-11,50
2018-11-18,24
2018-11-25,24
2018-12-02,0
2018-12-09,25
2018-12-16,26
2018-12-23,42
2018-12-30,0
2019-01-06,71
2019-01-13,49
2019-01-20,47
2019-01-27,35
2019-02-03,41
2019-02-10,25
2019-02-17,37
2019-02-24,0
2019-03-03,24
2019-03-10,0
2019-03-17,25
2019-03-24,62
2019-03-31,61
2019-04-07,46
2019-04-14,53
2019-04-21,27
2019-04-28,39
2019-05-05,32
2019-05-12,32
2019-05-19,96
2019-05-26,34
2019-06-02,25
2019-06-09,24
2019-06-16,62
2019-06-23,39
2019-06-30,60
2019-07-07,26
2019-07-14,28
2019-07-21,44
2019-07-28,50
2019-08-04,41
2019-08-11,25
2019-08-18,0
2019-08-25,24
2019-09-01,47
2019-09-08,24
2019-09-15,0
2019-09-22,48
2019-09-29,40
2019-10-06,24
2019-10-13,24
2019-10-20,46
2019-10-27,23
2019-11-03,23
2019-11-10,23
2019-11-17,46
2019-11-24,23
2019-12-01,23
2019-12-08,0
2019-12-15,23
2019-12-22,28
2019-12-29,27
2020-01-05,30
2020-01-12,65
2020-01-19,44
2020-01-26,33
2020-02-02,22
2020-02-09,33
2020-02-16,33
2020-02-23,21
2020-03-01,21
2020-03-08,0
2020-03-15,20
2020-03-22,20
2020-03-29,0
2020-04-05,0
2020-04-12,32
2020-04-19,0
2020-04-26,20
2020-05-03,20
2020-05-10,0
2020-05-17,22
2020-05-24,21
2020-05-31,21
2020-06-07,20
2020-06-14,0
2020-06-21,22
2020-06-28,44
2020-07-05,23
2020-07-12,23
2020-07-19,33
