,Semana,Cuevas del Drach: (Bélgica),bellver: (Bélgica),formentor: (Bélgica),soller: (Bélgica),galdana: (Bélgica),Albufera: (Bélgica),Benirras: (Bélgica),es vedra: (Bélgica),salines: (Bélgica),cala salada: (Bélgica),illetes: (Bélgica),Babaria: (Bélgica),magaluf: (Bélgica)
0,2015-08-02,0,0,46,22,51,84,0,0,34,75,0,0,100
1,2015-08-09,0,0,0,51,0,39,0,0,0,0,0,0,18
2,2015-08-16,0,0,0,41,47,40,0,0,0,0,0,0,16
3,2015-08-23,0,0,0,97,0,38,0,39,0,67,47,0,9
4,2015-08-30,0,0,0,69,0,38,0,0,31,0,0,0,8
5,2015-09-06,0,0,0,100,47,51,0,0,0,0,0,0,10
6,2015-09-13,0,0,39,38,0,36,0,0,29,0,0,0,8
7,2015-09-20,99,0,40,37,0,36,0,36,0,0,0,0,14
8,2015-09-27,0,0,0,0,0,37,0,0,60,0,0,0,6
9,2015-10-04,0,0,0,18,0,0,0,0,29,0,0,0,0
10,2015-10-11,0,0,0,37,0,36,0,0,0,0,0,0,0
11,2015-10-18,0,0,38,37,0,36,0,0,29,0,0,0,9
12,2015-10-25,0,0,0,19,0,36,82,37,29,0,0,0,9
13,2015-11-01,0,0,0,30,0,38,0,0,31,0,0,0,5
14,2015-11-08,0,0,0,0,0,37,0,0,45,0,0,0,5
15,2015-11-15,0,0,0,18,0,0,0,0,67,0,0,0,7
16,2015-11-22,0,0,0,0,0,0,0,0,57,0,0,0,4
17,2015-11-29,0,61,0,19,0,36,0,0,29,0,0,0,4
18,2015-12-06,0,0,0,0,0,0,0,0,0,0,0,0,5
19,2015-12-13,0,0,0,39,0,37,0,0,0,0,0,0,5
20,2015-12-20,0,0,0,23,0,45,100,0,0,0,0,0,11
21,2015-12-27,0,0,0,42,0,0,0,0,33,0,0,0,5
22,2016-01-03,73,45,0,27,0,39,0,26,21,0,0,0,5
23,2016-01-10,0,0,0,40,0,38,0,26,42,0,0,0,16
24,2016-01-17,0,0,0,48,31,26,59,0,21,0,0,0,7
25,2016-01-24,0,45,28,34,0,26,0,0,21,0,0,0,5
26,2016-01-31,0,45,0,48,32,0,0,0,21,0,0,0,7
27,2016-02-07,0,0,29,21,0,0,0,0,21,0,0,0,7
28,2016-02-14,0,45,29,68,0,26,0,0,21,47,33,0,3
29,2016-02-21,0,0,28,40,0,26,58,0,0,0,32,0,5
30,2016-02-28,0,0,28,20,31,39,0,0,42,0,0,0,10
31,2016-03-06,0,45,0,0,0,53,0,0,43,0,33,0,11
32,2016-03-13,74,0,0,35,0,27,0,0,22,0,0,0,4
33,2016-03-20,0,0,29,42,0,53,59,0,43,0,100,57,7
34,2016-03-27,0,0,62,52,0,29,0,0,0,0,0,0,5
35,2016-04-03,0,0,0,28,34,27,0,0,22,0,0,0,3
36,2016-04-10,0,46,0,0,0,27,60,0,43,48,33,0,5
37,2016-04-17,0,0,0,63,0,0,0,0,32,0,34,0,7
38,2016-04-24,0,44,0,33,0,26,57,0,41,0,0,0,13
39,2016-05-01,83,0,33,47,36,30,67,0,41,53,0,0,15
40,2016-05-08,0,0,30,42,0,27,0,0,22,0,0,0,7
41,2016-05-15,74,0,29,35,33,27,0,0,22,0,0,0,6
42,2016-05-22,0,44,0,27,0,39,0,27,0,0,0,0,12
43,2016-05-29,0,0,55,46,0,25,0,0,31,0,62,0,5
44,2016-06-05,0,0,29,21,0,0,60,0,43,0,100,0,4
45,2016-06-12,0,87,55,40,31,25,57,0,31,0,0,0,11
46,2016-06-19,0,0,0,14,32,26,0,27,21,48,0,0,23
47,2016-06-26,0,0,30,43,33,55,0,0,44,0,0,0,10
48,2016-07-03,88,54,34,74,0,32,0,32,51,0,0,0,12
49,2016-07-10,0,0,35,84,0,0,73,33,26,0,0,69,11
50,2016-07-17,100,0,0,28,0,36,0,55,29,0,45,0,15
51,2016-07-24,0,0,37,61,0,34,76,34,27,60,0,0,68
52,2016-07-31,0,55,35,17,0,65,72,0,44,0,41,0,12
53,2016-08-07,0,56,36,43,0,33,75,0,27,0,0,0,34
54,2016-08-14,0,60,0,45,0,35,0,0,57,0,0,0,25
55,2016-08-21,0,0,0,51,39,98,73,33,0,58,0,0,16
56,2016-08-28,0,0,0,32,0,46,0,46,33,0,0,0,5
57,2016-09-04,0,53,0,49,0,31,0,32,100,0,0,66,14
58,2016-09-11,0,0,0,64,37,30,0,0,25,0,0,0,11
59,2016-09-18,86,0,34,79,0,0,0,0,25,0,0,0,8
60,2016-09-25,0,0,32,53,0,0,0,0,59,0,0,0,9
61,2016-10-02,0,0,32,23,0,0,0,0,48,0,0,0,5
62,2016-10-09,0,0,32,15,0,29,0,30,24,0,0,0,7
63,2016-10-16,0,100,0,46,0,29,0,0,23,0,0,0,5
64,2016-10-23,0,0,0,61,0,29,0,30,24,0,0,0,5
65,2016-10-30,0,0,33,15,37,30,0,0,24,0,0,63,8
66,2016-11-06,0,48,0,37,0,29,0,29,0,0,0,0,4
67,2016-11-13,0,0,0,22,0,28,0,0,22,0,0,0,5
68,2016-11-20,0,0,0,0,0,28,0,28,0,0,0,0,6
69,2016-11-27,0,0,0,14,0,28,0,28,45,0,0,0,0
70,2016-12-04,77,0,0,14,0,0,0,0,22,0,0,0,5
71,2016-12-11,0,0,0,14,0,0,0,0,0,0,0,0,0
72,2016-12-18,0,0,0,30,0,29,66,0,23,0,0,62,4
73,2016-12-25,0,0,33,48,0,46,0,0,25,0,0,65,6
74,2017-01-01,0,47,0,29,0,55,0,0,23,0,0,0,7
75,2017-01-08,0,0,29,27,31,52,58,27,0,0,0,0,7
76,2017-01-15,0,45,57,34,31,0,0,27,21,0,33,56,10
77,2017-01-22,0,0,0,21,32,0,0,0,21,0,0,0,7
78,2017-01-29,0,0,58,28,0,26,60,27,63,0,33,0,3
79,2017-02-05,0,0,0,35,32,27,0,0,54,0,33,0,7
80,2017-02-12,0,0,0,28,0,27,0,0,43,0,0,0,3
81,2017-02-19,0,44,0,27,0,0,0,0,0,46,0,0,3
82,2017-02-26,0,0,0,20,0,51,0,0,21,0,32,0,3
83,2017-03-05,0,0,0,40,0,51,0,0,27,0,0,54,3
84,2017-03-12,0,0,0,27,31,26,0,26,21,0,0,0,8
85,2017-03-19,0,0,0,61,0,26,59,27,21,46,0,0,3
86,2017-03-26,0,0,0,43,33,27,0,0,37,0,0,0,7
87,2017-04-02,79,0,31,67,0,0,64,58,23,51,0,0,5
88,2017-04-09,0,0,0,51,0,37,0,0,23,0,0,0,7
89,2017-04-16,0,45,29,21,32,27,0,0,36,0,0,0,7
90,2017-04-23,72,0,0,41,0,0,59,0,21,0,0,55,10
91,2017-04-30,73,0,28,34,31,26,59,0,21,0,0,0,3
92,2017-05-07,0,0,0,67,0,26,0,26,83,0,0,0,13
93,2017-05-14,0,47,0,50,33,0,0,28,22,0,0,59,9
94,2017-05-21,0,0,0,23,0,60,0,0,49,0,37,0,13
95,2017-05-28,0,0,30,14,0,41,61,0,22,0,0,0,9
96,2017-06-04,0,46,0,35,32,54,0,27,51,48,0,0,7
97,2017-06-11,0,46,0,35,32,0,0,27,22,0,0,0,13
98,2017-06-18,0,0,29,55,32,27,0,0,22,0,0,0,18
99,2017-06-25,0,0,30,43,34,28,0,28,34,0,0,0,20
100,2017-07-02,0,51,32,62,36,30,67,30,32,53,0,0,19
