,Semana,bellver: (Francia),cuevas del drach: (Francia),formentor: (Francia),palma aquarium: (Francia),soller: (Francia),cala galdana: (Francia),cala mitjana: (Francia),cala macarella: (Francia),cala macarelleta: (Francia),albufera: (Francia),cala pregonda: (Francia),favaritx: (Francia),benirras: (Francia),es vedra: (Francia),ses salines: (Francia),cala salada: (Francia),ses illetes: (Francia),es pujols: (Francia),babaria: (Francia),magaluf: (Francia)
0,2015-08-02,16,0,27,75,59,40,38,0,55,66,0,0,50,64,36,35,44,52,35,75
1,2015-08-09,33,41,21,50,72,0,38,0,0,66,0,0,0,39,36,35,44,53,0,91
2,2015-08-16,16,0,32,100,59,30,76,0,54,41,0,0,0,57,72,69,0,0,35,61
3,2015-08-23,15,0,28,0,45,27,0,0,49,24,0,0,0,34,32,0,40,0,32,44
4,2015-08-30,15,0,22,44,60,0,0,0,0,21,0,51,44,0,32,31,0,0,31,37
5,2015-09-06,19,0,13,44,55,26,0,33,49,29,0,0,0,34,0,31,0,47,31,19
6,2015-09-13,14,0,9,42,37,25,0,0,0,27,0,0,41,32,30,29,0,0,29,20
7,2015-09-20,14,0,9,0,40,0,0,0,0,19,0,0,0,33,0,30,0,0,30,11
8,2015-09-27,14,35,0,42,21,0,32,31,0,21,0,0,0,0,60,0,0,0,30,14
9,2015-10-04,0,0,0,0,42,0,32,0,0,21,0,0,0,32,30,29,0,0,30,6
10,2015-10-11,0,0,9,0,26,0,0,0,0,19,0,0,0,32,62,0,0,0,0,14
11,2015-10-18,14,0,9,42,31,0,0,0,0,23,0,0,0,65,30,0,0,0,0,6
12,2015-10-25,27,0,9,41,31,0,0,0,0,14,0,0,40,0,30,0,0,0,29,6
13,2015-11-01,13,0,9,41,21,0,0,0,0,47,0,0,0,0,0,0,0,0,29,6
14,2015-11-08,13,0,9,0,31,0,31,0,0,13,0,0,0,32,29,0,0,0,0,5
15,2015-11-15,13,0,9,0,30,0,0,0,0,33,0,0,0,0,29,0,0,0,0,8
16,2015-11-22,0,0,0,41,18,0,0,0,0,13,0,0,0,0,0,0,0,0,29,8
