index,castell de bellver: (Alemania),cuevas del drach: (Alemania),formentor: (Alemania),palma aquarium: (Alemania),soller: (Alemania),cala galdana: (Alemania),cala mitjana: (Alemania),cala macarella: (Alemania),cala macarelleta: (Alemania),albufera: (Alemania),Cala pregonda: (Alemania),cala benirras: (Alemania),es vedra: (Alemania),ses salines: (Alemania),cala salada: (Alemania),ses illetes: (Alemania),es pujols: (Alemania),magaluf: (Alemania),date
0,51,100,27,53,45,24,48,45,66,82,100,55,64,62,33,100,80,22,2015-08-01
1,63,66,19,61,54,22,34,84,0,81,99,0,31,45,32,31,49,10,2015-09-01
2,30,31,18,59,40,15,32,41,61,60,0,0,59,25,0,31,24,6,2015-10-01
3,30,31,9,39,34,15,32,40,0,64,0,0,29,24,30,31,36,3,2015-11-01
4,37,0,14,34,29,25,37,0,75,51,0,0,69,24,31,0,59,6,2015-12-01
5,28,38,11,36,41,27,30,0,57,63,84,46,54,34,28,57,22,6,2016-01-01
6,29,29,9,54,50,41,30,75,58,70,0,46,41,27,28,71,33,100,2016-02-01
7,57,0,19,39,49,42,30,38,61,87,0,0,29,28,0,60,24,8,2016-03-01
8,79,30,21,38,55,28,91,39,59,61,86,49,29,28,55,30,54,78,2016-04-01
9,100,61,22,31,47,54,94,61,62,72,0,47,39,35,56,33,59,36,2016-05-01
10,58,30,13,38,51,28,69,77,60,62,88,49,41,35,57,56,47,14,2016-06-01
11,64,33,26,62,52,34,34,42,61,79,0,100,95,48,42,63,100,25,2016-07-01
12,34,66,26,66,46,48,54,45,69,69,0,58,66,65,100,70,37,29,2016-08-01
13,32,32,15,61,46,45,33,42,63,82,95,53,45,60,61,64,75,10,2016-09-01
14,32,32,18,59,46,19,100,41,0,69,0,50,29,26,31,61,36,6,2016-10-01
15,30,0,6,19,31,28,31,0,0,42,0,0,43,24,0,30,23,5,2016-11-01
16,31,29,7,37,29,26,0,0,67,44,0,0,32,38,32,58,46,5,2016-12-01
17,29,28,11,28,37,22,29,36,56,62,85,0,37,34,28,56,53,9,2017-01-01
18,55,38,12,36,49,26,0,37,56,62,0,45,27,28,0,56,22,8,2017-02-01
19,29,30,11,47,48,18,31,37,0,52,0,46,40,34,29,0,34,9,2017-03-01
20,59,30,26,28,60,41,0,56,58,87,0,48,71,41,29,43,69,17,2017-04-01
