,Semana,bellver: (Países Bajos),cuevas del drach: (Países Bajos),formentor: (Países Bajos),palma aquarium: (Países Bajos),soller: (Países Bajos),cala galdana: (Países Bajos),cala mitjana: (Países Bajos),cala macarelleta: (Países Bajos),albufera: (Países Bajos),cala benirras: (Países Bajos),es vedra: (Países Bajos),ses salines: (Países Bajos),Cala salada: (Países Bajos),magaluf: (Países Bajos)
0,2015-08-02,61,0,27,0,69,59,0,0,8,0,21,39,44,8
1,2015-08-09,0,0,75,0,59,0,0,0,18,0,20,54,69,18
2,2015-08-16,0,0,24,0,56,0,0,89,11,60,19,0,40,10
3,2015-08-23,51,86,23,34,55,0,0,0,16,0,18,32,37,4
4,2015-08-30,0,0,22,0,57,0,0,0,17,0,27,0,36,9
5,2015-09-06,0,0,34,34,26,0,0,0,9,0,18,0,37,5
6,2015-09-13,0,0,0,0,30,46,0,0,11,0,34,0,0,2
7,2015-09-20,0,0,0,0,38,0,0,0,13,0,0,31,0,5
8,2015-09-27,50,0,0,0,16,0,0,0,13,0,0,31,0,6
9,2015-10-04,0,0,22,33,30,0,0,0,7,0,17,0,0,5
10,2015-10-11,47,0,0,0,44,0,0,0,8,52,17,0,0,5
11,2015-10-18,48,0,0,0,35,46,0,0,6,0,0,0,0,3
12,2015-10-25,0,0,21,0,20,0,0,0,8,0,17,30,0,6
13,2015-11-01,0,0,0,0,43,0,0,0,19,0,0,0,34,0
14,2015-11-08,0,0,0,0,14,0,0,0,12,0,0,0,34,6
15,2015-11-15,0,78,0,0,0,0,0,0,18,0,0,0,0,3
16,2015-11-22,0,0,0,0,14,0,0,0,6,0,0,0,0,5
17,2015-11-29,0,0,0,0,19,44,0,0,10,0,16,29,0,2
18,2015-12-06,47,78,21,0,15,0,0,0,10,0,0,0,0,2
19,2015-12-13,49,0,0,0,23,0,0,0,7,0,0,0,0,4
20,2015-12-20,0,0,0,0,33,0,0,0,7,0,0,0,39,3
21,2015-12-27,0,0,23,0,24,0,0,0,7,0,28,0,0,4
22,2016-01-03,0,0,22,0,40,46,0,0,13,0,0,61,0,9
23,2016-01-10,48,0,0,0,45,47,0,0,16,0,26,0,35,7
24,2016-01-17,0,0,0,0,26,0,80,0,22,0,18,0,0,10
25,2016-01-24,0,0,23,0,41,47,0,0,10,0,18,0,36,4
26,2016-01-31,50,0,0,0,47,0,0,0,13,0,0,0,0,5
27,2016-02-07,0,0,0,34,32,0,0,0,14,0,0,0,0,100
28,2016-02-14,51,0,23,0,32,0,0,0,7,0,18,0,0,7
29,2016-02-21,51,0,0,0,42,49,0,0,14,0,0,32,37,10
30,2016-02-28,0,0,0,34,37,49,0,0,11,0,0,0,37,5
31,2016-03-06,51,0,23,0,95,97,0,0,14,0,36,32,0,4
32,2016-03-13,51,0,0,0,32,73,0,0,10,0,0,0,0,13
33,2016-03-20,50,0,0,0,0,0,0,0,11,55,0,0,0,8
34,2016-03-27,50,0,22,34,37,0,0,0,20,0,18,64,0,9
35,2016-04-03,51,0,23,0,42,0,0,0,20,0,18,32,0,5
36,2016-04-10,51,0,34,34,48,49,0,0,14,57,18,32,0,3
37,2016-04-17,0,0,23,0,54,0,0,0,7,0,55,33,0,4
38,2016-04-24,0,0,23,0,48,0,0,0,11,56,18,32,0,10
39,2016-05-01,59,0,26,0,43,0,0,0,24,0,0,0,0,3
40,2016-05-08,0,0,35,0,73,0,0,0,14,0,19,34,39,8
41,2016-05-15,0,0,22,0,36,0,0,0,11,0,54,32,37,7
42,2016-05-22,0,0,29,33,38,0,0,0,15,0,18,31,36,5
43,2016-05-29,0,0,22,0,52,0,0,0,13,0,18,63,36,14
44,2016-06-05,0,0,0,35,43,49,0,0,14,0,92,32,0,11
45,2016-06-12,0,0,36,0,40,0,0,0,6,0,69,0,71,16
46,2016-06-19,100,85,22,0,26,47,80,0,23,0,53,0,0,14
47,2016-06-26,0,0,0,66,46,48,0,0,10,0,18,32,37,8
48,2016-07-03,0,0,24,36,50,51,0,0,14,0,19,67,0,8
49,2016-07-10,0,0,48,0,56,0,87,0,15,0,39,0,60,7
