,Semana,Castell de Bellver: (España),Cuevas del Drach: (España),Cabo de Formentor: (España),Palma Aquarium: (España),Soller: (España),Cala Galdana: (España),Cala Mitjana: (España),Monte Toro: (España),Cala Macarella: (España),Cala Macarelleta: (España),Albufera: (España),Cala Pregonda: (España),Faro de Favaritx: (España),Cala Benirras: (España),Es Vedra: (España),ses Salines: (España),Cala Salada: (España),Ses Illetes: (España),Es Pujols: (España),Cap de Barbaria: (España),Ses Platgetes: (España),magaluf: (España)
0,2015-08-02,40,74,26,33,51,47,50,22,55,41,57,66,32,57,52,61,63,44,50,36,0,69
1,2015-08-09,30,96,27,64,59,47,56,66,67,47,55,43,32,42,31,81,86,64,43,36,100,85
2,2015-08-16,47,67,40,63,63,44,46,51,46,35,54,61,0,68,23,79,77,52,31,71,100,64
3,2015-08-23,47,52,25,47,42,41,45,21,27,22,59,58,31,35,26,61,45,74,33,34,0,51
4,2015-08-30,18,47,31,46,44,40,36,19,48,26,44,49,28,32,29,53,46,33,38,0,43,47
5,2015-09-06,29,41,35,31,37,22,28,29,30,39,47,47,0,23,37,33,18,26,48,31,0,43
6,2015-09-13,25,27,0,20,36,14,16,31,16,25,52,11,55,20,23,36,21,10,35,0,0,29
7,2015-09-20,33,22,33,26,28,22,10,18,9,29,37,13,0,13,26,21,13,24,49,45,0,22
8,2015-09-27,40,18,22,23,36,9,4,27,0,14,66,19,0,13,15,21,11,12,14,87,0,30
9,2015-10-04,16,17,0,11,34,9,6,18,6,14,58,6,26,13,20,22,6,9,19,0,27,18
10,2015-10-11,39,18,22,36,28,6,4,0,6,15,43,0,27,13,14,14,6,14,20,0,0,20
11,2015-10-18,32,12,0,25,29,7,0,17,0,14,40,6,0,0,18,19,5,0,0,28,0,18
12,2015-10-25,16,14,21,32,27,5,8,0,0,0,40,6,27,0,18,11,5,9,19,0,0,12
13,2015-11-01,32,8,0,16,24,4,4,0,6,14,45,6,0,0,15,19,0,9,0,0,0,10
14,2015-11-08,33,13,22,8,15,4,0,18,0,0,50,6,0,0,15,9,0,9,0,0,0,12
15,2015-11-15,16,10,22,10,16,5,4,24,0,0,40,0,0,0,7,12,6,9,9,29,0,6
16,2015-11-22,0,8,0,21,13,15,0,36,0,0,38,0,0,0,10,13,5,0,19,29,0,8
17,2015-11-29,25,12,22,14,15,7,4,18,0,0,51,0,27,0,10,17,6,14,0,30,0,7
18,2015-12-06,17,10,23,11,15,4,4,19,6,0,49,7,0,0,18,17,6,10,0,0,0,7
19,2015-12-13,17,7,0,4,15,3,0,18,0,15,45,0,0,0,5,13,0,0,0,0,0,7
20,2015-12-20,0,4,0,9,10,4,0,0,20,16,31,0,0,0,14,13,0,21,0,0,0,5
21,2015-12-27,58,19,0,28,18,5,5,21,7,0,46,7,0,0,12,13,0,11,11,34,0,7
22,2016-01-03,19,4,0,14,12,9,0,31,0,17,48,0,0,0,6,11,6,11,18,0,0,8
