,Semana,bellver: (Suiza),formentor: (Suiza),palma aquarium: (Suiza),soller: (Suiza),cala galdana: (Suiza),cala mitjana: (Suiza),albufera: (Suiza),es vedra: (Suiza),ses salines: (Suiza),cala salada: (Suiza),magaluf: (Suiza)
0,2015-08-02,56,37,0,69,46,60,38,0,42,67,63
1,2015-08-09,0,33,0,46,0,0,50,55,0,0,76
2,2015-08-16,48,16,0,36,0,52,48,0,71,0,58
3,2015-08-23,45,29,31,33,0,0,30,0,0,54,51
4,2015-08-30,47,16,32,29,0,0,32,0,35,57,39
5,2015-09-06,100,25,34,46,0,55,33,0,37,0,19
6,2015-09-13,47,15,0,47,38,0,42,0,0,0,39
7,2015-09-20,0,0,34,27,0,0,54,0,0,0,22
8,2015-09-27,50,33,34,62,0,0,50,0,0,0,17
9,2015-10-04,0,24,0,43,0,0,33,0,0,0,11
10,2015-10-11,49,16,100,48,0,0,0,0,72,59,11
11,2015-10-18,0,0,0,36,39,0,32,0,0,0,11
12,2015-10-25,0,0,0,26,0,0,48,0,0,0,11
13,2015-11-01,48,0,0,36,0,0,64,0,0,0,11
14,2015-11-08,0,0,0,0,0,0,0,0,0,0,16
15,2015-11-15,0,0,0,35,0,0,63,0,35,0,11
16,2015-11-22,0,0,0,35,0,0,47,0,0,0,16
17,2015-11-29,0,0,0,35,0,0,0,0,35,0,11
18,2015-12-06,0,0,0,26,76,0,62,0,0,0,11
19,2015-12-13,50,0,0,37,0,0,50,0,0,0,17
20,2015-12-20,61,0,0,45,50,0,82,0,45,0,32
21,2015-12-27,59,0,0,22,0,0,79,63,0,0,13
22,2016-01-03,0,0,0,31,67,0,56,0,0,0,19
23,2016-01-10,41,13,0,53,50,45,46,0,0,0,28
24,2016-01-17,42,14,0,26,0,45,37,0,0,0,28
25,2016-01-24,0,0,0,36,0,0,42,0,32,0,35
26,2016-01-31,42,14,0,52,68,0,84,0,0,0,19
27,2016-02-07,83,27,29,57,51,0,56,0,31,0,38
28,2016-02-14,0,14,29,41,0,0,42,45,0,0,19
29,2016-02-21,0,18,0,38,0,0,37,44,0,0,19
30,2016-02-28,40,0,0,44,32,0,40,0,29,0,15
31,2016-03-06,0,0,0,41,33,0,55,45,31,0,23
32,2016-03-13,42,21,28,23,68,0,28,45,0,0,25
33,2016-03-20,0,29,0,41,0,0,29,0,0,0,27
34,2016-03-27,67,0,31,72,0,0,45,0,0,0,51
35,2016-04-03,42,0,0,41,51,0,56,0,0,0,38
36,2016-04-10,42,21,0,47,35,0,28,0,0,0,26
37,2016-04-17,0,14,29,52,0,46,28,0,31,50,16
38,2016-04-24,42,14,0,42,0,0,42,0,63,0,41
39,2016-05-01,0,30,0,51,0,0,46,50,34,0,38
40,2016-05-08,42,21,0,31,0,0,28,0,0,0,51
41,2016-05-15,0,14,0,71,36,0,49,48,0,0,13
42,2016-05-22,0,21,30,32,35,0,43,45,0,0,29
43,2016-05-29,0,13,28,45,65,0,54,43,30,0,24
44,2016-06-05,0,28,0,41,34,0,37,0,31,0,53
45,2016-06-12,0,20,28,45,33,66,41,0,30,0,46
46,2016-06-19,43,0,29,37,35,0,100,46,0,52,55
47,2016-06-26,44,24,30,38,35,47,88,0,33,53,56
48,2016-07-03,0,16,0,42,59,0,43,0,36,59,77
49,2016-07-10,0,16,0,55,39,0,76,0,73,0,81
50,2016-07-17,53,0,36,39,0,0,70,0,39,0,79
51,2016-07-24,0,27,0,100,44,0,36,0,0,0,89
52,2016-07-31,0,36,0,40,0,0,85,0,0,66,70
53,2016-08-07,51,51,35,25,41,0,34,55,0,0,39
54,2016-08-14,0,0,34,49,40,0,55,0,0,0,55
55,2016-08-21,0,16,0,36,0,53,65,52,0,0,36
56,2016-08-28,0,15,0,34,38,0,47,0,0,56,42
57,2016-09-04,0,45,32,51,0,0,92,49,0,0,45
58,2016-09-11,45,15,31,62,0,0,45,49,0,0,51
59,2016-09-18,0,15,0,34,0,0,92,0,0,0,24
60,2016-09-25,0,15,0,40,0,0,30,0,34,0,38
61,2016-10-02,0,15,31,46,37,0,62,100,34,0,21
62,2016-10-09,46,30,63,51,0,0,31,74,0,56,17
63,2016-10-16,0,15,0,56,0,0,90,0,0,0,24
64,2016-10-23,0,0,0,50,0,0,30,0,0,0,20
65,2016-10-30,45,15,0,39,0,0,0,0,0,0,0
66,2016-11-06,0,0,29,16,0,0,28,0,0,0,10
67,2016-11-13,0,0,0,16,0,0,29,0,0,0,16
68,2016-11-20,43,0,30,16,35,0,29,0,0,0,20
69,2016-11-27,43,0,0,32,0,0,0,0,0,0,19
70,2016-12-04,0,0,0,32,35,0,29,0,0,0,20
71,2016-12-11,0,14,0,24,0,0,29,0,0,0,10
72,2016-12-18,46,15,0,26,37,0,0,0,0,0,41
73,2016-12-25,0,0,0,20,0,0,35,0,0,0,18
