,Semana,castell de bellver: (Reino Unido),cuevas del drach: (Reino Unido),formentor: (Reino Unido),palma aquarium: (Reino Unido),soller: (Reino Unido),cala galdana: (Reino Unido),cala mitjana: (Reino Unido),monte toro: (Reino Unido),cala macarella: (Reino Unido),cala macarelleta: (Reino Unido),albufera: (Reino Unido),cala pregonda: (Reino Unido),cala benirras: (Reino Unido),ses salines: (Reino Unido),es vedra: (Reino Unido),cala salada: (Reino Unido),ses illetes: (Reino Unido),es pujols: (Reino Unido),magaluf: (Reino Unido)
0,2015-08-02,0,35,69,35,76,68,0,0,35,0,57,0,0,0,13,44,0,96,54
1,2015-08-09,0,0,48,0,64,70,34,0,35,34,75,52,41,21,19,29,28,48,64
2,2015-08-16,57,34,36,35,79,63,46,0,70,34,56,51,0,0,13,29,0,0,58
3,2015-08-23,0,100,31,34,67,61,50,47,34,0,32,0,0,0,19,57,27,94,49
4,2015-08-30,0,0,41,35,51,58,34,0,69,34,47,51,40,21,15,58,0,48,55
5,2015-09-06,0,0,40,47,57,67,68,0,0,0,14,0,0,21,10,29,56,0,54
6,2015-09-13,0,33,48,34,100,48,34,0,67,65,32,0,0,30,13,28,27,0,42
7,2015-09-20,0,66,22,0,57,32,33,47,33,0,31,0,39,0,16,28,27,46,33
8,2015-09-27,54,32,26,67,47,27,33,46,33,0,53,49,0,20,14,0,26,46,31
9,2015-10-04,0,32,26,33,36,32,0,0,0,32,66,49,0,0,19,28,0,0,26
10,2015-10-11,0,0,26,34,30,28,0,0,0,0,33,0,0,20,19,28,0,0,23
11,2015-10-18,0,32,21,33,31,18,32,0,0,0,35,0,0,0,9,27,0,0,21
12,2015-10-25,0,32,13,67,31,22,0,0,0,0,40,49,0,20,19,0,0,0,16
13,2015-11-01,0,0,13,0,17,18,0,45,0,0,30,0,0,0,0,0,0,0,16
14,2015-11-08,0,0,0,0,22,7,0,0,0,0,30,0,0,0,9,0,26,0,15
15,2015-11-15,0,0,19,0,15,10,0,0,0,0,26,0,0,0,18,0,0,0,15
16,2015-11-22,0,0,12,32,26,4,0,0,0,0,21,0,0,0,9,0,0,0,15
17,2015-11-29,0,0,31,0,24,4,0,44,0,0,26,0,0,0,0,0,0,0,15
18,2015-12-06,0,0,19,33,21,9,0,45,0,0,13,0,0,0,0,0,26,0,17
19,2015-12-13,0,0,18,0,15,11,0,0,0,0,28,0,0,21,15,0,0,0,14
20,2015-12-20,0,39,15,40,13,9,0,0,0,39,32,0,0,24,17,0,0,55,10
21,2015-12-27,0,0,14,0,35,32,0,0,0,0,37,0,0,0,15,0,0,0,21
22,2016-01-03,0,0,25,33,42,32,0,0,0,0,48,0,0,0,9,27,26,0,47
23,2016-01-10,0,0,29,0,48,37,32,45,32,32,39,47,0,29,18,54,0,45,71
24,2016-01-17,0,0,13,33,68,32,33,0,33,0,31,0,0,20,15,0,53,0,48
25,2016-01-24,0,0,13,33,42,44,0,0,0,63,52,0,0,0,9,27,39,45,47
26,2016-01-31,0,32,47,33,46,36,0,45,0,32,39,48,0,20,0,0,0,45,39
27,2016-02-07,0,0,20,34,50,32,33,0,0,32,20,0,0,20,19,0,27,0,41
28,2016-02-14,0,33,31,0,35,29,0,0,34,0,41,0,0,0,14,28,81,94,42
29,2016-02-21,0,33,30,34,51,34,0,0,33,0,62,0,0,20,23,28,36,46,42
30,2016-02-28,0,0,34,0,49,27,0,0,33,0,44,72,38,20,0,0,26,45,35
31,2016-03-06,0,0,61,34,39,19,32,0,0,0,58,0,0,20,9,28,27,46,37
32,2016-03-13,0,0,33,0,56,23,0,0,0,0,32,0,0,20,9,0,0,46,34
33,2016-03-20,0,33,36,35,43,47,0,48,34,0,23,0,0,0,10,29,0,47,34
34,2016-03-27,0,34,22,34,52,24,34,0,34,0,21,0,0,20,26,29,27,0,45
35,2016-04-03,0,0,47,33,54,32,32,46,0,32,58,0,0,0,9,0,0,0,42
36,2016-04-10,0,33,52,33,63,38,0,46,0,0,45,0,39,0,9,0,27,46,45
37,2016-04-17,0,66,26,0,79,26,0,0,0,0,41,0,0,0,9,56,27,0,48
38,2016-04-24,0,32,57,50,62,47,32,45,0,65,79,0,0,20,9,27,0,45,62
39,2016-05-01,0,0,44,68,69,56,33,0,33,33,59,0,0,20,9,0,27,47,66
40,2016-05-08,0,0,71,52,86,50,33,0,0,0,73,0,40,20,19,28,0,94,66
41,2016-05-15,0,32,65,67,66,58,0,0,0,0,67,0,0,30,19,0,41,69,59
42,2016-05-22,0,0,63,0,67,64,0,0,0,0,51,0,0,31,24,57,28,48,55
43,2016-05-29,0,34,36,0,93,79,0,0,0,34,61,0,41,42,19,29,0,48,63
44,2016-06-05,56,0,85,35,95,51,34,0,0,100,46,0,81,62,13,100,55,0,77
45,2016-06-12,0,32,56,67,81,69,33,46,33,32,62,0,0,60,28,41,40,46,84
46,2016-06-19,0,33,65,33,73,54,66,0,33,0,67,0,39,40,12,42,27,46,71
47,2016-06-26,0,0,44,34,67,55,33,0,34,33,82,0,0,72,25,28,0,47,73
48,2016-07-03,0,35,60,89,76,59,0,0,0,0,100,52,0,64,20,44,43,49,76
49,2016-07-10,0,70,74,72,87,74,0,0,0,69,50,0,0,21,17,30,29,49,77
50,2016-07-17,0,37,44,63,95,73,37,52,37,37,66,0,0,23,37,0,31,52,73
51,2016-07-24,59,0,80,36,93,60,54,0,36,35,97,0,0,64,17,30,0,49,62
52,2016-07-31,61,61,87,38,80,100,61,52,74,0,55,0,44,0,21,31,60,52,54
53,2016-08-07,0,0,70,0,80,80,0,53,0,0,62,0,0,0,32,32,31,0,54
54,2016-08-14,0,0,61,39,67,47,38,0,77,0,47,0,46,47,33,65,31,54,49
55,2016-08-21,0,37,74,38,86,63,56,0,38,37,46,56,0,23,26,47,31,52,47
56,2016-08-28,0,0,52,61,84,92,36,51,0,0,73,0,0,0,20,51,59,100,47
57,2016-09-04,0,0,33,36,86,58,0,100,0,35,43,0,0,22,30,45,0,50,43
58,2016-09-11,0,0,23,73,71,48,35,0,36,0,39,0,0,22,17,76,0,50,45
59,2016-09-18,57,35,32,0,65,45,35,0,71,0,21,0,0,0,20,59,28,48,36
60,2016-09-25,57,0,32,35,58,34,0,0,0,33,21,0,0,0,15,29,29,0,28
61,2016-10-02,0,0,36,0,65,27,0,48,35,0,42,0,0,41,10,0,0,47,29
62,2016-10-09,0,0,18,70,32,24,0,48,34,0,46,0,0,0,10,0,0,0,21
63,2016-10-16,0,0,0,35,42,34,0,0,0,0,42,0,0,0,15,58,0,48,20
64,2016-10-23,0,0,23,0,42,11,0,0,0,34,42,0,0,0,20,29,0,0,21
65,2016-10-30,0,0,13,35,26,10,0,0,0,34,14,0,0,0,19,0,0,0,18
66,2016-11-06,0,0,52,33,25,28,32,0,0,0,54,0,0,20,9,0,0,46,16
67,2016-11-13,0,0,26,33,25,18,33,0,66,0,27,0,0,0,9,28,0,0,17
68,2016-11-20,0,31,19,0,18,13,0,0,32,0,17,0,0,0,9,0,26,0,17
69,2016-11-27,0,0,19,0,29,11,0,0,0,0,18,0,0,0,14,0,0,0,14
70,2016-12-04,0,0,13,0,22,11,0,0,0,0,22,0,0,20,9,0,27,0,14
71,2016-12-11,0,0,22,0,13,8,0,0,35,0,28,51,0,0,10,0,0,48,11
72,2016-12-18,0,0,29,0,21,19,0,0,0,0,30,0,0,0,0,0,0,0,12
73,2016-12-25,60,0,29,56,28,29,0,0,37,0,25,0,0,0,11,31,0,51,17
