Semana;hotels madrid: (Todo el mundo);hostels madrid: (Todo el mundo);flights madrid: (Todo el mundo);free tour madrid: (Todo el mundo);sightseeing madrid: (Todo el mundo);hop on madrid: (Todo el mundo);must visit madrid: (Todo el mundo);things to do in madrid: (Todo el mundo);hop on hop off madrid map pdf: (Todo el mundo);airbnb madrid: (Todo el mundo);airbnb madrid centro: (Todo el mundo)
02/08/2015;41;70;15;28;33;64;0;58;0;35;28
09/08/2015;38;51;15;16;41;39;0;43;0;32;18
16/08/2015;40;40;16;16;40;15;0;45;0;59;37
23/08/2015;31;54;14;18;48;28;83;54;0;46;42
30/08/2015;38;71;16;22;63;42;0;54;0;42;18
06/09/2015;36;59;16;24;94;61;41;61;0;47;35
13/09/2015;44;74;16;15;100;32;40;55;0;41;17
20/09/2015;45;73;16;35;16;70;0;49;0;52;44
27/09/2015;40;53;15;23;46;55;0;51;0;55;35
04/10/2015;42;43;15;19;61;32;0;46;0;54;26
11/10/2015;34;50;14;27;77;46;0;46;0;59;35
18/10/2015;32;47;14;30;23;59;0;46;0;43;28
25/10/2015;37;59;14;19;46;45;39;41;0;48;34
01/11/2015;38;59;14;23;53;45;0;45;0;48;26
08/11/2015;26;50;13;26;30;23;0;40;0;52;23
15/11/2015;29;40;12;17;30;9;0;37;0;41;51
22/11/2015;29;45;13;17;30;23;0;44;0;40;34
29/11/2015;24;49;12;11;60;13;0;28;0;42;34
06/12/2015;23;47;11;21;31;9;40;21;0;28;0
13/12/2015;23;29;11;12;47;33;0;30;0;40;0
20/12/2015;21;27;10;8;26;10;0;38;0;26;19
27/12/2015;32;32;15;26;26;41;45;38;0;37;19
03/01/2016;38;53;18;20;24;15;0;47;0;37;18
10/01/2016;39;29;19;18;31;28;41;47;0;44;27
17/01/2016;42;55;16;32;32;29;42;55;0;42;36
24/01/2016;44;52;18;12;32;9;41;50;0;37;24
31/01/2016;45;57;20;16;55;38;41;50;0;46;36
07/02/2016;42;50;16;16;16;24;0;47;0;49;18
14/02/2016;41;71;19;23;31;23;0;55;0;40;27
21/02/2016;40;53;18;17;70;19;40;49;0;46;17
28/02/2016;44;58;18;13;46;37;60;53;0;46;35
06/03/2016;44;49;17;14;31;14;0;47;0;43;29
13/03/2016;39;56;17;12;23;23;0;44;0;56;18
20/03/2016;40;45;17;24;40;29;42;46;0;40;36
27/03/2016;34;59;16;18;64;38;42;51;0;47;0
03/04/2016;41;44;17;14;47;38;42;54;0;43;27
10/04/2016;38;61;20;18;39;28;41;51;0;44;54
17/04/2016;46;44;16;27;39;33;0;57;0;45;26
24/04/2016;42;46;17;20;47;57;0;48;0;50;27
01/05/2016;40;82;17;30;80;53;63;55;0;47;30
08/05/2016;43;42;16;12;63;33;0;60;0;42;27
15/05/2016;39;54;17;34;48;38;0;51;0;50;36
22/05/2016;47;47;18;18;56;38;0;61;0;41;27
29/05/2016;33;45;18;32;24;10;42;51;0;51;18
05/06/2016;37;45;18;12;40;34;0;65;0;51;18
12/06/2016;34;40;19;22;48;33;42;58;0;39;18
19/06/2016;34;56;17;18;16;44;0;69;0;46;28
26/06/2016;33;40;18;16;49;20;0;61;0;43;18
03/07/2016;37;59;18;19;52;57;0;56;0;48;0
10/07/2016;37;58;18;17;34;40;88;63;0;42;19
17/07/2016;34;50;16;25;51;36;0;49;0;49;19
24/07/2016;31;29;14;25;85;51;0;59;0;34;38
31/07/2016;39;35;17;32;34;46;0;62;58;46;19
07/08/2016;38;19;18;20;35;63;46;43;0;39;20
14/08/2016;33;38;14;17;54;32;47;45;0;35;20
21/08/2016;36;51;17;15;35;88;45;54;0;45;19
28/08/2016;36;34;16;21;17;30;0;55;0;46;19
04/09/2016;41;28;18;34;42;65;43;50;0;54;47
11/09/2016;39;44;16;23;33;39;0;49;0;51;50
18/09/2016;37;56;15;30;49;54;42;63;0;56;28
25/09/2016;34;48;16;24;49;68;0;49;0;47;30
02/10/2016;38;60;16;36;24;34;0;58;0;64;18
09/10/2016;35;43;17;32;41;34;0;41;0;55;46
16/10/2016;42;37;16;24;72;33;0;46;54;57;72
23/10/2016;41;42;17;50;48;29;0;57;0;45;48
30/10/2016;33;23;16;42;65;10;0;51;0;50;24
06/11/2016;31;34;14;33;31;32;0;43;0;44;17
13/11/2016;32;64;14;24;32;38;0;44;0;56;53
20/11/2016;32;39;17;14;31;23;0;38;0;54;35
27/11/2016;35;57;14;22;46;37;0;46;0;38;34
04/12/2016;27;60;12;32;45;18;39;36;0;54;28
11/12/2016;26;33;15;11;31;9;41;31;0;36;17
18/12/2016;31;43;13;14;33;15;0;42;0;37;37
25/12/2016;36;34;14;54;42;35;44;57;0;42;19
01/01/2017;44;49;20;33;48;19;41;58;0;60;18
08/01/2017;45;49;22;22;22;22;39;57;0;78;67
15/01/2017;47;48;21;26;30;54;38;72;0;80;25
22/01/2017;42;57;20;20;30;22;39;58;0;62;42
29/01/2017;37;66;21;27;66;18;0;61;0;70;39
05/02/2017;43;64;20;31;29;26;38;66;0;66;25
12/02/2017;41;52;18;29;72;30;37;65;49;58;24
19/02/2017;41;39;21;36;29;13;0;75;0;62;33
26/02/2017;41;69;20;30;50;38;37;55;0;85;21
05/03/2017;42;49;23;32;50;34;37;60;0;65;16
12/03/2017;43;42;24;23;64;26;37;71;0;64;27
19/03/2017;48;59;22;20;65;48;38;77;0;65;43
26/03/2017;44;46;21;36;29;49;0;75;0;70;22
02/04/2017;37;77;21;15;36;35;0;65;0;70;22
09/04/2017;44;54;20;26;99;55;39;66;0;68;28
16/04/2017;51;78;18;33;66;79;0;62;0;74;55
23/04/2017;45;57;22;33;15;57;38;87;50;84;44
30/04/2017;37;48;20;20;44;48;38;66;0;66;28
07/05/2017;42;87;18;26;29;53;38;77;0;71;33
14/05/2017;46;41;19;46;47;47;41;55;0;78;61
21/05/2017;40;74;20;28;16;61;0;81;0;71;18
28/05/2017;41;64;19;39;55;33;0;76;0;57;62
04/06/2017;44;67;19;25;84;55;80;64;52;60;23
11/06/2017;40;39;18;18;63;52;41;74;0;59;18
18/06/2017;40;38;19;36;38;51;40;64;0;75;34
25/06/2017;40;30;19;12;56;28;42;81;0;69;27
02/07/2017;41;52;20;32;32;43;42;76;0;63;18
09/07/2017;42;44;20;12;55;57;41;65;0;59;27
16/07/2017;39;47;21;24;95;38;0;57;0;65;27
23/07/2017;43;32;19;43;39;47;0;78;0;66;52
30/07/2017;46;31;19;44;76;68;40;68;52;63;60
06/08/2017;39;45;20;36;60;68;39;89;0;78;28
13/08/2017;40;48;17;44;46;41;40;58;0;68;35
20/08/2017;40;33;19;53;15;64;40;53;0;54;17
27/08/2017;36;33;17;34;46;60;0;59;53;64;35
03/09/2017;39;49;19;32;38;45;0;54;0;82;45
10/09/2017;43;46;19;40;74;44;39;55;50;81;33
17/09/2017;39;46;19;35;37;49;0;55;50;78;61
24/09/2017;36;63;20;48;15;62;0;56;51;78;50
01/10/2017;40;37;20;41;22;53;0;53;51;75;33
08/10/2017;33;62;20;46;59;44;39;58;0;82;28
15/10/2017;37;48;18;39;37;40;39;48;50;76;17
22/10/2017;34;38;15;34;14;56;0;48;49;71;33
29/10/2017;29;46;17;35;66;31;0;59;0;75;38
05/11/2017;37;40;15;37;58;56;37;45;0;84;54
12/11/2017;31;38;16;42;14;30;56;45;48;69;43
19/11/2017;28;57;15;39;35;21;74;44;0;70;27
26/11/2017;27;24;15;36;36;21;0;54;0;65;48
03/12/2017;26;38;13;45;43;30;38;38;0;64;16
10/12/2017;26;36;15;27;36;9;0;34;0;56;59
17/12/2017;27;30;14;24;45;27;39;51;0;55;34
24/12/2017;35;27;16;49;48;38;0;56;0;57;36
31/12/2017;38;37;19;31;52;49;0;68;0;59;42
07/01/2018;39;68;23;19;42;29;36;68;0;80;32
14/01/2018;46;54;21;40;21;17;0;65;0;86;39
21/01/2018;46;47;22;62;55;20;36;73;0;80;72
28/01/2018;44;47;22;27;21;29;36;67;0;81;36
04/02/2018;45;56;20;45;28;37;36;57;0;93;36
11/02/2018;45;46;19;45;49;33;0;57;0;77;21
18/02/2018;42;45;19;34;48;45;36;71;47;92;46
25/02/2018;38;32;23;37;34;45;0;60;0;92;51
04/03/2018;42;40;20;36;34;61;0;55;46;91;41
11/03/2018;39;62;19;39;27;49;36;76;0;85;36
18/03/2018;43;54;22;43;62;17;36;84;0;80;21
25/03/2018;38;47;20;71;43;56;0;78;0;82;32
01/04/2018;49;57;23;40;28;51;0;59;0;85;40
08/04/2018;51;49;22;33;62;66;36;74;0;100;47
15/04/2018;41;50;20;45;49;46;36;54;0;78;21
22/04/2018;40;45;22;36;21;67;36;67;47;77;36
29/04/2018;45;33;21;65;42;84;37;78;0;78;32
06/05/2018;38;50;19;47;56;42;0;65;0;76;21
13/05/2018;33;37;18;36;63;79;73;71;48;72;21
20/05/2018;42;55;20;26;91;51;0;74;0;70;63
27/05/2018;44;48;20;37;21;72;36;76;48;80;58
03/06/2018;43;39;20;28;14;29;0;100;0;71;32
10/06/2018;36;38;20;39;41;65;35;82;0;57;46
17/06/2018;30;33;21;50;42;62;0;76;47;65;21
24/06/2018;33;34;26;28;62;66;0;63;0;75;26
01/07/2018;34;19;27;36;70;71;72;79;0;60;47
08/07/2018;34;34;28;38;41;50;0;80;0;58;21
15/07/2018;34;27;28;57;28;34;37;80;49;54;16
22/07/2018;33;33;28;37;28;42;37;66;0;63;27
29/07/2018;35;30;28;34;28;63;0;67;0;67;42
05/08/2018;35;40;30;49;34;61;36;69;0;65;15
12/08/2018;41;50;28;48;35;42;0;59;47;62;39
19/08/2018;35;49;25;67;50;55;0;67;0;64;53
26/08/2018;33;28;27;56;34;29;0;63;0;78;62
02/09/2018;41;38;28;42;27;61;72;65;0;80;46
09/09/2018;42;52;29;52;40;69;0;64;46;72;96
16/09/2018;40;27;31;45;14;61;0;80;46;88;46
23/09/2018;41;44;29;49;40;93;35;70;0;78;56
30/09/2018;38;42;29;39;61;69;36;66;93;86;61
07/10/2018;39;47;27;65;55;49;36;60;46;80;62
14/10/2018;40;47;29;48;35;96;0;68;47;83;31
21/10/2018;28;32;25;61;34;73;0;54;0;72;51
28/10/2018;31;41;27;63;48;29;36;48;47;66;46
04/11/2018;26;23;24;45;47;12;0;42;0;72;30
11/11/2018;32;38;24;61;20;61;35;55;0;71;72
18/11/2018;32;39;24;33;35;29;0;45;0;67;67
25/11/2018;28;33;26;37;40;60;0;47;0;75;71
02/12/2018;27;45;23;70;21;57;0;54;0;66;39
09/12/2018;29;13;24;26;27;57;36;48;0;45;31
16/12/2018;28;26;23;26;35;17;0;37;0;41;37
23/12/2018;29;36;25;40;54;55;40;58;52;57;58
30/12/2018;37;25;31;49;44;31;39;61;100;59;61
06/01/2019;44;38;36;37;27;20;35;78;0;76;51
13/01/2019;43;27;34;54;13;36;35;76;0;76;71
20/01/2019;41;41;33;56;13;32;0;53;0;74;45
27/01/2019;40;41;33;53;33;28;0;73;0;76;45
03/02/2019;40;41;31;53;40;40;34;66;45;75;25
