Categoría: Todas las categorías

Semana,Calo des Moro: (España)
2019-07-28,82
2019-08-04,81
2019-08-11,100
2019-08-18,91
2019-08-25,98
2019-09-01,72
2019-09-08,51
2019-09-15,55
2019-09-22,30
2019-09-29,30
2019-10-06,10
2019-10-13,20
2019-10-20,10
2019-10-27,15
2019-11-03,10
2019-11-10,0
2019-11-17,10
2019-11-24,10
2019-12-01,0
2019-12-08,10
2019-12-15,0
2019-12-22,11
2019-12-29,11
2020-01-05,10
2020-01-12,0
2020-01-19,9
2020-01-26,9
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,18
2020-03-01,9
2020-03-08,9
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,17
2020-04-19,16
2020-04-26,0
2020-05-03,8
2020-05-10,8
2020-05-17,17
2020-05-24,9
2020-05-31,17
2020-06-07,13
2020-06-14,18
2020-06-21,9
2020-06-28,14
2020-07-05,29
2020-07-12,60
2020-07-19,35
