Categoría: Todas las categorías

Semana,Cuevas del Drach: (España)
2015-07-26,65
2015-08-02,58
2015-08-09,81
2015-08-16,87
2015-08-23,47
2015-08-30,76
2015-09-06,58
2015-09-13,30
2015-09-20,19
2015-09-27,20
2015-10-04,18
2015-10-11,25
2015-10-18,12
2015-10-25,14
2015-11-01,13
2015-11-08,22
2015-11-15,7
2015-11-22,5
2015-11-29,4
2015-12-06,10
2015-12-13,8
2015-12-20,4
2015-12-27,11
2016-01-03,8
2016-01-10,8
2016-01-17,8
2016-01-24,14
2016-01-31,8
2016-02-07,14
2016-02-14,6
2016-02-21,14
2016-02-28,6
2016-03-06,18
2016-03-13,19
2016-03-20,29
2016-03-27,17
2016-04-03,24
2016-04-10,18
2016-04-17,14
2016-04-24,16
2016-05-01,16
2016-05-08,14
2016-05-15,21
2016-05-22,25
2016-05-29,31
2016-06-05,38
2016-06-12,23
2016-06-19,33
2016-06-26,39
2016-07-03,51
2016-07-10,46
2016-07-17,63
2016-07-24,53
2016-07-31,72
2016-08-07,71
2016-08-14,71
2016-08-21,87
2016-08-28,55
2016-09-04,57
2016-09-11,46
2016-09-18,60
2016-09-25,30
2016-10-02,28
2016-10-09,26
2016-10-16,25
2016-10-23,8
2016-10-30,11
2016-11-06,15
2016-11-13,8
2016-11-20,8
2016-11-27,12
2016-12-04,12
2016-12-11,12
2016-12-18,6
2016-12-25,19
2017-01-01,13
2017-01-08,8
2017-01-15,8
2017-01-22,8
2017-01-29,4
2017-02-05,13
2017-02-12,6
2017-02-19,16
2017-02-26,20
2017-03-05,8
2017-03-12,11
2017-03-19,15
2017-03-26,18
2017-04-02,16
2017-04-09,37
2017-04-16,37
2017-04-23,22
2017-04-30,27
2017-05-07,24
2017-05-14,10
2017-05-21,24
2017-05-28,18
2017-06-04,28
2017-06-11,33
2017-06-18,16
2017-06-25,54
2017-07-02,70
2017-07-09,57
2017-07-16,70
2017-07-23,32
2017-07-30,69
2017-08-06,94
2017-08-13,55
2017-08-20,62
2017-08-27,45
2017-09-03,69
2017-09-10,56
2017-09-17,26
2017-09-24,26
2017-10-01,28
2017-10-08,21
2017-10-15,18
2017-10-22,26
2017-10-29,11
2017-11-05,13
2017-11-12,4
2017-11-19,11
2017-11-26,16
2017-12-03,10
2017-12-10,0
2017-12-17,8
2017-12-24,6
2017-12-31,8
2018-01-07,4
2018-01-14,4
2018-01-21,11
2018-01-28,25
2018-02-04,9
2018-02-11,13
2018-02-18,18
2018-02-25,15
2018-03-04,23
2018-03-11,14
2018-03-18,21
2018-03-25,45
2018-04-01,36
2018-04-08,24
2018-04-15,25
2018-04-22,37
2018-04-29,39
2018-05-06,24
2018-05-13,30
2018-05-20,28
2018-05-27,33
2018-06-03,29
2018-06-10,37
2018-06-17,24
2018-06-24,53
2018-07-01,49
2018-07-08,64
2018-07-15,72
2018-07-22,44
2018-07-29,56
2018-08-05,96
2018-08-12,82
2018-08-19,57
2018-08-26,58
2018-09-02,68
2018-09-09,31
2018-09-16,40
2018-09-23,29
2018-09-30,19
2018-10-07,32
2018-10-14,19
2018-10-21,26
2018-10-28,13
2018-11-04,15
2018-11-11,20
2018-11-18,10
2018-11-25,5
2018-12-02,9
2018-12-09,7
2018-12-16,7
2018-12-23,10
2018-12-30,10
2019-01-06,5
2019-01-13,12
2019-01-20,10
2019-01-27,7
2019-02-03,19
2019-02-10,14
2019-02-17,10
2019-02-24,20
2019-03-03,17
2019-03-10,26
2019-03-17,25
2019-03-24,21
2019-03-31,25
2019-04-07,28
2019-04-14,41
2019-04-21,39
2019-04-28,37
2019-05-05,30
2019-05-12,24
2019-05-19,40
2019-05-26,31
2019-06-02,28
2019-06-09,33
2019-06-16,65
2019-06-23,51
2019-06-30,55
2019-07-07,76
2019-07-14,75
2019-07-21,70
2019-07-28,91
2019-08-04,100
2019-08-11,89
2019-08-18,86
2019-08-25,58
2019-09-01,68
2019-09-08,67
2019-09-15,31
2019-09-22,36
2019-09-29,36
2019-10-06,20
2019-10-13,25
2019-10-20,21
2019-10-27,27
2019-11-03,21
2019-11-10,17
2019-11-17,9
2019-11-24,7
2019-12-01,14
2019-12-08,10
2019-12-15,6
2019-12-22,17
2019-12-29,12
2020-01-05,8
2020-01-12,7
2020-01-19,11
2020-01-26,10
2020-02-02,4
2020-02-09,21
2020-02-16,22
2020-02-23,16
2020-03-01,15
2020-03-08,15
2020-03-15,0
2020-03-22,0
2020-03-29,3
2020-04-05,5
2020-04-12,3
2020-04-19,5
2020-04-26,4
2020-05-03,8
2020-05-10,3
2020-05-17,3
2020-05-24,3
2020-05-31,14
2020-06-07,5
2020-06-14,11
2020-06-21,6
2020-06-28,15
2020-07-05,15
2020-07-12,25
2020-07-19,15
