Categoría: Todas las categorías

Semana,Castell de Bellver: (España)
2015-07-26,72
2015-08-02,26
2015-08-09,39
2015-08-16,63
2015-08-23,73
2015-08-30,33
2015-09-06,23
2015-09-13,33
2015-09-20,32
2015-09-27,63
2015-10-04,21
2015-10-11,33
2015-10-18,20
2015-10-25,72
2015-11-01,62
2015-11-08,43
2015-11-15,21
2015-11-22,31
2015-11-29,42
2015-12-06,22
2015-12-13,22
2015-12-20,0
2015-12-27,0
2016-01-03,0
2016-01-10,0
2016-01-17,23
2016-01-24,34
2016-01-31,46
2016-02-07,46
2016-02-14,23
2016-02-21,45
2016-02-28,23
2016-03-06,69
2016-03-13,59
2016-03-20,52
2016-03-27,24
2016-04-03,23
2016-04-10,46
2016-04-17,44
2016-04-24,69
2016-05-01,24
2016-05-08,45
2016-05-15,48
2016-05-22,35
2016-05-29,47
2016-06-05,24
2016-06-12,36
2016-06-19,26
2016-06-26,50
2016-07-03,26
2016-07-10,26
2016-07-17,93
2016-07-24,0
2016-07-31,86
2016-08-07,60
2016-08-14,47
2016-08-21,100
2016-08-28,65
2016-09-04,26
2016-09-11,50
2016-09-18,37
2016-09-25,36
2016-10-02,24
2016-10-09,25
2016-10-16,49
2016-10-23,24
2016-10-30,25
2016-11-06,73
2016-11-13,24
2016-11-20,0
2016-11-27,68
2016-12-04,36
2016-12-11,47
2016-12-18,49
2016-12-25,27
2017-01-01,26
2017-01-08,23
2017-01-15,44
2017-01-22,22
2017-01-29,43
2017-02-05,86
2017-02-12,22
2017-02-19,22
2017-02-26,42
2017-03-05,0
2017-03-12,32
2017-03-19,65
2017-03-26,45
2017-04-02,34
2017-04-09,75
2017-04-16,79
2017-04-23,43
2017-04-30,45
2017-05-07,0
2017-05-14,47
2017-05-21,46
2017-05-28,69
2017-06-04,23
2017-06-11,23
2017-06-18,46
2017-06-25,48
2017-07-02,61
2017-07-09,48
2017-07-16,73
2017-07-23,49
2017-07-30,24
2017-08-06,85
2017-08-13,51
2017-08-20,48
2017-08-27,45
2017-09-03,68
2017-09-10,44
2017-09-17,33
2017-09-24,21
2017-10-01,84
2017-10-08,33
2017-10-15,42
2017-10-22,21
2017-10-29,42
2017-11-05,64
2017-11-12,32
2017-11-19,31
2017-11-26,21
2017-12-03,35
2017-12-10,21
2017-12-17,22
2017-12-24,48
2017-12-31,45
2018-01-07,20
2018-01-14,21
2018-01-21,20
2018-01-28,20
2018-02-04,40
2018-02-11,41
2018-02-18,31
2018-02-25,29
2018-03-04,50
2018-03-11,60
2018-03-18,20
2018-03-25,68
2018-04-01,41
2018-04-08,19
2018-04-15,20
2018-04-22,20
2018-04-29,72
2018-05-06,30
2018-05-13,31
2018-05-20,40
2018-05-27,30
2018-06-03,20
2018-06-10,19
2018-06-17,63
2018-06-24,42
2018-07-01,42
2018-07-08,92
2018-07-15,21
2018-07-22,74
2018-07-29,43
2018-08-05,42
2018-08-12,66
2018-08-19,55
2018-08-26,52
2018-09-02,80
2018-09-09,40
2018-09-16,40
2018-09-23,29
2018-09-30,30
2018-10-07,71
2018-10-14,59
2018-10-21,69
2018-10-28,0
2018-11-04,28
2018-11-11,39
2018-11-18,19
2018-11-25,49
2018-12-02,31
2018-12-09,0
2018-12-16,20
2018-12-23,24
2018-12-30,45
2019-01-06,20
2019-01-13,19
2019-01-20,18
2019-01-27,28
2019-02-03,39
2019-02-10,20
2019-02-17,39
2019-02-24,48
2019-03-03,20
2019-03-10,30
2019-03-17,60
2019-03-24,30
2019-03-31,77
2019-04-07,58
2019-04-14,71
2019-04-21,98
2019-04-28,39
2019-05-05,48
2019-05-12,48
2019-05-19,19
2019-05-26,28
2019-06-02,37
2019-06-09,47
2019-06-16,20
2019-06-23,90
2019-06-30,30
2019-07-07,19
2019-07-14,20
2019-07-21,20
2019-07-28,21
2019-08-04,42
2019-08-11,53
2019-08-18,41
2019-08-25,39
2019-09-01,18
2019-09-08,64
2019-09-15,36
2019-09-22,36
2019-09-29,36
2019-10-06,45
2019-10-13,44
2019-10-20,26
2019-10-27,27
2019-11-03,17
2019-11-10,17
2019-11-17,18
2019-11-24,25
2019-12-01,36
2019-12-08,0
2019-12-15,18
2019-12-22,20
2019-12-29,20
2020-01-05,18
2020-01-12,33
2020-01-19,0
2020-01-26,51
2020-02-02,17
2020-02-09,25
2020-02-16,42
2020-02-23,42
2020-03-01,16
2020-03-08,47
2020-03-15,0
2020-03-22,15
2020-03-29,15
2020-04-05,16
2020-04-12,30
2020-04-19,29
2020-04-26,15
2020-05-03,29
2020-05-10,15
2020-05-17,0
2020-05-24,31
2020-05-31,15
2020-06-07,0
2020-06-14,0
2020-06-21,34
2020-06-28,34
2020-07-05,35
2020-07-12,0
2020-07-19,42
